cluster_id,permutation,response_energy,f_irr_3d,f_sol_3d,helicity_total
Abell2744,xy,0.26761504152558147,0.23783603881976711,0.7911825931042362,0.03628183103125564
Abell2744,xz,0.2666269701932737,0.1281027133890663,0.8893102863464772,-0.01464679689229263
Abell2744,yz,0.26975222040907654,0.12896310688481377,0.8917758359372274,-0.014649547841156527
MACS0416,xy,0.24159709569841817,0.22930657313354022,0.7978919159899817,0.03079912407631517
MACS0416,xz,0.2394336497459873,0.1430100676269013,0.8781559664423825,-0.01244269658418052
MACS0416,yz,0.24208431710080808,0.1456765405607644,0.8744120729850657,-0.013519137978039976
MACS1149,xy,0.19604674497238656,0.2188814453654829,0.8004284146305921,0.023594801306329856
MACS1149,xz,0.19529784158626445,0.1403840645352777,0.8853390756011603,-0.012647939941516775
MACS1149,yz,0.1934022729777912,0.1428370690948669,0.8820583157580144,-0.01037105465366328
AbellS1063,xy,0.20334510154570334,0.22801580725975182,0.7991179366466564,0.02392220667952951
AbellS1063,xz,0.2033984127360589,0.16081020492033263,0.8672066776440022,-0.009763609545132546
AbellS1063,yz,0.20228491996096287,0.15760319971649717,0.8681078698162819,-0.012351890426184894
Abell370,xy,0.28376213170487685,0.23772100986254185,0.7911371170131509,0.03734354917178123
Abell370,xz,0.2820632521355245,0.1295771166224943,0.8941127626079615,-0.017206771986721242
Abell370,yz,0.28148549883098084,0.1325929393511883,0.8929658426237465,-0.017623299268882953
