cluster_id,e_Rx,e_Ry,e_Rz,orientation,r_kappa_vs_gr
Abell2744,0.16864663670158753,0.09773833311499219,0.0012300717090018088,O1,0.25557834490830506
Abell2744,0.03357947093696548,0.10529643381597611,0.12873913677263993,O2,-0.23686176827561517
Abell2744,0.10151010396152078,0.10112364608105785,0.06498129148300283,O3,-0.05110701651438619
Abell2744,0.10071600367703218,0.10191112084991041,0.06498791699863887,O4,0.3050437722371213
MACS0416,0.15029600707596644,0.09020173869967439,0.0010993499227773906,O1,0.33090895645649737
MACS0416,0.029285944354765385,0.09290355111778456,0.11940760022586826,O2,-0.20089884814156594
MACS0416,0.09014983033653172,0.09119465615873848,0.060252609203147976,O3,0.07124714759037626
MACS0416,0.08943212109420005,0.09191063365872047,0.06025434094549765,O4,0.3720363476258666
MACS1149,0.1285203710916551,0.06660936482400229,0.0009170090567292026,O1,0.2003330300125494
MACS1149,0.021245367129360374,0.08672945661180417,0.08807192123122204,O2,-0.14574462021155
MACS1149,0.07462187181074692,0.07691821313981434,0.044506660021825295,O3,-0.019812998725120157
MACS1149,0.07514386641026852,0.07642060829599209,0.04448227026612594,O4,0.22535002264553342
AbellS1063,0.13488861730766533,0.0675418032695131,0.0009146809685249177,O1,0.23704092131389562
AbellS1063,0.022169244197352733,0.08613309087949769,0.09504276646885294,O2,-0.16655916590889513
AbellS1063,0.07864687278207487,0.07671488326807943,0.047983345495549015,O3,0.025472220077588113
AbellS1063,0.07841098872294318,0.07696001088093132,0.04797410194182883,O4,0.2822817570887681
Abell370,0.1795761269600023,0.10284274472776188,0.0013432600171127138,O1,0.3701940227981523
Abell370,0.03583368890488949,0.11386855163543838,0.13405989116454903,O2,-0.14593382323959733
Abell370,0.10752932346031455,0.10852691337119233,0.06770589487336996,O3,0.12012517679019598
Abell370,0.1078804924045772,0.1081843829920079,0.06769725630829174,O4,0.3102133589381565
