cluster_id,lane,mean_diff_gamma1,mean_diff_gamma2,mean_diff_gamma_mag,mean_diff_kappa,mean_diff_omega,nrmse_gamma1,nrmse_gamma2,nrmse_gamma_mag,nrmse_kappa,nrmse_omega,pearson_gamma1,pearson_gamma2,pearson_gamma_mag,pearson_kappa,pearson_omega,rms_gamma1,rms_gamma2,rms_gamma_mag,rms_kappa,rms_omega,rms_ratio_gamma1,rms_ratio_gamma2,rms_ratio_gamma_mag,rms_ratio_kappa,rms_ratio_omega,sign_agree_gamma1,sign_agree_gamma2,sign_agree_gamma_mag,sign_agree_kappa,sign_agree_omega,spearman_gamma1,spearman_gamma2,spearman_gamma_mag,spearman_kappa,spearman_omega,ssim_gamma1,ssim_gamma2,ssim_gamma_mag,ssim_kappa,ssim_omega,var_ratio_gamma1,var_ratio_gamma2,var_ratio_gamma_mag,var_ratio_kappa,var_ratio_omega
Abell2744,L1,0.7003125097364641,0.11539168348507992,-1.236906505642212,-0.05647724862833251,0.0,0.22992268896243337,0.15670963812829067,0.4319045958412894,0.6454238639835391,nan,-0.045787548455339555,-0.18937517447976265,0.2665065202861032,0.2519540490312848,nan,1.3581361172545894,0.7441048441995828,1.4715198841349613,0.16647397149647228,0.0,16.743405560762305,19.522795083328063,17.272717139734468,0.46031314865566375,0.0,0.4479166666666667,0.46875,1.0,0.4340277777777778,1.0,-0.044861129530721904,-0.16722126440246113,0.32394837418468103,0.20565930819960695,1.0,1.2233508042167952e-06,0.00030036952190062757,0.005459361265604521,0.000696265472963193,1.0,205.18615549164454,378.87238928329793,248.019725183199,0.09008551105506461,0.0
Abell2744,L2,0.7016043308223519,0.11405363680099173,-1.2345945743417308,-0.05396829680322429,0.0,0.23195514288550315,0.15662873041205547,0.4322578123910685,0.632500250554279,nan,-0.2031950146113221,-0.18271911064592258,0.15416905816281087,0.3926113978962631,nan,1.3701416704778637,0.7437206698481976,1.4727233100336672,0.1631405880043042,0.0,16.260532034951122,19.453680747998934,16.850196932538175,0.4470601745247665,0.0,0.4166666666666667,0.4409722222222222,1.0,0.4618055555555556,1.0,-0.1963019784671401,-0.16087202456305333,0.18363363996961768,0.36117574719988427,1.0,3.388000157692576e-05,9.57684355659344e-05,0.004047777913599188,0.020155975289735676,1.0,193.5677790542772,373.16244952100055,242.38972898785778,0.08499106833572975,0.0
Abell2744,L3,0.7001455001139356,0.11069892147187102,-1.303210313040447,-0.05676129062982138,0.0,0.22903223165031658,0.15499046143597436,0.45016308679637423,0.28599693473703797,nan,-0.05900728675848089,-0.17355299855501144,0.14584372652373065,0.24520951211168926,nan,1.3528762525499936,0.7359416723611008,1.5337274474566045,0.07376709820990811,0.0,183.52863639118613,282.56467706814277,196.98176572018212,5.047472363942951,0.0,0.5173611111111112,0.4791666666666667,1.0,0.3819444444444444,1.0,-0.023760795566433172,-0.14231811806501654,0.17876684389681266,0.2033459725353556,1.0,1.615471161706125e-05,0.000430143633238683,0.00018500775038159134,-0.0016346372953726575,1.0,24667.167775210983,78416.00950587072,35416.17138535451,10.837973074305179,0.0
Abell2744,L4,0.6984988977437762,0.11201067013751118,-1.255914903081696,-0.05995772739575386,0.0,0.22813736409426802,0.15521887217707395,0.43874265687091457,0.5689885782562027,nan,0.10350279947608268,-0.06924690374651084,-0.019585369583577223,-0.05110701651438619,nan,1.347590336864537,0.737026235767343,1.494817489372113,0.14675904261398237,0.0,22.10117929424931,43.731945084286686,24.257922088810695,0.6075293144492249,0.0,0.5555555555555556,0.4895833333333333,1.0,0.3958333333333333,1.0,0.11929126026307223,-0.0664392012185075,-0.022728962460163406,-0.05691458792986348,1.0,0.00012965123302588922,0.00017342637459590872,0.0011767038801018671,0.003662197170427346,1.0,357.83038917533287,1884.1265539559517,578.9046898112779,0.15705364426945384,0.0
Abell2744,L5,0.591741247144769,0.05744962537467028,-0.4517726544808449,-0.3374140871156733,0.0,0.27760471714224305,0.1647143055324346,0.3700357107422303,8.558899041504906,nan,-0.0030490794464963157,0.1740972449491592,-0.2447583303567834,-0.1010028903056917,nan,1.6397902893903868,0.782113430415281,1.2607295950082826,2.2075941014678855,0.0,1.349540508527197,1.6745099650993793,1.4069754288389649,0.03390455313654316,0.0,0.4930555555555556,0.5347222222222222,1.0,0.3923611111111111,1.0,0.014005099887874805,0.17331832302504932,-0.18878979138283722,-0.1272711380104409,1.0,0.002442383225005507,0.12642647277069288,-0.19347907927739771,-0.003960957684978346,1.0,1.3488380235153288,2.781271030981368,1.4197873890731671,0.0004968733585874241,0.0
MACS0416,L1,0.49819334210226784,0.2262474197852321,-1.2013937348392925,-0.08769342026360744,0.0,0.19613730812394767,0.181732688262904,0.3670633571389949,0.8051113817787545,nan,-0.21361331453383645,-0.23045029556492183,0.12184251279945961,0.3644889864202237,nan,1.1021639707613573,1.0163364631141525,1.4021592927961783,0.20224226477839402,0.0,11.091583812965498,25.79618584497891,14.07186747569992,0.5140384178466173,0.0,0.4861111111111111,0.3923611111111111,1.0,0.4722222222222222,1.0,-0.14045589541411974,-0.21240791869114933,0.11276117333590538,0.35615724051457026,1.0,-0.00029442577963535976,7.89562011537998e-05,0.005949370887831499,-0.008941389769589381,1.0,96.74291714538352,637.1211487434764,127.44125758435223,0.07168987188038713,0.0
MACS0416,L2,0.49984320012000694,0.2238047920033085,-1.1964010501679843,-0.08452035561767653,0.0,0.19840228598771098,0.18193569027398415,0.3658012329756848,0.812418070122774,nan,-0.3339285076801094,-0.26198064855513464,0.13667761743351592,0.47163246601575837,nan,1.1148916716760369,1.0174717478442599,1.3973380566530735,0.2040776893322733,0.0,10.558457849410654,24.801727601847954,13.413767579580513,0.48918396269039843,0.0,0.4722222222222222,0.3680555555555556,1.0,0.4722222222222222,1.0,-0.2423300740669295,-0.2530723910798179,0.13558106169296988,0.43611425919004615,1.0,-0.0002230414492430789,-0.0001545901396539209,0.006744013926510632,0.00741948270966112,1.0,87.65665891456167,585.1265926703293,120.07425839195378,0.06491730228730237,0.0
MACS0416,L3,0.4992823407481021,0.2230887031468286,-1.277591908255959,-0.0855164730783205,0.0,0.19230542478877138,0.1800226621550912,0.3849288699719025,0.39536647646799566,nan,-0.08424267965205134,-0.2150388535965195,0.024961389220458964,0.24920566943562805,nan,1.0806312812766865,1.0067731759429799,1.4704044454436136,0.09931521703454704,0.0,147.52482307881493,368.02567466392594,188.88066101074688,6.834123534768706,0.0,0.5486111111111112,0.4027777777777778,1.0,0.4305555555555556,1.0,-0.011093461774953885,-0.2257217808213673,-0.03568615394507875,0.2320021982968223,1.0,8.541541613267351e-05,0.0001510276153438242,0.0002850109187088314,-0.00019270748651581691,1.0,17112.793005275682,128876.97280968826,28913.296652001747,12.670415014805073,0.0
MACS0416,L4,0.4944206486501053,0.22041425676995413,-1.2275385454481418,-0.0953567841149638,0.0,0.19241001251961576,0.17979982000190445,0.3735784490517908,0.675214028340472,nan,-0.02220011955893784,0.013402139370110517,0.033849959210756994,0.07124714759037626,nan,1.0812189962291499,1.0055269356107237,1.4270465404368866,0.16961232618525537,0.0,16.079511258046207,59.84743513884454,21.318086504559187,0.7447685238060904,0.0,0.5277777777777778,0.5243055555555556,1.0,0.4444444444444444,1.0,0.040392197050986824,0.0276515197183608,-0.019931860836156556,0.039094619196315544,1.0,0.0003003985316004737,0.0004081754328529987,0.002568286093621142,-0.013629404706636936,1.0,204.38259575288245,3489.3982720373406,332.8960999569476,0.15129707834031508,0.0
MACS0416,L5,0.46126638331303926,0.1124982046541066,-0.6140678605577268,-0.3076081367398092,0.0,0.20787849729625846,0.18261237474810088,0.28065438184033364,6.507391695080047,nan,0.20206421359115734,0.11421590694764554,-0.014367069089729899,-0.24648201365217204,nan,1.168141809467273,1.0212560923760106,1.0720823582844767,1.6346429376087972,0.0,1.5083559874470456,2.451553633035237,1.7885011777220003,0.06226097202661134,0.0,0.5277777777777778,0.5381944444444444,1.0,0.4722222222222222,1.0,0.185742517954097,0.0807326517407537,0.060665657941799386,-0.2521113897495871,1.0,0.03157385290267262,0.06907188775829311,0.003937144174914171,0.0045313841489261165,1.0,1.79394655827411,6.161641012439911,2.282300203239355,0.0010720605464994732,0.0
