bins,cluster,extent,gamma1_rms,gamma2_rms,gamma_mag_rms,kappa_rms,lane,nphotons,rx_rms,ry_rms,step,steps
64,Abell2744,8.0,0.08078261130284972,0.03767209580020744,0.08913482535399568,0.16162135847013967,L1,20000,0.022467393935702618,0.02314804628233531,0.03,160
64,Abell2744,8.0,0.08318153553609106,0.03780593586345379,0.09136988913560945,0.16641257854489178,L2,20000,0.022447711221373692,0.02313631856863259,0.03,160
64,Abell2744,8.0,0.0073698363911888715,0.0026028186335887633,0.007815955045434224,0.01473934497172347,L3,20000,0.0014665175507866854,0.001483219128338873,0.03,160
64,Abell2744,8.0,0.06119926929206768,0.016817559915285205,0.0634679516243216,0.12245736071985629,L4,20000,0.008589424454352939,0.010426841386052413,0.03,160
64,Abell2744,8.0,1.00224929504128,0.4392118422677198,1.094262624692513,2.194290427830751,L5,20000,0.08212800217031395,0.10992499286614227,0.03,160
64,MACS0416,8.0,0.0973784591326996,0.03900501827809196,0.1048997414388288,0.19466963260051373,L1,20000,0.02180306211428798,0.021513502917883412,0.03,160
64,MACS0416,8.0,0.10229536893099028,0.04056897634475632,0.11004628274680073,0.2045604058530483,L2,20000,0.021784771685507832,0.021501687450557614,0.03,160
64,MACS0416,8.0,0.007321353237419178,0.002733995940112832,0.007815174152098066,0.014642356029365665,L3,20000,0.0013877272083084632,0.0014073791708046823,0.03,160
64,MACS0416,8.0,0.06717127925808686,0.016812428102459958,0.06924332816862774,0.13436076679685807,L4,20000,0.008112352366371166,0.010062261074334606,0.03,160
64,MACS0416,8.0,0.7160652724134806,0.4104257344526132,0.825347658782382,1.6072294840173682,L5,20000,0.08184091744433526,0.10223763877988065,0.03,160
64,MACS1149,8.0,0.04288434079925792,0.019292206584645144,0.047023993032190736,0.08586934120134214,L1,20000,0.013922844348302486,0.015029766612200058,0.03,160
64,MACS1149,8.0,0.04207291352718142,0.01864366257502047,0.04601865064163555,0.08422841231162187,L2,20000,0.013896799548565689,0.015007008070768893,0.03,160
64,MACS1149,8.0,0.007344884334911623,0.0018617226708500178,0.007577158913233051,0.014690055836331997,L3,20000,0.0011410265715504028,0.0011917395397446082,0.03,160
64,MACS1149,8.0,0.05824772406606382,0.015715659214922916,0.06033058348330391,0.116591772656704,L4,20000,0.0069074051566375486,0.009205464114661919,0.03,160
64,MACS1149,8.0,0.9529552606977172,0.3587460020355753,1.0182447755171458,1.995228964468944,L5,20000,0.08013794373052108,0.11976202193848691,0.03,160
64,AbellS1063,8.0,0.06254158046681053,0.033122512848354976,0.07077111094702397,0.1248378988585608,L1,20000,0.0175300608563685,0.017591788152680293,0.03,160
64,AbellS1063,8.0,0.06142493185103515,0.032375775504365725,0.06943495583935659,0.12270738163594794,L2,20000,0.01750794546150458,0.017574908525051634,0.03,160
64,AbellS1063,8.0,0.007069479428375653,0.002559561496334758,0.0075185699731894476,0.014138588341140589,L3,20000,0.001242248463027848,0.0012218804614445172,0.03,160
64,AbellS1063,8.0,0.06556257772089083,0.01808451504866388,0.06801103794203701,0.1310597036989372,L4,20000,0.007466489142420384,0.009190823741792496,0.03,160
64,AbellS1063,8.0,1.237705773396543,0.44715211758085166,1.316001746866688,2.5491786467831363,L5,20000,0.09840527850870696,0.12666855735371574,0.03,160
64,Abell370,8.0,0.09726609807808284,0.041633933860157867,0.10580207126520363,0.1946013793475417,L1,20000,0.023485171137047692,0.024328950885974043,0.03,160
64,Abell370,8.0,0.09967128473300588,0.04088197997065134,0.10772976045015911,0.19941745336424369,L2,20000,0.023468617802821973,0.024313624431339293,0.03,160
64,Abell370,8.0,0.009457537416948875,0.002768958749223447,0.009854549535513488,0.018915162434575857,L3,20000,0.001507535829048387,0.0015278730064359515,0.03,160
64,Abell370,8.0,0.07252626930026507,0.01831490336245226,0.0748030442147279,0.14511676161811796,L4,20000,0.008738334034144053,0.010858142650779955,0.03,160
64,Abell370,8.0,0.9523195629391658,0.21798537516570207,0.9769494223053595,1.9159623293624009,L5,20000,0.07480196684140432,0.10071333948710337,0.03,160
