cluster_id,corr_synergy_vs_grad_C,corr_synergy_vs_coherence_factor,corr_synergy_vs_memory_term
Abell2744,0.22561069228339253,0.28948689259008703,-0.23915286465558172
MACS0416,0.1795181331575515,0.2282608284882255,-0.2630233420780807
MACS1149,0.14018349192811136,0.1628375333111472,-0.2360951081163537
AbellS1063,0.11500099103498482,0.15023757118078518,-0.2718863103107869
Abell370,0.26803956995236905,0.2976639777558055,-0.23454681130718882
