family_number,family_code,family_name,is_wrong,state_kind,principle,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,phase_emergence_score,orientation_emergence_score,multiplicative_coupling_score,relaxation_time,spatial_correlation_length,temporal_persistence_length
11,WR1,Wrong: Random Evolution,True,real,u random per step; no coherent dynamics,Abell2744,Abell 2744,0.09092629317779921,0.015614100794426539,-0.0047193653373291955,0.004389806388513437,1.5412082491351313,0.9198008774675459,-0.10081071786188461,0.7834149657519756,0.2907040660502389,2.220446049250313e-16,-0.005078213810321435,-0.49176175495185415,0.5772057881593716,0.0,-0.0011400870159537291,0.0,20.0,128.0,1.0
12,WR2,Wrong: Frozen State,True,real,u = u_init; never evolves,Abell2744,Abell 2744,0.014001283242230326,0.08948461822239673,-0.010579577674971226,0.10079111678948757,0.15580164476001288,0.060821551094784654,-0.05939227269880528,0.0015525044615069946,0.23830399999860674,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.003938209525174321,0.0,0.0,3.0,0.0
13,WR3,Wrong: Independent Local Evolution,True,real,self-relaxation only; no neighbour influence,Abell2744,Abell 2744,0.014001283242230326,0.08948461822239673,-0.010579577674971226,0.10079111678948757,0.15580164476001288,0.060821551094784654,-0.05939227269880528,0.0015525044615069946,0.23902845999691635,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.003938209525174321,0.0,0.0,3.0,0.0
14,WR4,Wrong: Neighbour Influence Without Internal Evolution,True,real,state = neighbourhood mean (no self-equilibrium),Abell2744,Abell 2744,-0.09404949414848895,0.07986146778525202,0.014652185868506475,0.08449411371984782,0.12506328917733542,0.05160485576077498,-0.05223845611943482,-0.02092509783536482,0.2373657610733062,2.220446049250313e-16,0.0015116807072152781,0.9470291397644148,0.02270131212422966,0.0,0.005449807501582981,0.0,6.0,3.0,2.0
1,E1,Linear Relaxation,False,real,u evolves toward neighbour-mean by linear diffusion,MACS0416,MACS J0416,0.020010662726929196,0.12193976721570789,-0.0002075245848485311,0.13272992893474567,0.18909024585651835,0.06360943664387214,-0.0996887662922134,-0.008656200564482887,0.2386397299123928,2.220446049250313e-16,0.0010401197470614417,0.9995928042584475,0.0063804508026511835,0.0,0.0005286619952499881,0.0,8.0,7.0,5.0
2,E2,Phase Oscillator,False,complex,dz/dt = i·ω·z + K·(⟨z⟩ₙ − z); phase emerges as arg(z),MACS0416,MACS J0416,0.11169936137310131,0.036208810729878756,-0.0011427897205525464,0.014171400810911942,0.6888983086813638,0.3966434151256679,-0.10302908682898287,0.32310639528658913,0.25595784303732216,2.220446049250313e-16,-0.0033032510735588254,0.9963374879084109,0.792560372563261,0.999968519380824,0.026471539585173683,0.5,7.0,3.0,4.0
3,E3,Orientation Alignment,False,complex,θ evolves by neighbour-mean alignment on S¹ (normalised complex),MACS0416,MACS J0416,-0.2045528793666273,0.010529542397703855,-0.0031471461259577308,0.0022756163861028453,2.537207862134862,1.4130686490420548,-0.08113962557211082,1.2040309394106044,0.2855607840465382,2.220446049250313e-16,0.004825706499600679,0.9883251518946667,3.7646326413833013,1.0,0.006053620921236395,0.5,8.0,5.0,5.0
4,E4,Coupled Oscillator,False,complex,single complex z; phase and amplitude evolve together from one state vector,MACS0416,MACS J0416,0.09827368317238078,0.05855585628896584,-0.004697918629833703,0.02031881647932698,0.580246653391678,0.3246392200116331,-0.10828664081440902,0.2563823133659222,0.2527910580392927,2.220446049250313e-16,-0.0027635712787386245,0.9993572390454104,2.075783799583046,0.9999823271196693,0.027652397801809402,0.5,7.0,3.0,4.0
5,E5,Energy Minimisation Evolution,False,real,each step takes a gradient step minimising the local interaction energy,MACS0416,MACS J0416,0.01978042335379378,0.11725925625532999,0.000264688052374202,0.12698298057371016,0.18660437354733977,0.06491265677243208,-0.09871882091984961,-0.011555651693195612,0.23778752307407558,2.220446049250313e-16,-0.0001712862599314971,-0.9834271396673904,0.001985013441560338,0.0,-0.0006827440117429585,0.0,1.0,7.0,1.0
6,E6,Local Potential Gradient,False,real,u evolves along the gradient of a microscopic interaction potential V(u),MACS0416,MACS J0416,0.018667931765544394,0.1179614374286797,-0.0004581618657552517,0.11713596693798799,0.22905061456400594,0.0791834354724687,-0.10045041623130764,0.018308282272406426,0.2363993739709258,2.220446049250313e-16,0.0007847816684305876,0.9999300916860785,0.3825309092400794,0.0,0.00027332391661913944,0.0,14.0,7.0,5.0
7,E7,Hamiltonian Evolution,False,hamiltonian,"canonical (q, p) evolution with conserved local Hamiltonian; symplectic integrator",MACS0416,MACS J0416,0.039188868181676446,0.07738133602421617,0.003570741832985361,0.088287339339453,0.20181752709143996,0.06773313169476333,-0.09431380899089022,0.004626348534726216,0.23742904304526746,2.220446049250313e-16,-0.0006540662271487103,0.9997680273197193,0.08800939139220038,0.0,-0.0011655239789601641,0.0,12.0,7.0,4.0
8,E8,Weakly Dissipative Evolution,False,hamiltonian,"canonical (q, p) with small linear dissipation; reversible + weakly dissipative",MACS0416,MACS J0416,0.028905678379685974,0.06803673929023003,0.0026915553768965595,0.08047585083849698,0.2014271478584251,0.06728284074040634,-0.09449837806141916,0.002818882638192939,0.23870800202712417,2.220446049250313e-16,-0.0007323797592722316,0.9996994698067351,0.08499668865458794,0.0,-0.001243837511083679,0.0,12.0,7.0,4.0
9,E9,Cooperative Field Evolution,False,real,internal state responds to weighted 9-point neighbourhood (Laplacian-style),MACS0416,MACS J0416,0.01896266723181193,0.12152090647283163,-0.000452230460393725,0.13284782398522524,0.18885074443034638,0.0630470459303019,-0.10020009097840174,-0.008725821975183717,0.23623505502473563,2.220446049250313e-16,0.0014371551211152956,0.9998870586764349,0.043891086731850736,0.0,0.0009256973693038373,0.0,12.0,7.0,5.0
10,E10,Unified Evolution,False,complex,"single coupled nonlinear equation (Ginzburg–Landau); phase, orientation, memory all emerge without explicit updates",MACS0416,MACS J0416,0.07783082073348185,0.018002119791413234,0.0010190856006012,0.014522621402264704,0.5457445385905135,0.30350821562182245,-0.09886833540494382,0.23561997628651377,0.25065259099937975,2.220446049250313e-16,-0.0014854558478222526,0.9952888283126986,0.45553494235844194,0.9999776270930371,0.026312075924259503,1.0,6.0,3.0,4.0
11,WR1,Wrong: Random Evolution,True,real,u random per step; no coherent dynamics,MACS0416,MACS J0416,0.09587133113669,-0.05595318707970544,-0.009584441638769387,0.0028810223619910712,1.5444636604090052,0.9082994014607987,-0.15241527353987067,0.7676666942535054,0.29229417094029486,2.220446049250313e-16,-0.0006286292641422764,-0.49176175495185415,0.5772057881593716,0.0,-0.0011400870159537291,0.0,20.0,128.0,1.0
12,WR2,Wrong: Frozen State,True,real,u = u_init; never evolves,MACS0416,MACS J0416,0.018967012754257013,0.11745442862258923,0.00036284712828226536,0.12674274391855006,0.18596014429000082,0.06527636650253027,-0.09848896238078059,-0.012579496017368446,0.23541935696266592,2.220446049250313e-16,0.0,0.0,0.0,0.0,-0.0005113791716171242,0.0,0.0,7.0,0.0
13,WR3,Wrong: Independent Local Evolution,True,real,self-relaxation only; no neighbour influence,MACS0416,MACS J0416,0.018967012754257013,0.11745442862258923,0.00036284712828226536,0.12674274391855006,0.18596014429000082,0.06527636650253027,-0.09848896238078059,-0.012579496017368446,0.23531977704260498,2.220446049250313e-16,0.0,0.0,0.0,0.0,-0.0005113791716171242,0.0,0.0,7.0,0.0
14,WR4,Wrong: Neighbour Influence Without Internal Evolution,True,real,state = neighbourhood mean (no self-equilibrium),MACS0416,MACS J0416,0.004499271990812571,0.10327769831487058,-0.0008725678257073076,0.11111640503303775,0.16452969833730696,0.06046140986497778,-0.10285906839252451,-0.028916027469866705,0.2345608080504462,2.220446049250313e-16,-0.0019733395911691503,0.947770780395708,0.018052194761055587,0.0,-0.002484797342980609,0.0,6.0,7.0,2.0
1,E1,Linear Relaxation,False,real,u evolves toward neighbour-mean by linear diffusion,MACS1149,MACS J1149,0.1962766906325546,-0.06095466488207722,0.08963957620078866,-0.00676007347472796,0.08941718026374104,0.11346067139823111,-0.03249274426160486,-0.08946926752603863,0.2357892469735816,2.220446049250313e-16,0.0024833353498059617,0.9996364842089392,0.004552908626075381,0.0,-0.00517731786270585,0.0,8.0,4.0,5.0
2,E2,Phase Oscillator,False,complex,dz/dt = i·ω·z + K·(⟨z⟩ₙ − z); phase emerges as arg(z),MACS1149,MACS J1149,0.011704958105183598,-0.17876522099703296,-0.006769508608379133,-0.026002901204787595,0.7845673149170624,0.4531326424719258,-0.08953064101443761,0.35112519484226257,0.25843987497501075,2.220446049250313e-16,0.006837168902544232,0.9965403657461775,0.8680121141845603,0.999951435838974,0.02556466174430995,0.5,6.0,2.0,4.0
3,E3,Orientation Alignment,False,complex,θ evolves by neighbour-mean alignment on S¹ (normalised complex),MACS1149,MACS J1149,-0.15141148433494223,-0.1182472228630833,-1.5931472755751484e-06,0.0007138023095431409,2.4625171807125885,1.3926126869273836,-0.11517576599632341,1.128429984594312,0.2822434330591932,2.220446049250313e-16,0.022112353477550608,0.9902187117730256,3.4242820763858166,1.0,-0.003802211237572882,0.5,8.0,8.0,5.0
4,E4,Coupled Oscillator,False,complex,single complex z; phase and amplitude evolve together from one state vector,MACS1149,MACS J1149,0.020472836438026012,-0.16745617407882465,-0.00919698458128375,-0.030394098498797303,0.7045069382386753,0.4028366853010852,-0.08242933623210764,0.30600130018652805,0.25524021894671023,2.220446049250313e-16,0.007101300294824377,0.999188601326051,2.07786818019832,0.9999683515237215,0.026399365951304717,0.5,7.0,19.0,4.0
5,E5,Energy Minimisation Evolution,False,real,each step takes a gradient step minimising the local interaction energy,MACS1149,MACS J1149,0.2275129625679801,-0.007720266927511642,0.10331457523731594,0.008197689646393794,0.08682947322550058,0.1148768209754077,-0.032467764738186924,-0.0919274989351883,0.23499349888879806,2.220446049250313e-16,0.0006654520448481221,-0.9820527839704782,0.001387849442208531,0.0,-0.006995201167663666,0.0,1.0,4.0,1.0
6,E6,Local Potential Gradient,False,real,u evolves along the gradient of a microscopic interaction potential V(u),MACS1149,MACS J1149,0.19933094352247221,-0.04689559208075178,0.12400913300836985,-0.008848764031622932,0.10007000775322022,0.10739649913342618,-0.028385237320097203,-0.07881290538297009,0.23673012701328844,2.220446049250313e-16,0.0020732961971297453,0.9999389320617652,0.2902166893359659,0.0,-0.005587357015382047,0.0,14.0,4.0,5.0
7,E7,Hamiltonian Evolution,False,hamiltonian,"canonical (q, p) evolution with conserved local Hamiltonian; symplectic integrator",MACS1149,MACS J1149,0.09273517913546633,0.1514145695176468,0.05077028909226245,0.11066876175211027,0.12194870877155936,0.09276935035102897,-0.029907478126401217,-0.06301887331996754,0.23757898795884103,2.220446049250313e-16,0.00751019139005622,0.9997680396914145,0.08794817403119871,0.0,-0.00015046182245556888,0.0,12.0,4.0,4.0
8,E8,Weakly Dissipative Evolution,False,hamiltonian,"canonical (q, p) with small linear dissipation; reversible + weakly dissipative",MACS1149,MACS J1149,0.09033878568897014,0.14479488119920786,0.05148835632255648,0.10013613684922267,0.11727537983922162,0.09474830955409279,-0.029664048020785698,-0.06630261499207973,0.23741100798361003,2.220446049250313e-16,0.007652527427934734,0.9996994401521324,0.08493709532387869,0.0,-8.12578457705615e-06,0.0,12.0,4.0,4.0
9,E9,Cooperative Field Evolution,False,real,internal state responds to weighted 9-point neighbourhood (Laplacian-style),MACS1149,MACS J1149,0.18429587442363304,-0.08918494027548095,0.08531576658997739,-0.014907875093031242,0.09022837641973692,0.11300833625675895,-0.03235188882705363,-0.08860138333216926,0.23587148007936776,2.220446049250313e-16,0.003543666497812288,0.9999175108736246,0.03315091671751773,0.0,-0.004116986714699494,0.0,12.0,4.0,5.0
10,E10,Unified Evolution,False,complex,"single coupled nonlinear equation (Ginzburg–Landau); phase, orientation, memory all emerge without explicit updates",MACS1149,MACS J1149,0.03793301792969429,-0.1368168570077852,-0.0091023447305193,-0.026819425918988365,0.6579423866937275,0.3690431384819017,-0.06518749153572737,0.2760334765081344,0.2550180209800601,2.220446049250313e-16,0.007039331128388833,0.9956847223967685,0.49435904063028335,0.9999559028644008,0.025081844719685498,1.0,6.0,92.0,4.0
11,WR1,Wrong: Random Evolution,True,real,u random per step; no coherent dynamics,MACS1149,MACS J1149,0.0554723810205778,0.06389428219821473,-0.00339048246324501,0.011088219517931252,1.542744777592252,0.8783488993598121,-0.09576144079732707,0.7347367608661108,0.2944907429628074,2.220446049250313e-16,0.00652056619655806,-0.49176175495185415,0.5772057881593716,0.0,-0.0011400870159537291,0.0,20.0,128.0,1.0
12,WR2,Wrong: Frozen State,True,real,u = u_init; never evolves,MACS1149,MACS J1149,0.23902221907516183,0.007503044877968618,0.10812500268698984,0.012020953045169666,0.0855920511147788,0.11556336632138196,-0.032438909087579126,-0.09306476324719898,0.23548438993748277,2.220446049250313e-16,0.0,0.0,0.0,0.0,-0.007660627741566557,0.0,0.0,4.0,0.0
13,WR3,Wrong: Independent Local Evolution,True,real,self-relaxation only; no neighbour influence,MACS1149,MACS J1149,0.23902221907516183,0.007503044877968618,0.10812500268698984,0.012020953045169666,0.0855920511147788,0.11556336632138196,-0.032438909087579126,-0.09306476324719898,0.23617918998934329,2.220446049250313e-16,0.0,0.0,0.0,0.0,-0.007660627741566557,0.0,0.0,4.0,0.0
14,WR4,Wrong: Neighbour Influence Without Internal Evolution,True,real,state = neighbourhood mean (no self-equilibrium),MACS1149,MACS J1149,0.16657782381036912,-0.23068151251851932,0.10328740492795946,-0.05198823485278488,0.08898886955103823,0.11303604472705316,-0.02791800427112726,-0.08736178259598865,0.23714402003679425,2.220446049250313e-16,0.010821812046085847,0.9599948663013474,0.012782371452049008,0.0,0.0031611588335740634,0.0,5.0,4.0,2.0
1,E1,Linear Relaxation,False,real,u evolves toward neighbour-mean by linear diffusion,AbellS1063,Abell S1063,0.09386529605539595,0.0778569915455897,-0.04355841478228689,0.08761090673818939,0.13369752309557983,0.06710638984473674,-0.05516253697040188,-0.0196498004846196,0.23721627902705222,2.220446049250313e-16,0.0037249027408244244,0.9996891966939372,0.005013179897571704,0.0,0.006423413957878072,0.0,9.0,3.0,5.0
2,E2,Phase Oscillator,False,complex,dz/dt = i·ω·z + K·(⟨z⟩ₙ − z); phase emerges as arg(z),AbellS1063,Abell S1063,-0.03434540032301471,-0.1378063748286119,0.0029287813530648526,-0.010089668691973983,0.6711779609152941,0.43062225651232994,0.04161150331517034,0.34885775746035247,0.2577104000374675,2.220446049250313e-16,-0.003399509250346752,0.9971716548198747,0.7542535411296918,0.9999488487132211,0.035318208878565675,0.5,7.0,1.0,4.0
3,E3,Orientation Alignment,False,complex,θ evolves by neighbour-mean alignment on S¹ (normalised complex),AbellS1063,Abell S1063,-0.24123385365525746,-0.08456194672451499,0.0001242025328849296,0.0010761506204126187,2.2596040082118103,1.3563547935763023,0.16159041395221674,1.1238728520548256,0.28350138606037945,2.220446049250313e-16,0.017377910607705976,0.9896309441038116,3.4188512854587048,1.0,0.003316882870324913,0.5,8.0,3.0,5.0
4,E4,Coupled Oscillator,False,complex,single complex z; phase and amplitude evolve together from one state vector,AbellS1063,Abell S1063,-0.014733242172941112,-0.12635529370710213,0.007835554362438006,-0.014209312359247864,0.5596705997459014,0.34820527517794375,0.02140998706614076,0.27566633259630663,0.25084485695697367,2.220446049250313e-16,-0.0025886408222649993,0.9993810321584073,2.047781837859974,0.9999362803670439,0.03590546139920759,0.5,7.0,8.0,4.0
5,E5,Energy Minimisation Evolution,False,real,each step takes a gradient step minimising the local interaction energy,AbellS1063,Abell S1063,0.09144613568040569,0.08031098768959756,-0.040872828920086736,0.0899187279202238,0.1351309320116953,0.06931099531532374,-0.05453473469322744,-0.02136600610926188,0.24816721095703542,2.220446049250313e-16,0.0012573517444438276,-0.9802077241509044,0.0014927570349186191,0.0,0.003955862961497497,0.0,1.0,3.0,1.0
6,E6,Local Potential Gradient,False,real,u evolves along the gradient of a microscopic interaction potential V(u),AbellS1063,Abell S1063,0.08377381167349403,0.07850389648401344,-0.0414217182035191,0.08996953774493499,0.1737431946858643,0.07863528982749896,-0.05921858019502973,0.003644623214422885,0.2368038420099765,2.220446049250313e-16,0.0036012043078025306,0.9998938410024519,0.3965461156779488,0.0,0.006299715524856174,0.0,14.0,3.0,5.0
7,E7,Hamiltonian Evolution,False,hamiltonian,"canonical (q, p) evolution with conserved local Hamiltonian; symplectic integrator",AbellS1063,Abell S1063,-0.011392649646822609,0.1637911480158357,-0.000886866776538532,0.17702778105929176,0.15623438706379658,0.06095756189082302,-0.04786811376435199,-0.0018798592693976014,0.23820929101202637,2.220446049250313e-16,-0.002921672539828646,0.9997678432805301,0.08795533886827761,0.0,-0.00022316132277498633,0.0,12.0,3.0,4.0
8,E8,Weakly Dissipative Evolution,False,hamiltonian,"canonical (q, p) with small linear dissipation; reversible + weakly dissipative",AbellS1063,Abell S1063,-0.005255007053082677,0.1642342368882493,-0.0018949011967193377,0.1766332288119591,0.15194665537121116,0.06056562343491878,-0.04830354731829389,-0.005092739415636181,0.2387642910471186,2.220446049250313e-16,-0.0028651308927967523,0.9996992022998723,0.08494418166856213,0.0,-0.00016661967574308872,0.0,12.0,3.0,4.0
9,E9,Cooperative Field Evolution,False,real,internal state responds to weighted 9-point neighbourhood (Laplacian-style),AbellS1063,Abell S1063,0.09539047321778406,0.07726304897799594,-0.043318993052768096,0.08657022426253458,0.13038213023211992,0.06564202295950419,-0.05475787336219992,-0.02043833524775318,0.23638113297056407,2.220446049250313e-16,0.005199224995886199,0.9999614660973783,0.046353333149047694,0.0,0.00789773621293985,0.0,12.0,3.0,5.0
10,E10,Unified Evolution,False,complex,"single coupled nonlinear equation (Ginzburg–Landau); phase, orientation, memory all emerge without explicit updates",AbellS1063,Abell S1063,-0.014893875239437573,-0.0976573561228667,0.007941796632648724,-0.010278418129844799,0.5163272220594173,0.3213851069489238,0.014542741945176645,0.24971629146699156,0.27339860901702195,2.220446049250313e-16,-0.001843573295793112,0.9965250609159282,0.4396241060705499,0.9999472795201602,0.03514222986919856,1.0,6.0,68.0,4.0
11,WR1,Wrong: Random Evolution,True,real,u random per step; no coherent dynamics,AbellS1063,Abell S1063,-0.10906944169140938,0.04481724537174876,-0.0007644307874011215,0.006110212247271723,1.5517372321028131,0.910824950482988,-0.09623224930460968,0.7733055105532988,0.29311195004265755,2.220446049250313e-16,-0.0038385982330073846,-0.49176175495185415,0.5772057881593716,0.0,-0.0011400870159537291,0.0,20.0,128.0,1.0
12,WR2,Wrong: Frozen State,True,real,u = u_init; never evolves,AbellS1063,Abell S1063,0.08951008530735126,0.08360319633681883,-0.03831386987622771,0.09290241574484291,0.1353950414190409,0.06971014058135759,-0.05393297259251044,-0.021998981938958884,0.23712079389952123,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.002698461927460776,0.0,0.0,3.0,0.0
13,WR3,Wrong: Independent Local Evolution,True,real,self-relaxation only; no neighbour influence,AbellS1063,Abell S1063,0.08951008530735126,0.08360319633681883,-0.03831386987622771,0.09290241574484291,0.1353950414190409,0.06971014058135759,-0.05393297259251044,-0.021998981938958884,0.23662352503743023,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.002698461927460776,0.0,0.0,3.0,0.0
14,WR4,Wrong: Neighbour Influence Without Internal Evolution,True,real,state = neighbourhood mean (no self-equilibrium),AbellS1063,Abell S1063,0.09669806117297007,0.04956600318574718,-0.042455532575578464,0.05485052816671242,0.10418220413006646,0.06271784925439278,-0.05286991603738616,-0.034323520624518045,0.23631607496645302,2.220446049250313e-16,0.0045478996625452125,0.9713515122371883,0.016043654085453867,0.0,0.00724641087955092,0.0,6.0,3.0,2.0
1,E1,Linear Relaxation,False,real,u evolves toward neighbour-mean by linear diffusion,Abell370,Abell 370,0.20289728167979496,0.04023940028837765,-0.030061905483762443,0.06545043490764643,0.16886765813835705,0.08744269951317174,-0.06506669687960086,-0.02023382352256688,0.23850710305850953,2.220446049250313e-16,-0.0010359712917353036,0.9995338967689402,0.008872892579686981,0.0,-0.0034525066950888473,0.0,8.0,3.0,5.0
2,E2,Phase Oscillator,False,complex,dz/dt = i·ω·z + K·(⟨z⟩ₙ − z); phase emerges as arg(z),Abell370,Abell 370,0.028751788520150725,-0.04680255283992661,-0.00355294487407706,0.001765701735149143,0.6916285853471781,0.377161707688999,-0.07175980107262801,0.27879247934513923,0.25472153804730624,2.220446049250313e-16,0.004351270144550732,0.9958978627342505,0.8945535306880484,0.9999500859288845,0.02055499935073036,0.5,7.0,78.0,4.0
3,E3,Orientation Alignment,False,complex,θ evolves by neighbour-mean alignment on S¹ (normalised complex),Abell370,Abell 370,-0.292422912461109,-0.04343244155933345,-0.008036239910525555,0.001264363664985807,2.5751583873298842,1.4631738316505105,0.09893998742126131,1.2237500402196715,0.28474040993023664,2.220446049250313e-16,0.011294944724091252,0.9882541614551434,3.797842892235658,1.0,0.001147115884555732,0.5,8.0,11.0,5.0
4,E4,Coupled Oscillator,False,complex,single complex z; phase and amplitude evolve together from one state vector,Abell370,Abell 370,0.04359127209141373,-0.03807359238235738,-0.005107260517789373,-0.0001299216405930131,0.5720905604072929,0.2972035852519566,-0.07066320658284703,0.2106013939678665,0.25098261306993663,2.220446049250313e-16,0.005278051029862345,0.9992364265622325,2.14511066712123,0.999987149586863,0.020474336433997743,0.5,7.0,5.0,4.0
5,E5,Energy Minimisation Evolution,False,real,each step takes a gradient step minimising the local interaction energy,Abell370,Abell 370,0.19875530486939197,-0.009795294991924977,-0.03796861956969831,0.0195069298884914,0.1760546463189995,0.09083206695659751,-0.06689061086027287,-0.01685532233395242,0.23778309498447925,2.220446049250313e-16,-0.00017461276877997218,-0.9852646993101734,0.002847830123954501,0.0,-0.0025911481721335203,0.0,1.0,3.0,1.0
6,E6,Local Potential Gradient,False,real,u evolves along the gradient of a microscopic interaction potential V(u),Abell370,Abell 370,0.221301113883946,0.020835748641327576,-0.022112341767732007,0.04265104564933184,0.22250770968681996,0.1007235911710979,-0.06454643737478777,0.013392565580751574,0.2379457550123334,2.220446049250313e-16,-0.0007919348963438019,0.9999128179693654,0.5390709906625697,0.0,-0.003208470299697347,0.0,14.0,2.0,5.0
7,E7,Hamiltonian Evolution,False,hamiltonian,"canonical (q, p) evolution with conserved local Hamiltonian; symplectic integrator",Abell370,Abell 370,0.14949099988582745,0.02677673995932004,-0.0006322579514690127,0.054503782168691436,0.17037641766726278,0.08580447564382337,-0.059786462414771355,-0.01578586239159367,0.23639632703270763,2.220446049250313e-16,0.0019151381458311781,0.9997681083462991,0.08806918567881758,0.0,-0.0005013972575223688,0.0,12.0,3.0,4.0
8,E8,Weakly Dissipative Evolution,False,hamiltonian,"canonical (q, p) with small linear dissipation; reversible + weakly dissipative",Abell370,Abell 370,0.15525421148011545,0.01857281567951417,-0.00033046552619211554,0.04721898000718026,0.1702683333536092,0.08618208985277757,-0.05973095098466244,-0.016568264258672173,0.23828074499033391,2.220446049250313e-16,0.0020344816514838403,0.9996995968528839,0.08505470121139454,0.0,-0.00038205375186970455,0.0,12.0,3.0,4.0
