family_number,family_code,family_name,is_wrong,state_kind,principle,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,phase_emergence_score,orientation_emergence_score,multiplicative_coupling_score,relaxation_time,spatial_correlation_length,temporal_persistence_length
1,E1,Linear Relaxation,False,real,u evolves toward neighbour-mean by linear diffusion,Abell2744,Abell 2744,-0.010128487919004532,0.1308244739815001,-0.0012334463016429376,0.14076952512458435,0.15288306515319575,0.05678316824686507,-0.054749681646592,0.0014709960629094299,0.2368307390715927,2.220446049250313e-16,0.00018396014723806413,0.9995800237875768,0.00777818093248056,0.0,0.004122086941605773,0.0,8.0,3.0,5.0
2,E2,Phase Oscillator,False,complex,dz/dt = i·ω·z + K·(⟨z⟩ₙ − z); phase emerges as arg(z),Abell2744,Abell 2744,-0.07008439387800353,0.10138851129822594,0.0016418068811957713,0.01614724951737738,0.7233819408990205,0.4193326802831217,-0.07421858785426833,0.3407484932457454,0.2591756760375574,2.220446049250313e-16,-0.005774700621000289,0.9959346775099731,0.8257796711313333,0.9999373128329332,0.021459145906461984,0.5,7.0,65.0,4.0
3,E3,Orientation Alignment,False,complex,θ evolves by neighbour-mean alignment on S¹ (normalised complex),Abell2744,Abell 2744,-0.33062703533505283,0.0318647201951223,-0.0035391982172843493,0.0027115407817948946,2.387126749691224,1.3945574694213736,-0.06399341591997568,1.1621897989683074,0.2866122380364686,2.220446049250313e-16,0.0011101733371073489,0.9884540233706746,3.9816952241458132,1.0,0.0020764290578972775,0.5,8.0,30.0,5.0
4,E4,Coupled Oscillator,False,complex,single complex z; phase and amplitude evolve together from one state vector,Abell2744,Abell 2744,-0.05263434815906986,0.09200980235386799,0.0013008735757760758,0.022113044804593612,0.5816136972723848,0.32581848570086214,-0.08398408829594227,0.2629103466114112,0.2517299639293924,2.220446049250313e-16,-0.004768482682029445,0.9993238122368847,2.114397182839365,0.9999506712782873,0.02352759584698295,0.5,7.0,5.0,4.0
5,E5,Energy Minimisation Evolution,False,real,each step takes a gradient step minimising the local interaction energy,Abell2744,Abell 2744,0.007251189484850477,0.100163047620934,-0.007293135588635406,0.11116379311017423,0.15516246760604582,0.05982046105958663,-0.057866742434815314,0.0016861875708351025,0.23555326997302473,2.220446049250313e-16,-6.857375459275042e-05,-0.9834175267217624,0.0024178196010073852,0.0,0.0038695530397749524,0.0,1.0,3.0,1.0
6,E6,Local Potential Gradient,False,real,u evolves along the gradient of a microscopic interaction potential V(u),Abell2744,Abell 2744,-0.017620714978876316,0.1238953964780565,-0.0008598938300021263,0.11493455863081915,0.200779259513625,0.07945287946935951,-0.05508067657688208,0.031405277072678955,0.238568818080239,2.220446049250313e-16,-0.0005493168369602561,0.9999332095013322,0.48882223104501843,0.0,0.003388809957407447,0.0,14.0,3.0,5.0
7,E7,Hamiltonian Evolution,False,hamiltonian,"canonical (q, p) evolution with conserved local Hamiltonian; symplectic integrator",Abell2744,Abell 2744,-0.021092730595841623,0.1975869135552248,-0.0005537366328893799,0.2028021309708406,0.15568801614879543,0.05425018759580258,-0.045726462395424876,0.007627231942378959,0.23563575092703104,2.220446049250313e-16,-0.0036652101068995395,0.9997679735519898,0.08801947622545073,0.0,0.0002729166874681652,0.0,12.0,3.0,4.0
8,E8,Weakly Dissipative Evolution,False,hamiltonian,"canonical (q, p) with small linear dissipation; reversible + weakly dissipative",Abell2744,Abell 2744,-0.017535132616514862,0.1943061788939495,-0.0003210045379970439,0.20039150508139003,0.15303426515813556,0.0537222024686528,-0.04580072598277777,0.006342094565043967,0.23514480201993138,2.220446049250313e-16,-0.003557014162215567,0.9996994070666929,0.08500650477104184,0.0,0.0003811126321521423,0.0,12.0,3.0,4.0
9,E9,Cooperative Field Evolution,False,real,internal state responds to weighted 9-point neighbourhood (Laplacian-style),Abell2744,Abell 2744,-0.018212930714148357,0.13899487084127018,0.0006154605920990545,0.14873103107835872,0.15027001965207282,0.05525566250197684,-0.05346457916012288,6.862079539465055e-05,0.2353116429876536,2.220446049250313e-16,0.0005439292641978921,0.9998954143422442,0.05601428582748012,0.0,0.004482056058565604,0.0,12.0,3.0,5.0
10,E10,Unified Evolution,False,complex,"single coupled nonlinear equation (Ginzburg–Landau); phase, orientation, memory all emerge without explicit updates",Abell2744,Abell 2744,-0.05772945851082006,0.07591437406955007,0.003537832578278244,0.022534726207056505,0.5406569710751418,0.3007567997240189,-0.09035018742198653,0.23952979689983808,0.24868086900096387,2.220446049250313e-16,-0.004542965414671771,0.9948741136944276,0.48524004046688446,0.9999808105502348,0.020771625734804604,1.0,6.0,4.0,4.0
