rank,family_code,family_name,rank_sum,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_rms_kappa,median_coherence_gain,median_emergent_memory_index,median_phase_emergence_score,median_orientation_emergence_score,median_multiplicative_coupling_score,median_relaxation_time
1,E1,Linear Relaxation,70.0,0.09386529605539595,0.0778569915455897,-0.0012334463016429376,0.15288306515319575,0.0010401197470614417,0.9995928042584475,0.0,0.0005286619952499881,0.0,8.0
2,E9,Cooperative Field Evolution,70.0,0.09539047321778406,0.07726304897799594,-0.000452230460393725,0.15027001965207282,0.0014371551211152956,0.9998954143422442,0.0,0.0009256973693038373,0.0,12.0
3,E7,Hamiltonian Evolution,71.0,0.039188868181676446,0.1514145695176468,-0.0005537366328893799,0.15623438706379658,-0.0006540662271487103,0.9997680273197193,0.0,-0.00022316132277498633,0.0,12.0
4,E8,Weakly Dissipative Evolution,72.0,0.028905678379685974,0.14479488119920786,-0.0003210045379970439,0.15303426515813556,-0.0007323797592722316,0.9996994401521324,0.0,-0.00016661967574308872,0.0,12.0
5,E6,Local Potential Gradient,81.0,0.08377381167349403,0.07850389648401344,-0.0008598938300021263,0.200779259513625,0.0007847816684305876,0.9999300916860785,0.0,0.00027332391661913944,0.0,14.0
6,E5,Energy Minimisation Evolution,100.0,0.09144613568040569,0.08031098768959756,-0.007293135588635406,0.15516246760604582,-6.857375459275042e-05,-0.9834175267217624,0.0,-0.0006827440117429585,0.0,1.0
7,E10,Unified Evolution,100.0,0.023892622902315603,-0.03770901609504192,0.0010190856006012,0.5406569710751418,-0.0014854558478222526,0.9952888283126986,0.9999559028644008,0.025081844719685498,1.0,6.0
8,E3,Orientation Alignment,110.0,-0.24123385365525746,-0.04343244155933345,-0.0031471461259577308,2.4625171807125885,0.011294944724091252,0.9884540233706746,1.0,0.0020764290578972775,0.5,8.0
9,E2,Phase Oscillator,115.0,0.011704958105183598,-0.04680255283992661,-0.0011427897205525464,0.6916285853471781,-0.0033032510735588254,0.9963374879084109,0.9999500859288845,0.02556466174430995,0.5,7.0
10,E4,Coupled Oscillator,119.0,0.020472836438026012,-0.03807359238235738,-0.004697918629833703,0.580246653391678,-0.0025886408222649993,0.9993238122368847,0.9999683515237215,0.026399365951304717,0.5,7.0
11,WR1,Wrong: Random Evolution,147.0,0.09092629317779921,0.015614100794426539,-0.0047193653373291955,1.542744777592252,-0.0006286292641422764,-0.49176175495185415,0.0,-0.0011400870159537291,0.0,20.0
12,WR2,Wrong: Frozen State,108.0,0.08951008530735126,0.08360319633681883,-0.010579577674971226,0.15580164476001288,0.0,0.0,0.0,-0.0005113791716171242,0.0,0.0
13,WR3,Wrong: Independent Local Evolution,121.0,0.08951008530735126,0.08360319633681883,-0.010579577674971226,0.15580164476001288,0.0,0.0,0.0,-0.0005113791716171242,0.0,0.0
14,WR4,Wrong: Neighbour Influence Without Internal Evolution,81.0,0.09669806117297007,0.07986146778525202,-0.0008725678257073076,0.12506328917733542,0.0015116807072152781,0.947770780395708,0.0,0.0031611588335740634,0.0,6.0
