family_code,family_name,is_wrong,quantity_name,value,log_abs,nearest_constant,nearest_constant_value,log10_distance_to_constant,factor_to_constant,is_alpha_or_3alpha
E1,Linear Relaxation,False,median_pearson_kappa_over_rms_kappa,0.6139679104506355,-0.21185432703213203,1/e,0.36787944117144233,0.2224401548711198,1.6689378142349327,False
E1,Linear Relaxation,False,median_coherence_gain_over_memory,0.0010405434519239654,-2.9827397794246884,alpha_fs/2,0.0036486762846419008,0.5448751133209584,0.2851838230494294,False
E1,Linear Relaxation,False,median_correlation_length_over_grid,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
E1,Linear Relaxation,False,median_relaxation_time_over_steps,0.4,-0.3979400086720376,1/e,0.36787944117144233,0.03635447323121425,1.0873127313836182,False
E1,Linear Relaxation,False,DT_over_relaxation_time,0.0125,-1.9030899869919435,2*alpha_fs,0.014594705138567603,0.06728531221617595,0.856474994275,False
E1,Linear Relaxation,False,K_over_omega,5.0,0.6989700043360189,1/e,0.36787944117144233,1.1332644862392707,13.591409142295225,False
E1,Linear Relaxation,False,K_times_DT,0.1,-1.0,1/pi,0.3183098861837907,0.5028501273058662,0.3141592653589793,False
E1,Linear Relaxation,False,gamma_over_omega,2.5,0.3979400086720376,1/e,0.36787944117144233,0.8322344905752894,6.7957045711476125,False
E1,Linear Relaxation,False,gamma_times_DT,0.05,-1.3010299956639813,3*alpha_fs,0.021892057707851405,0.3586834200561052,2.2839333180666666,True
E1,Linear Relaxation,False,omega_times_DT,0.020000000000000004,-1.6989700043360187,3*alpha_fs,0.021892057707851405,0.03925658861593237,0.9135733272266667,True
E1,Linear Relaxation,False,K_over_gamma,2.0,0.3010299956639812,1/e,0.36787944117144233,0.735324477567233,5.43656365691809,False
E1,Linear Relaxation,False,ST_over_grid,2.0,0.3010299956639812,1/e,0.36787944117144233,0.735324477567233,5.43656365691809,False
