cluster_id,family,scale,m10_los_mag_rms,final_angular_centroid_mag_rms,final_angular_spread_rms_rms,final_angular_rms_angle_mag_rms,final_transverse_velocity_rms,final_transverse_displacement_rms,g3d_unit_speed_max_error,g3d_unit_speed_pass,first_step_exact_max_vector_error,first_step_exact_pass,angular_identity_error,angular_covariance_psd_pass,angular_direction_mean_bound_pass,m10_los_mag_vs_observed_pearson,m10_los_mag_vs_observed_spearman,m10_los_mag_vs_observed_count,final_angular_centroid_mag_vs_observed_pearson,final_angular_centroid_mag_vs_observed_spearman,final_angular_centroid_mag_vs_observed_count,final_angular_spread_rms_vs_observed_pearson,final_angular_spread_rms_vs_observed_spearman,final_angular_spread_rms_vs_observed_count,final_angular_rms_angle_mag_vs_observed_pearson,final_angular_rms_angle_mag_vs_observed_spearman,final_angular_rms_angle_mag_vs_observed_count
MACS0416,SOURCE,0.25,1.1106647901985807e-05,3.121273754923701e-05,3.594013602862482e-05,4.7601768486828366e-05,4.765272081195858e-05,0.00011436643957114166,2.220446049250313e-16,True,4.929725227430985e-16,True,1.3621310158658906e-16,True,True,0.18457628103376192,0.12421067711571873,4096,0.31653247710159954,0.19744408625144974,1024,0.4012117613564228,0.439432087252141,1024,0.37691226030664826,0.33636305763395413,1024
MACS0416,SOURCE,0.5,2.00940451356295e-05,5.161466647993173e-05,6.49115400305962e-05,8.293118728788513e-05,8.305248560587149e-05,0.00019932587530070942,2.220446049250313e-16,True,4.929222463699592e-16,True,2.451638933052891e-16,True,True,0.20662935145223404,0.16617050986116297,4096,0.37781892967404673,0.25893723301203064,1024,0.41660184018031593,0.5258811955404247,1024,0.4078068196729922,0.41644111542459983,1024
MACS0416,SOURCE,1.0,3.91687454650119e-05,9.539931238372938e-05,0.00012617697160219747,0.0001581823535227306,0.00015852412393116806,0.0003804577487740515,2.220446049250313e-16,True,4.928222210190358e-16,True,2.3432062094881065e-16,True,True,0.22195892163225425,0.22360134249918898,4096,0.4046109692686481,0.32995778578230694,1024,0.4263244213215209,0.5826722254396156,1024,0.42458692581085966,0.5048282900812985,1024
MACS0416,SOURCE,2.0,7.779083841302561e-05,0.00018582275145806432,0.00025181272620307084,0.0003129532617456931,0.00031369189768192484,0.0007559157359534424,2.220446049250313e-16,True,4.92624337155617e-16,True,1.909131042070987e-16,True,True,0.2340283716606575,0.2664708712941547,4096,0.4210415250108643,0.4243665440788666,1024,0.4375632352464433,0.6256419243760016,1024,0.43849941038009427,0.5588875294281896,1024
MACS0416,SOURCE,4.0,0.00015631130812598527,0.00037550513165618275,0.0005170999574429098,0.0006390590503917351,0.0006409928123449315,0.0015466435569981448,2.220446049250313e-16,True,4.922371974760417e-16,True,1.9184637708836768e-16,True,True,0.2423121084994938,0.3208349152625075,4096,0.4244979136113975,0.5043958124113388,1024,0.441730715549603,0.6704068362036812,1024,0.4442453044851377,0.6096980647822338,1024
MACS0416,RESPONSE,0.25,9.792186366252975e-06,2.384982399488702e-05,3.154423619952595e-05,3.9545580562163605e-05,3.963104687746616e-05,9.511445641660641e-05,2.220446049250313e-16,True,4.877635424037171e-16,True,1.9975857249491993e-16,True,True,0.22195892163225425,0.22360134249918898,4096,0.4046109847629833,0.32995778578230694,1024,0.42632444411057474,0.5826722254396156,1024,0.4245869473189474,0.5048282900812985,1024
MACS0416,RESPONSE,0.5,1.958437273250595e-05,4.7699649630192025e-05,6.308847507946099e-05,7.909116425173453e-05,7.926208739705895e-05,0.00019022890514390866,2.220446049250313e-16,True,4.678319433891856e-16,True,2.643762727490441e-16,True,True,0.22195892163225425,0.22360134249918898,4096,0.4046109816641163,0.32995778578230694,1024,0.42632443955276383,0.5826722254396156,1024,0.42458694301732974,0.5048282900812985,1024
MACS0416,RESPONSE,1.0,3.91687454650119e-05,9.539931238372938e-05,0.00012617697160219747,0.0001581823535227306,0.00015852412393116806,0.0003804577487740515,2.220446049250313e-16,True,4.928222210190358e-16,True,2.3432062094881065e-16,True,True,0.22195892163225425,0.22360134249918898,4096,0.4046109692686481,0.32995778578230694,1024,0.4263244213215209,0.5826722254396156,1024,0.42458692581085966,0.5048282900812985,1024
MACS0416,RESPONSE,2.0,7.83374909300238e-05,0.00019018492367555228,0.0002512685871378512,0.0003151288753442432,0.0003158208446491853,0.0007602401153058658,2.220446049250313e-16,True,4.825539989687225e-16,True,2.1881120346968467e-16,True,True,0.22195892163225425,0.22360134249918898,4096,0.40485854704548074,0.3299621109501716,1024,0.4272401177593497,0.5826744718446306,1024,0.42538481633490505,0.5048267701256665,1024
MACS0416,RESPONSE,4.0,0.0001566749818600476,0.0003787497002298395,0.0005005838614204744,0.000627722500583519,0.000629132473325719,0.001515736555592632,2.220446049250313e-16,True,4.895674133202609e-16,True,1.8467794854029486e-16,True,True,0.22195892163225425,0.22360134249918898,4096,0.405185289331334,0.3299635973773706,1024,0.4279649851664501,0.5826730301220091,1024,0.4261219925535478,0.5048290724114032,1024
