method,method_label,runtime_seconds,rms_kappa,rms_gamma1,rms_gamma2,rms_gamma,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,predicted_kappa_min,predicted_kappa_max,predicted_kappa_mean,predicted_kappa_std,predicted_gamma_min,predicted_gamma_max,predicted_gamma_mean,predicted_gamma_std,predicted_kappa_finite_pixels,predicted_gamma_finite_pixels
histogram,Histogram occupancy (current control),0.000709200045093894,0.5567551329841356,0.5270141220258556,0.16043218136812565,0.5430825291500557,nan,-0.019306212786932897,-0.007204360225312317,0.06075954499435419,-0.5,-0.5,-0.5,0.0,0.0,4.739951813794019,0.06265066458052246,0.5406248736671552,25,4096
kernel,Gaussian KDE (Scott bandwidth),0.13698884705081582,0.552018321061391,0.829188522608233,0.15877548617694057,0.8347422816524207,nan,0.06825940787240616,-0.012680533504114333,0.131006697350441,-0.5,-0.5,-0.5,0.0,0.0,10.60937247281314,0.08965390238457568,0.8364161882939762,660,4096
jacobian,Ray-bundle Jacobian (linear fit per bin),0.025922680972144008,0.9545764365321707,0.5118295484705266,0.07747555948132943,0.4024133431439674,nan,-0.11994119445503498,0.01232966266723418,-0.013385199627258667,1.0,1.0,1.0,0.0,0.35915175941573113,0.7374304218488781,0.5005712490308153,0.0743018815685965,24,24
area,Finite area distortion (initial vs final spread),0.025507029960863292,7312883225.475426,58251869406.07106,0.07765606696889632,58251869406.00917,-0.3913508409760527,0.28255175856821885,2.745406328786257e-05,3.768099351645713e-05,-21705464140.378975,-741823765.5430365,-5192867832.998391,5149017842.038199,5084372526.809569,187041287058.71506,42813476266.258644,39500462520.12054,24,24
divergence,Displacement divergence (∇·d),0.0007309209322556853,9.531041715909373,9.470781341697469,1.35690660039378,9.463218670098554,-0.22664994452095721,0.02935002012294304,-0.009598689302564396,0.012189739340857396,-9.545722759762802,-9.357551218808334,-9.479309055768127,0.04163935055098578,9.414083848378112,10.607714807229147,9.569744472391179,0.30475237853026266,25,25
knn,Adaptive k-nearest-neighbour density,0.00300384103320539,0.5243947637703601,0.8291862554381081,0.15876286187395985,0.8347377823419262,-0.46982920583465015,0.06826068852578449,0.06819546504065799,0.13097391910797554,-1.5420683459588391,0.15398884410074756,-0.22693426150523027,0.402430996475638,0.0,10.607714807229147,0.08965352965832982,0.8364117412487192,25,4096
voronoi,Voronoi area method,0.08780931599903852,14.088719999376012,0.8291862554381081,0.15876286187395985,0.8347377823419262,0.17095288500938732,0.06826068852578449,-0.0002016121057310407,0.13097391910797554,-20.691935102004408,1.0,-13.389738621359289,4.2354542834398075,0.0,10.607714807229147,0.08965352965832982,0.8364117412487192,25,4096
triangulation,Delaunay triangulation area method,0.025517091038636863,7312883225.475426,58251869406.07106,0.07765606696889632,58251869406.00917,-0.3913508409760527,0.28255175856821885,2.745406328786257e-05,3.768099351645713e-05,-21705464140.378975,-741823765.5430365,-5192867832.998391,5149017842.038199,5084372526.809569,187041287058.71506,42813476266.258644,39500462520.12054,24,24
