family_number,family_code,family_name,principle,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,median_rms_kappa,median_rms_gamma,mean_kappa_bias,mean_gamma_bias,median_runtime_seconds,max_conservation_error,median_emergent_coherence_index,median_coherence_gain,median_emergent_memory_index,median_evolution_activity,clusters_with_emergent_coherence,clusters_with_emergent_memory,clusters_improving_pearson_kappa,delta_pearson_kappa_vs_version_a,delta_rms_kappa_vs_version_a,naturally_reproduces_both
1,F1,Instantaneous Constitutive Response,C=Ceq,0.08951008530735127,0.08360319633681876,-0.010579577674971223,0.09290241574484286,0.1558016447600129,0.06971014058135759,-0.06234734786221767,-0.02831171266767708,0.23276598390657455,2.220446049250313e-16,0.8593717975187566,0.0,0.0,0.0,0,0,0,0.0,0.0,False
2,F2,Relaxation Constitutive Law,dC/ds=(Ceq-C)/tau,0.08821997833857811,0.08267546060112206,-0.008658476033832505,0.0881401846374276,0.1440136913659287,0.06843368863085152,-0.061868206094059096,-0.03474764967125932,0.247939447988756,2.220446049250313e-16,0.8593717556776675,7.197474838349649e-10,1.0,0.06790217685098289,0,5,2,-0.0012901069687731581,-0.0117879533940842,False
3,F3,Local Constitutive Evolution,dC/ds=Laplacian(C),0.09371485836960462,0.07930847563949507,-0.0011314727729403403,0.08524817335493322,0.14066419456178833,0.06637543211818867,-0.06124455120333251,-0.035677429374306936,0.24632628506515175,2.220446049250313e-16,0.9379977695186101,0.07770142069682306,0.998037137557908,0.005614175218238848,5,5,2,0.00420477306225335,-0.015137450198224572,True
4,F4,Constitutive Energy Functional,min integral[(C-Ceq)^2+|grad C|^2],0.09052643448086425,0.0794492317679557,-0.004449900069447047,0.08602710724251698,0.14616203912727369,0.06768235194230574,-0.061686962562658244,-0.032990041097713974,0.2469229759881273,2.220446049250313e-16,0.9238940840976333,0.06452228657887671,0.9384977166806638,0.003332401900790559,5,4,2,0.0010163491735129815,-0.009639605632739218,False
5,F5,Gradient-Driven Constitutive Evolution,dC/ds=div(g(|grad C|) grad C),0.0903745349389678,0.084988914478803,-0.010115451633851684,0.09420468122176491,0.1556703526970452,0.06968605792486056,-0.062307414194715194,-0.028515281220301836,0.24640847591217607,2.220446049250313e-16,0.8652209730059742,0.007716662793681439,0.9982794296855527,0.0004680412364652193,5,5,3,0.0008644496316165262,-0.0001312920629676917,True
6,F6,Relaxation + Neighbour Evolution,dC/ds=(Ceq-C)/tau+Laplacian(C),0.08868194428014693,0.08271101596125138,-0.0051899129688106616,0.08702657661001079,0.13976981963971621,0.0677350489295501,-0.06147083834212432,-0.03683055227683259,0.24506707396358252,2.220446049250313e-16,0.9102208307717083,0.05084903325295176,0.9999510999330795,0.06763196624283788,5,5,1,-0.0008281410272043405,-0.01603182512029669,True
7,F7,Variational Constitutive Law,gradient flow of convex local elastic energy with continuity,0.08857244862827136,0.08410841631246803,-0.005527211914863882,0.08691697641848635,0.13583571665840352,0.06767988221010532,-0.061304946969198304,-0.039109630745479254,0.24459272297099233,2.220446049250313e-16,0.9064416813561154,0.04706988383735877,0.9999515413639848,0.06379883126398264,5,5,1,-0.000937636679079909,-0.01996592810160938,True
