family_number,family_code,family_name,cluster_id,cluster_label,coherence_initial,emergent_coherence_index,coherence_gain,emergent_memory_index,evolution_activity,coherence_emerged,memory_emerged,constitutive_nonadditivity_index,nonlinear_synergy_emerged
1,F1,Instantaneous Constitutive Response,Abell2744,Abell 2744,0.8579855400272294,0.8579855400272294,0.0,0.0,0.0,False,False,0.0,False
2,F2,Relaxation Constitutive Law,Abell2744,Abell 2744,0.8579855400272294,0.8579855407469769,7.197474838349649e-10,1.0,0.08243555956084488,False,True,0.0,False
3,F3,Local Constitutive Evolution,Abell2744,Abell 2744,0.8579855400272294,0.9356869607240524,0.07770142069682306,0.9979774445859066,0.006839865885949936,True,True,0.0,False
4,F4,Constitutive Energy Functional,Abell2744,Abell 2744,0.8579855400272294,0.9212344548572728,0.06324891483004347,0.9374559308734421,0.00406237267625916,True,True,0.0,False
5,F5,Gradient-Driven Constitutive Evolution,Abell2744,Abell 2744,0.8579855400272294,0.8636285592397395,0.005643019212510092,0.9982794296855527,0.0005930653038125053,True,True,0.0,False
6,F6,Relaxation + Neighbour Evolution,Abell2744,Abell 2744,0.8579855400272294,0.9072751792519932,0.049289639224763815,0.9999510999330795,0.08199445015677777,True,True,0.004874388731329403,True
7,F7,Variational Constitutive Law,Abell2744,Abell 2744,0.8579855400272294,0.9032530027171903,0.04526746268996096,0.9999523548801738,0.07762689921308503,True,True,0.0,False
1,F1,Instantaneous Constitutive Response,MACS0416,MACS J0416,0.8593717975187566,0.8593717975187566,0.0,0.0,0.0,False,False,0.0,False
2,F2,Relaxation Constitutive Law,MACS0416,MACS J0416,0.8593717975187566,0.8593717556776675,-4.18410890379306e-08,1.0,0.06476290839356323,False,True,0.0,False
3,F3,Local Constitutive Evolution,MACS0416,MACS J0416,0.8593717975187566,0.9379977695186101,0.07862597199985355,0.998037137557908,0.005614175218238848,True,True,0.0,False
4,F4,Constitutive Energy Functional,MACS0416,MACS J0416,0.8593717975187566,0.9238940840976333,0.06452228657887671,0.9384977166806638,0.003332401900790559,True,True,0.0,False
5,F5,Gradient-Driven Constitutive Evolution,MACS0416,MACS J0416,0.8593717975187566,0.8652209730059742,0.005849175487217639,0.9982793119635642,0.0004680412364652193,True,True,0.0,False
6,F6,Relaxation + Neighbour Evolution,MACS0416,MACS J0416,0.8593717975187566,0.9102208307717083,0.05084903325295176,0.999946704959542,0.06439056055229264,True,True,0.00399987954752074,True
