rank,family_code,family_name,rank_sum,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_rms_kappa,delta_pearson_kappa_vs_version_a,clusters_improving_pearson_kappa,naturally_reproduces_both,outperforms_c10_primary_pair
1,F3,Local Constitutive Evolution,26.0,0.09371485836960462,0.07930847563949507,-0.0011314727729403403,0.14066419456178833,0.00420477306225335,2,True,False
2,F7,Variational Constitutive Law,29.0,0.08857244862827136,0.08410841631246803,-0.005527211914863882,0.13583571665840352,-0.000937636679079909,1,True,False
3,F4,Constitutive Energy Functional,31.0,0.09052643448086425,0.0794492317679557,-0.004449900069447047,0.14616203912727369,0.0010163491735129815,2,False,False
4,F5,Gradient-Driven Constitutive Evolution,31.0,0.0903745349389678,0.084988914478803,-0.010115451633851684,0.1556703526970452,0.0008644496316165262,3,True,False
5,F6,Relaxation + Neighbour Evolution,31.0,0.08868194428014693,0.08271101596125138,-0.0051899129688106616,0.13976981963971621,-0.0008281410272043405,1,True,False
6,F1,Instantaneous Constitutive Response,38.0,0.08951008530735127,0.08360319633681876,-0.010579577674971223,0.1558016447600129,0.0,0,False,False
7,F2,Relaxation Constitutive Law,38.0,0.08821997833857811,0.08267546060112206,-0.008658476033832505,0.1440136913659287,-0.0012901069687731581,2,False,False
