candidate_id,candidate_label,family,cluster_id,cluster_label,metric_group,cmp_finite_pixels,cmp_rms_error,cmp_mean_abs_error,cmp_median_abs_error,cmp_max_abs_error,cmp_mean_relative_error_percent,cmp_median_relative_error_percent,cmp_pearson_correlation,cmp_predicted_min,cmp_predicted_max,cmp_predicted_mean,cmp_observed_min,cmp_observed_max,cmp_observed_mean,cmp_predicted_dynamic_range,cmp_observed_dynamic_range,cmp_predicted_peak_index,cmp_observed_peak_index,cmp_peak_location_distance_pixels,cmp_ssim,pipeline_runtime_seconds,max_conservation_error
1,"max(kappa, 0)",direct,Abell2744,Abell 2744,comparison_kappa,25,0.5567551329841356,0.5512439729208275,0.5431494581557457,0.7083742767572403,1837.9839668269924,921.5588760259058,nan,-0.5,-0.5,-0.5,-0.13970666074208693,0.2083742767572403,0.051243972920827476,0.0,0.3480809374993272,"[20, 0]","[33, 32]",34.539832078341085,-0.007204360225312317,0.009953137021511793,2.220446049250313e-16
1,"max(kappa, 0)",direct,Abell2744,Abell 2744,comparison_gamma1,4096,0.5270141220258556,0.10582092380626204,0.040294246393300585,4.858727649545713,567.8348089394742,100.0,0.005737523064537286,-4.739948070523732,4.739948070523732,-1.3213713977167085e-19,-0.3198103600506129,0.3131638814442414,-0.013846408134187567,9.479896141047464,0.6329742414948543,"[43, 17]","[32, 33]",19.4164878389476,0.06361537732589986,0.009953137021511793,2.220446049250313e-16
1,"max(kappa, 0)",direct,Abell2744,Abell 2744,comparison_gamma2,4096,0.16043218136812565,0.04865877528953735,0.03751352273137073,4.87908108383602,165.367369041622,100.0,-0.040122546678372735,-4.739948070523732,4.739871276916922,0.0,-0.3903151304543438,0.1792275607585907,-0.005067061197881819,9.479819347440653,0.5695426912129344,"[44, 18]","[33, 33]",18.601075237738275,0.427152034098839,0.009953137021511793,2.220446049250313e-16
1,"max(kappa, 0)",direct,Abell2744,Abell 2744,comparison_gamma,4096,0.5430825291500557,0.13649547698319414,0.07041399565995327,4.720818968812955,207.53913790227298,100.0,-0.019306212786932897,0.0,4.739951813794019,0.06265066458052246,0.0010240572737529874,0.4387801225358414,0.07598132846631889,4.739951813794019,0.43775606526208843,"[42, 17]","[33, 33]",18.35755975068582,0.06075954499435419,0.009953137021511793,2.220446049250313e-16
1,"max(kappa, 0)",direct,MACS0416,MACS J0416,comparison_kappa,25,0.5807003077102626,0.5698305641043754,0.5739773660898209,0.7863929271697998,2000000000000846.0,508.7558765362149,nan,-0.5,-0.5,-0.5,-0.167955681681633,0.2863929271697998,0.06983056410437545,0.0,0.4543486088514328,"[20, 0]","[32, 32]",34.17601498127012,-0.004839926989065742,0.009625846054404974,2.220446049250313e-16
1,"max(kappa, 0)",direct,MACS0416,MACS J0416,comparison_gamma1,4096,0.5385227104684326,0.11095179368287586,0.04105854045123854,4.83391778659492,468.98949146662466,100.0,0.002261215011613049,-4.73993254587967,4.73993254587967,8.673617379884035e-19,-0.5153349921150346,0.3970712721347809,-0.010922311339233118,9.47986509175934,0.9124062642498155,"[35, 17]","[29, 32]",16.15549442140351,0.06239690489436462,0.009625846054404974,2.220446049250313e-16
1,"max(kappa, 0)",direct,MACS0416,MACS J0416,comparison_gamma2,4096,0.16487329408247078,0.05511268482675917,0.04053681899630843,4.997548986607285,99.01544009196505,100.0,-0.0310539759602191,-4.739814598494263,4.739905236375095,-4.336808689942018e-19,-0.3220425773234601,0.4376878175695812,0.007521701997983666,9.479719834869357,0.7597303948930413,"[18, 18]","[29, 33]",18.601075237738275,0.4091502901208124,0.009625846054404974,2.220446049250313e-16
1,"max(kappa, 0)",direct,MACS0416,MACS J0416,comparison_gamma,4096,0.5534139267105139,0.14577478606893507,0.07641509266954585,4.737890475268929,250.01011430158485,100.0,0.0030662933925946476,0.0,4.739958329637247,0.0650915356118797,0.0,0.5607741560817849,0.0834989090779363,4.739958329637247,0.5607741560817849,"[18, 18]","[29, 32]",17.804493814764857,0.060969804786596554,0.009625846054404974,2.220446049250313e-16
1,"max(kappa, 0)",direct,MACS1149,MACS J1149,comparison_kappa,25,0.5176523609073103,0.5092472227693846,0.48785638328020764,0.7149682492017746,2401.878235504037,654.0323492207526,nan,-0.5,-0.5,-0.5,-0.1546057164669037,0.2149682492017746,0.009247222769384602,0.0,0.3695739656686783,"[20, 0]","[33, 32]",34.539832078341085,-0.0009367790210695901,0.009368755971081555,2.220446049250313e-16
1,"max(kappa, 0)",direct,MACS1149,MACS J1149,comparison_gamma1,4096,0.5221914306880282,0.12438492661101012,0.058174612532769024,4.91068891888191,173.2258873259851,100.0,-0.00802314743677196,-4.7399908522303855,4.7399908522303855,-1.3213713977167085e-19,-0.35520619153976446,1.4502143396271567,-0.03444096246959224,9.479981704460771,1.8054205311669211,"[27, 17]","[32, 33]",16.76305461424021,0.04387292507401007,0.009368755971081555,2.220446049250313e-16
1,"max(kappa, 0)",direct,MACS1149,MACS J1149,comparison_gamma2,4096,0.16998354441255104,0.06532827718908588,0.04893135031064341,4.832975829800644,106.90832243881395,100.0,-0.027790646238031208,-4.73994423739884,4.739911331112151,0.0,-0.471298966818654,0.2979532480239868,0.0010645807427233653,9.479855568510992,0.7692522148426408,"[44, 18]","[32, 33]",19.209372712298546,0.4035711671054187,0.009368755971081555,2.220446049250313e-16
1,"max(kappa, 0)",direct,MACS1149,MACS J1149,comparison_gamma,4096,0.5346623378419914,0.16315508448191135,0.09436406833784916,4.698493724254087,151.36656546271576,100.0,0.031232682230784962,0.0,4.739994334066599,0.060227638478184006,0.003379303263500333,1.5389487716346064,0.10618757622865749,4.739994334066599,1.535569468371106,"[27, 17]","[32, 33]",16.76305461424021,0.06415996392715667,0.009368755971081555,2.220446049250313e-16
1,"max(kappa, 0)",direct,AbellS1063,Abell S1063,comparison_kappa,25,0.5454082918500109,0.539740184038759,0.545792244374752,0.722885474562645,1661.0089090055544,802.2219894889561,nan,-0.5,-0.5,-0.5,-0.08533000200986862,0.22288547456264496,0.03974018403875906,0.0,0.3082154765725136,"[20, 0]","[33, 31]",33.61547262794322,-0.005570453705823736,0.009551745024509728,2.220446049250313e-16
1,"max(kappa, 0)",direct,AbellS1063,Abell S1063,comparison_gamma1,4096,0.5170680012542324,0.09587312162054464,0.031140644701996012,4.836086176101707,284.5677286460415,100.0,-0.016052427750152424,-4.739977466005526,4.739977466005526,4.743384504624082e-20,-0.25548869371414185,0.30773400255702005,-0.0028520251225155105,9.479954932011053,0.563222696271162,"[24, 17]","[33, 32]",17.4928556845359,0.06707456308674735,0.009551745024509728,2.220446049250313e-16
1,"max(kappa, 0)",direct,AbellS1063,Abell S1063,comparison_gamma2,4096,0.1590496697899375,0.046307439746997484,0.03324964420781244,4.806349216238431,109.66296862540614,100.0,-0.008982566300841975,-4.739316688853006,4.739896761438101,0.0,-0.20429740846157074,0.31596895910444694,0.013527305282462342,9.479213450291107,0.5202663675660177,"[19, 18]","[30, 33]",18.601075237738275,0.41077451001948856,0.009551745024509728,2.220446049250313e-16
1,"max(kappa, 0)",direct,AbellS1063,Abell S1063,comparison_gamma,4096,0.5321068678491013,0.12546444147288463,0.06313006952404976,4.7283289276003195,193.5905796372333,100.0,0.01356575970473519,0.0,4.739987483630903,0.06029969990765944,0.0,0.3626261450130663,0.0672595968597144,4.739987483630903,0.3626261450130663,"[25, 17]","[33, 32]",17.0,0.06840500349130227,0.009551745024509728,2.220446049250313e-16
1,"max(kappa, 0)",direct,Abell370,Abell 370,comparison_kappa,25,0.5612759749148191,0.5589670360285329,0.5511489696800709,0.7142609357833862,8293.128235899705,1077.5367971777828,nan,-0.5,-0.5,-0.5,-0.010179196913091037,0.21426093578338623,0.058967036028533,0.0,0.22444013269647728,"[20, 0]","[32, 32]",34.17601498127012,-0.018607017276945234,0.00953985599335283,2.220446049250313e-16
