candidate_id,candidate_label,family,mean_rms_kappa,std_rms_kappa,mean_corr_kappa,std_corr_kappa,mean_rms_gamma,std_rms_gamma,mean_corr_gamma,std_corr_gamma,mean_rms_gamma1,std_rms_gamma1,mean_rms_gamma2,std_rms_gamma2,mean_ssim_kappa,std_ssim_kappa,mean_peak_offset_kappa_px,mean_runtime_seconds,mean_max_conservation_error
1,"max(kappa, 0)",direct,0.5523584136733077,0.020760208518948726,nan,nan,0.5396602014078075,0.007801257170918275,0.0037283880609527255,0.01772273397998165,0.5248593536433759,0.0075877612418037785,0.16448021766506266,0.004222572277960131,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.009607868012972176,2.220446049250313e-16
2,|kappa|,direct,0.5523584136733077,0.020760208518948726,nan,nan,0.5418089153062938,0.003497841514047084,0.0007884997820203351,0.018394017841047567,0.5269976011979505,0.0042209414309219255,0.16401631333734304,0.004221170017962026,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.00951532160397619,2.220446049250313e-16
3,raw kappa,direct,0.5523584136733077,0.020760208518948726,nan,nan,0.5415786612333449,0.007610279125310636,0.004183323201229952,0.017404044844148626,0.5269844368440801,0.007272613934274657,0.16440098199009862,0.004133122648587424,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.009503081813454628,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,0.5523584136733077,0.020760208518948726,nan,nan,0.5437608112616741,0.005874897510932314,-0.000985490887121398,0.020038354671711365,0.5289482729845297,0.007045527333278373,0.16413991262678232,0.00434046471610046,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.009482567408122122,2.220446049250313e-16
5,sqrt(gamma1^2 + gamma2^2),direct,0.5523584136733077,0.020760208518948726,nan,nan,0.5437580311339605,0.005873946598315073,-0.0009824157429491806,0.020042608338358518,0.5289417291732474,0.00704255102696987,0.1641551605955852,0.004338149482144708,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.009488273551687599,2.220446049250313e-16
6,sqrt(kappa^2 + gamma^2),composite,0.5523584136733077,0.020760208518948726,nan,nan,0.5437369857190703,0.0009916627850942588,0.001205282049890286,0.018158741342664052,0.5291226839633192,0.0020088484361615398,0.16395478753091972,0.004156582640419811,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.009460826031863689,2.220446049250313e-16
7,|kappa - gamma|,composite,0.5523584136733077,0.020760208518948726,nan,nan,0.5437459196551748,0.008462138892678123,-0.0013195424706649776,0.019445229225321586,0.5289141727573945,0.01055676546167859,0.1638670022999596,0.004307451944282401,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.009493905422277748,2.220446049250313e-16
8,|kappa| * |gamma|,composite,0.5523584136733077,0.020760208518948726,nan,nan,0.5437555541311778,0.0009965681993953958,0.001213777485916307,0.01813720897053878,0.5291402605202797,0.002007644343679176,0.16389228540005546,0.004138383189595005,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.009492523805238306,2.220446049250313e-16
9,|grad kappa|,gradient,0.5523584136733077,0.020760208518948726,nan,nan,0.5415851420534027,0.008010018202924615,0.00229142105810328,0.01946664169010066,0.5268683313434931,0.009724973333137576,0.16422319064776847,0.004208198922952037,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.009476623800583183,2.220446049250313e-16
10,|grad gamma|,gradient,0.5523584136733077,0.020760208518948726,nan,nan,0.5417028480629046,0.007763965123906475,-0.00036815806387312055,0.020083308962916827,0.5267895593098526,0.009458321853249933,0.16426181490061573,0.004311243226835433,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.009573553828522563,2.220446049250313e-16
11,sqrt(|grad kappa|^2 + |grad gamma|^2),gradient,0.5523584136733077,0.020760208518948726,nan,nan,0.5435451016176038,0.006920466845583984,0.002187345742162513,0.0195574188092117,0.5289443706775038,0.008256002880269887,0.16436838685088423,0.004173386760510794,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.009486487996764482,2.220446049250313e-16
12,|Laplacian kappa|,curvature,0.5523584136733077,0.020760208518948726,nan,nan,0.5436795591437319,0.006188344459254738,0.0013314106368288304,0.017143688957870593,0.5290722406128019,0.007587418866927713,0.16402645477957378,0.0041816955655469825,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.009418175602331758,2.220446049250313e-16
13,|Laplacian gamma|,curvature,0.5523584136733077,0.020760208518948726,nan,nan,0.5418661140520281,0.0037012870071928385,-0.0014947301320937464,0.01977701290921515,0.5248331454954595,0.0055415690640795235,0.17016224138044095,0.014747774904390895,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.009410277614369989,2.220446049250313e-16
14,kappa * gamma,composite,0.5523584136733077,0.020760208518948726,nan,nan,0.541604718857805,0.00761395427332203,0.004153493470484836,0.017395773115322782,0.5270019956023362,0.007275008837644113,0.16435438625308482,0.004150073837587717,-0.0074317074436433235,0.005954912648286474,34.20943334943313,0.009439129615202546,2.220446049250313e-16
