experiment,rule,stable,finite_outputs,max_velocity_drift,mean_velocity_drift,photon_max_deviation,photon_mean_deviation,total_bending_angle,shear_proxy,conservation_residual,final_x_spread,final_y_spread,runtime_seconds,notes
Exp 1,response ∝ ∇C,True,True,8.767313320867665e-05,1.0495882277614418e-06,9.264478774695384e-06,3.2377456307604603e-06,2.4312890220127652e-05,0.0,8.767313320867665e-05,4.852701607519448e-11,1.936493321164006,0.008119821548461914,
Exp 2,response ∝ ∇P / C,True,True,0.7437205126261469,0.02799136723239986,2.0743972824167116,1.6012880458692866,1.6048554337434924,0.0,0.7437205126261469,1.0571280315088862,3.614508653980525,0.008749961853027344,
Exp 3,response ∝ ∇W,True,True,2.9966769732325815e-08,1.3827263439175e-10,5.73066927245236e-10,1.433806401375607e-10,5.897596966342178e-09,0.0,2.9966769732325815e-08,0.0,1.9364916731589676,0.008497953414916992,
Exp 4,response ∝ traction t = P_F·N,True,True,8.7670344807389e-05,1.0463480227816526e-06,9.91622345414278e-06,3.4361843886843416e-06,2.4240869915642056e-05,0.0,8.7670344807389e-05,5.5015703486198904e-11,1.9364934123187494,0.008881330490112305,
Exp 5,response = elastic spring restoring,True,True,8.767313320867665e-05,1.0495882277614418e-06,9.264478774695384e-06,3.2377456307604603e-06,2.4312890220127652e-05,0.0,8.767313320867665e-05,4.852701607519448e-11,1.936493321164006,0.008020162582397461,
Exp 6,response = magnetic-style directional,True,True,1.399395725876218e-05,1.966209305654449e-07,6.61807310983852e-05,1.835288318744329e-05,4.8940268345429615e-06,0.0,1.399395725876218e-05,1.8714657001229193e-09,1.936491080875953,0.008092641830444336,
Exp 7,response = phase accumulation,True,True,2.5607792220050385e-08,1.1697063780532108e-10,5.742797348773365e-10,1.4305445997955703e-10,5.0397302997495785e-09,0.0,2.5607792220050385e-08,0.0,1.9364916731585669,0.008233785629272461,
Exp 8,response = constant local transfer,True,True,0.0006000000000000449,0.0005925000000000444,0.0,0.0,0.0006000000000000449,0.0,0.0006000000000000449,0.0,1.9364916731037085,0.007907629013061523,
Exp 9 (m=0),photon (m=0) baseline,True,True,8.767313320867665e-05,1.0495882277614418e-06,9.264478774695384e-06,3.2377456307604603e-06,2.4312890220127652e-05,0.0,8.767313320867665e-05,4.852701607519448e-11,1.936493321164006,0.0,
Exp 9 (m>0),test particle (m>0),True,True,0.00030278789069182466,3.8235105291186925e-06,9.264957758547965e-06,3.2378649444762115e-06,8.396705820770369e-05,0.0,0.00030278789069182466,4.8533110935448614e-11,1.9364933212097597,0.008169412612915039,
