cluster_id,transform,E_cov,delta_f_irr,delta_f_sol,delta_r_kappa_los,f_irr_3d_rc,f_sol_3d_rc,response_energy_rc,div_rms_rc,curl_rms_rc,f_z_rc,helicity_total_rc,passes_covariance,passes_f_irr,passes_f_sol,passes_r_kappa
Abell2744,RC0,0.0,0.0,0.0,nan,0.515322595534658,0.4846774044653421,7.242271774384888e-05,3.380221403235783e-05,4.8819102750699e-05,0.2143362928305872,-2.968389222890416e-08,True,True,True,False
Abell2744,RC1,0.9397760955290996,0.0,0.0,nan,0.515322595534658,0.4846774044653421,7.242271774384888e-05,3.380221403235783e-05,4.8819102750699e-05,0.2143362928305872,2.9683892228904157e-08,False,True,True,False
Abell2744,RC2,0.8739507756348969,0.0,0.0,nan,0.515322595534658,0.4846774044653421,7.242271774384888e-05,3.380221403235783e-05,4.8819102750699e-05,0.3943575349286674,2.9683892228904164e-08,False,True,True,False
Abell2744,RC3,0.8703333442899643,1.1102230246251565e-16,0.0,nan,0.5153225955346581,0.4846774044653421,7.242271774384888e-05,3.3802214032357836e-05,4.8819102750699e-05,0.3913061722407454,2.9683892228904293e-08,False,True,True,False
Abell2744,RC4,0.9987253280047739,0.0040746072704022085,0.004074607270402153,nan,0.5112479882642558,0.48875201173574423,7.315567388776836e-05,3.367415426124981e-05,4.909315322438476e-05,0.39080587993350924,-1.4220062467412994e-08,False,True,True,False
Abell2744,RC5,1.4162252323334308,0.003499033295557452,0.0034990332955573966,nan,0.5118235622391005,0.4881764377608995,7.350189027062386e-05,3.392733789480145e-05,4.922380029291129e-05,0.21319541386073437,2.8895783387341436e-07,False,True,True,False
Abell2744,RC6,1.0246279699187715,0.003499033295557452,0.0034990332955573966,nan,0.5118235622391005,0.4881764377608995,7.350189027062386e-05,3.392733789480145e-05,4.922380029291129e-05,0.21319541386073437,-2.8895783387341436e-07,False,True,True,False
MACS0416,RC0,0.0,0.0,0.0,nan,0.5172394453686536,0.48276055463134643,7.003664736119585e-05,3.330083378317206e-05,4.8148744535100477e-05,0.2216330115211679,-2.7315900440673017e-07,True,True,True,False
MACS0416,RC1,0.9276533667080311,0.0,0.0,nan,0.5172394453686536,0.48276055463134643,7.003664736119584e-05,3.330083378317206e-05,4.8148744535100477e-05,0.22163301152116793,2.731590044067301e-07,False,True,True,False
MACS0416,RC2,0.8646208943798054,1.1102230246251565e-16,0.0,nan,0.5172394453686535,0.48276055463134643,7.003664736119585e-05,3.330083378317206e-05,4.8148744535100477e-05,0.38872207685251803,2.731590044067301e-07,False,True,True,False
MACS0416,RC3,0.8635994899067196,1.1102230246251565e-16,0.0,nan,0.5172394453686535,0.48276055463134643,7.003664736119584e-05,3.330083378317206e-05,4.8148744535100477e-05,0.3896449116263141,2.7315900440673006e-07,False,True,True,False
MACS0416,RC4,0.9811611257493061,0.007989658808883138,0.007989658808883027,nan,0.5092497865597705,0.49075021344022945,7.173932107252176e-05,3.3194403920905974e-05,4.890885283495781e-05,0.39372243579486726,2.9492258588018636e-08,False,True,True,False
MACS0416,RC5,1.4224629517231226,0.005557014544868344,0.005557014544868344,nan,0.5116824308237853,0.48831756917621477,7.166144568312286e-05,3.355611286331602e-05,4.872776221025453e-05,0.21610792689300073,-5.583669023566835e-08,False,True,True,False
MACS0416,RC6,1.0103807259364015,0.005557014544868455,0.005557014544868344,nan,0.5116824308237852,0.48831756917621477,7.166144568312287e-05,3.355611286331602e-05,4.872776221025453e-05,0.21610792689300076,5.583669023566828e-08,False,True,True,False
MACS1149,RC0,0.0,0.0,0.0,nan,0.5130057246236769,0.4869942753763231,6.667714415370117e-05,3.210039245189763e-05,4.730152923413246e-05,0.21650068711944226,1.691754620115687e-07,True,True,True,False
MACS1149,RC1,0.9201639933170067,0.0,0.0,nan,0.5130057246236769,0.4869942753763231,6.667714415370117e-05,3.210039245189763e-05,4.730152923413246e-05,0.2165006871194423,-1.6917546201156876e-07,False,True,True,False
