cluster_id,nz,physical_depth,dz_voxel,response_energy,f_irr_3d,f_sol_3d,f_z,F_Dz,rx_proj_rms,ry_proj_rms,pearson_kappa_los,covariance_error_max,covariance_error_mean
Abell2744,3,1.0,0.3333333333333333,0.0001730286374570854,0.7579029973163793,0.24209700268362072,0.7787201788064521,0.2603895175262718,8.571568373546656e-05,8.49576684937962e-05,0.36247955642980895,0.0,0.0
Abell2744,9,1.0,0.1111111111111111,7.242271774384888e-05,0.515322595534658,0.4846774044653421,0.2143362928305872,0.24890018192753727,0.00010141621624214083,9.939140007341852e-05,0.2839535373816419,0.0,0.0
Abell2744,17,1.0,0.058823529411764705,0.0001253716319684705,0.49417900986874325,0.5058209901312568,0.26147852508397174,0.24257873075686912,0.00012387204130331954,0.00012350682740940098,0.21729244888048324,0.0,0.0
MACS0416,3,1.0,0.3333333333333333,0.0001387886966950796,0.7569995793149633,0.24300042068503672,0.7651488713077312,0.2897873953866791,7.806148703793008e-05,7.615327343087187e-05,0.3017667821718657,0.0,0.0
MACS0416,9,1.0,0.1111111111111111,7.003664736119585e-05,0.5172394453686536,0.48276055463134643,0.2216330115211679,0.27407318271426445,9.654673827181972e-05,9.601533922167218e-05,0.22336631482403096,0.0,0.0
MACS0416,17,1.0,0.058823529411764705,0.00012365415637986783,0.4997582258025643,0.5002417741974357,0.2713216366296,0.26206134070726833,0.00011992804375418233,0.00011791522943596668,0.16210735933699155,0.0,0.0
MACS1149,3,1.0,0.3333333333333333,8.247308406681362e-05,0.7455330310030323,0.25446696899696775,0.7177211009381389,0.36432833809150594,6.443495100131661e-05,6.308426755470359e-05,0.24397528866876786,0.0,0.0
MACS1149,9,1.0,0.1111111111111111,6.667714415370117e-05,0.5130057246236769,0.4869942753763231,0.21650068711944226,0.30393456677816505,9.034059660337157e-05,8.969331078988792e-05,0.17677766662618016,0.0,0.0
MACS1149,17,1.0,0.058823529411764705,0.00012379625606013365,0.4968949754859354,0.5031050245140646,0.26272019867514196,0.26020853360077245,0.00011535463724812129,0.00011587285166928892,0.13584232877422017,0.0,0.0
AbellS1063,3,1.0,0.3333333333333333,0.00011138965842961144,0.7506326090732257,0.24936739092677426,0.7504478282177597,0.3415909955211867,7.110774858769023e-05,6.865849622561959e-05,0.2594172170475836,0.0,0.0
AbellS1063,9,1.0,0.1111111111111111,6.831660535582503e-05,0.5161704500258545,0.4838295499741455,0.2289106626324399,0.3141796993349729,9.279725674452607e-05,9.13011585686949e-05,0.18163819952588017,0.0,0.0
AbellS1063,17,1.0,0.058823529411764705,0.00012274173657117227,0.49946292834389844,0.5005370716561015,0.27455731561605906,0.2854531593546661,0.00011800056226692082,0.00011501332852478197,0.13631673914724016,0.0,0.0
Abell370,3,1.0,0.3333333333333333,0.00020166346855951946,0.7657892231259297,0.23421077687407027,0.8108439317172742,0.26984459882681017,8.47325733272107e-05,8.447476556212505e-05,0.3317831731728772,0.0,0.0
Abell370,9,1.0,0.1111111111111111,7.310396672367269e-05,0.5178973458879766,0.4821026541120234,0.21320143497521235,0.24930073427541097,0.0001018266304352908,0.00010319735490457694,0.26219405817199587,0.0,0.0
Abell370,17,1.0,0.058823529411764705,0.00012512132416351017,0.49317918756439094,0.5068208124356091,0.25706060661281366,0.23826797198764577,0.00012504370637307787,0.00012533087084206572,0.2014836944024273,0.0,0.0
