cluster_id,candidate_id,mu_bin,n_pairs,A_rms,mT_mean
MACS1149,PL3_PM1_PS1,0.00-0.20,45684,1.294875080065773e-05,0.9933701648318783
MACS1149,PL3_PM1_PS1,0.20-0.40,44924,1.3650891103113954e-05,0.9520984874060952
MACS1149,PL3_PM1_PS1,0.40-0.60,42534,1.4652167162497784e-05,0.8636703630199309
MACS1149,PL3_PM1_PS1,0.60-0.80,42498,1.655118158627282e-05,0.709432442358761
MACS1149,PL3_PM1_PS1,0.80-1.00,45544,1.8731321637799925e-05,0.4033501451736345
MACS1149,PL3_PM1_PS2,0.00-0.20,45684,1.294875080065773e-05,0.8585242589394491
MACS1149,PL3_PM1_PS2,0.20-0.40,44924,1.3650891103113954e-05,0.8287884091185228
MACS1149,PL3_PM1_PS2,0.40-0.60,42534,1.4652167162497784e-05,0.7704317716790338
MACS1149,PL3_PM1_PS2,0.60-0.80,42498,1.655118158627282e-05,0.6685854478782424
MACS1149,PL3_PM1_PS2,0.80-1.00,45544,1.8731321637799925e-05,0.49964835445062933
MACS1149,PL3_PM2_PS1,0.00-0.20,45684,1.294875080065773e-05,0.9933701648318783
MACS1149,PL3_PM2_PS1,0.20-0.40,44924,1.3650891103113954e-05,0.9520984874060952
MACS1149,PL3_PM2_PS1,0.40-0.60,42534,1.4652167162497784e-05,0.8636703630199309
MACS1149,PL3_PM2_PS1,0.60-0.80,42498,1.655118158627282e-05,0.709432442358761
MACS1149,PL3_PM2_PS1,0.80-1.00,45544,1.8731321637799925e-05,0.4033501451736345
MACS1149,PL3_PM2_PS2,0.00-0.20,45684,1.294875080065773e-05,0.8585242589394491
MACS1149,PL3_PM2_PS2,0.20-0.40,44924,1.3650891103113954e-05,0.8287884091185228
MACS1149,PL3_PM2_PS2,0.40-0.60,42534,1.4652167162497784e-05,0.7704317716790338
MACS1149,PL3_PM2_PS2,0.60-0.80,42498,1.655118158627282e-05,0.6685854478782424
MACS1149,PL3_PM2_PS2,0.80-1.00,45544,1.8731321637799925e-05,0.49964835445062933
MACS1149,PL4_PM1_PS1,0.00-0.20,46862,1.3053856440280845e-05,0.9932717740397645
MACS1149,PL4_PM1_PS1,0.20-0.40,44366,1.3565039896720632e-05,0.9522041568191985
MACS1149,PL4_PM1_PS1,0.40-0.60,42420,1.468628565678767e-05,0.8637997949596162
MACS1149,PL4_PM1_PS1,0.60-0.80,41330,1.652789069466775e-05,0.7089207388299014
MACS1149,PL4_PM1_PS1,0.80-1.00,46206,1.8721845542217862e-05,0.4013980526678123
MACS1149,PL4_PM1_PS2,0.00-0.20,46862,1.3053856440280845e-05,0.8676497999635406
MACS1149,PL4_PM1_PS2,0.20-0.40,44366,1.3565039896720632e-05,0.8374352576052948
MACS1149,PL4_PM1_PS2,0.40-0.60,42420,1.468628565678767e-05,0.7758732932737462
MACS1149,PL4_PM1_PS2,0.60-0.80,41330,1.652789069466775e-05,0.6686627432430272
MACS1149,PL4_PM1_PS2,0.80-1.00,46206,1.8721845542217862e-05,0.48607723106869877
MACS1149,PL4_PM2_PS1,0.00-0.20,46862,1.3053856440280845e-05,0.9932717740397645
MACS1149,PL4_PM2_PS1,0.20-0.40,44366,1.3565039896720632e-05,0.9522041568191985
MACS1149,PL4_PM2_PS1,0.40-0.60,42420,1.468628565678767e-05,0.8637997949596162
MACS1149,PL4_PM2_PS1,0.60-0.80,41330,1.652789069466775e-05,0.7089207388299014
MACS1149,PL4_PM2_PS1,0.80-1.00,46206,1.8721845542217862e-05,0.4013980526678123
MACS1149,PL4_PM2_PS2,0.00-0.20,46862,1.3053856440280845e-05,0.8676497999635406
MACS1149,PL4_PM2_PS2,0.20-0.40,44366,1.3565039896720632e-05,0.8374352576052948
MACS1149,PL4_PM2_PS2,0.40-0.60,42420,1.468628565678767e-05,0.7758732932737462
MACS1149,PL4_PM2_PS2,0.60-0.80,41330,1.652789069466775e-05,0.6686627432430272
MACS1149,PL4_PM2_PS2,0.80-1.00,46206,1.8721845542217862e-05,0.48607723106869877
MACS1149,PL5_PM1_PS1,0.00-0.20,45538,1.3583082820325425e-05,0.9933427406048237
MACS1149,PL5_PM1_PS1,0.20-0.40,44474,1.4058996940909215e-05,0.9521055598511206
MACS1149,PL5_PM1_PS1,0.40-0.60,43366,1.4973269146283327e-05,0.8636640879848478
MACS1149,PL5_PM1_PS1,0.60-0.80,42618,1.630039792045872e-05,0.7082779391617746
MACS1149,PL5_PM1_PS1,0.80-1.00,45188,1.794141522589071e-05,0.4038777787965329
MACS1149,PL5_PM1_PS2,0.00-0.20,45538,1.3583082820325425e-05,0.8562020216375327
MACS1149,PL5_PM1_PS2,0.20-0.40,44474,1.4058996940909215e-05,0.8274007674662494
MACS1149,PL5_PM1_PS2,0.40-0.60,43366,1.4973269146283327e-05,0.7680249598318577
MACS1149,PL5_PM1_PS2,0.60-0.80,42618,1.630039792045872e-05,0.6677257401963435
MACS1149,PL5_PM1_PS2,0.80-1.00,45188,1.794141522589071e-05,0.5026583273553886
MACS1149,PL5_PM2_PS1,0.00-0.20,45538,1.3583082820325425e-05,0.9933427406048237
MACS1149,PL5_PM2_PS1,0.20-0.40,44474,1.4058996940909215e-05,0.9521055598511206
MACS1149,PL5_PM2_PS1,0.40-0.60,43366,1.4973269146283327e-05,0.8636640879848478
MACS1149,PL5_PM2_PS1,0.60-0.80,42618,1.630039792045872e-05,0.7082779391617746
MACS1149,PL5_PM2_PS1,0.80-1.00,45188,1.794141522589071e-05,0.4038777787965329
MACS1149,PL5_PM2_PS2,0.00-0.20,45538,1.3583082820325425e-05,0.8562020216375327
MACS1149,PL5_PM2_PS2,0.20-0.40,44474,1.4058996940909215e-05,0.8274007674662494
MACS1149,PL5_PM2_PS2,0.40-0.60,43366,1.4973269146283327e-05,0.7680249598318577
MACS1149,PL5_PM2_PS2,0.60-0.80,42618,1.630039792045872e-05,0.6677257401963435
MACS1149,PL5_PM2_PS2,0.80-1.00,45188,1.794141522589071e-05,0.5026583273553886
MACS1149,PL6_PM1_PS1,0.00-0.20,45874,1.292412840618544e-05,0.9933290143768236
MACS1149,PL6_PM1_PS1,0.20-0.40,44896,1.3552370082210804e-05,0.9521783152758114
MACS1149,PL6_PM1_PS1,0.40-0.60,42542,1.4663236837989387e-05,0.8634118670083388
MACS1149,PL6_PM1_PS1,0.60-0.80,42298,1.657800411846542e-05,0.7089484952259144
MACS1149,PL6_PM1_PS1,0.80-1.00,45574,1.8798011140819717e-05,0.40276846828186386
MACS1149,PL6_PM1_PS2,0.00-0.20,45874,1.292412840618544e-05,0.8603566539538294
MACS1149,PL6_PM1_PS2,0.20-0.40,44896,1.3552370082210804e-05,0.83106188987998
MACS1149,PL6_PM1_PS2,0.40-0.60,42542,1.4663236837989387e-05,0.771876189758346
MACS1149,PL6_PM1_PS2,0.60-0.80,42298,1.657800411846542e-05,0.6679089474089679
MACS1149,PL6_PM1_PS2,0.80-1.00,45574,1.8798011140819717e-05,0.49673529815859496
MACS1149,PL6_PM2_PS1,0.00-0.20,45874,1.292412840618544e-05,0.9933290143768236
MACS1149,PL6_PM2_PS1,0.20-0.40,44896,1.3552370082210804e-05,0.9521783152758114
MACS1149,PL6_PM2_PS1,0.40-0.60,42542,1.4663236837989387e-05,0.8634118670083388
MACS1149,PL6_PM2_PS1,0.60-0.80,42298,1.657800411846542e-05,0.7089484952259144
MACS1149,PL6_PM2_PS1,0.80-1.00,45574,1.8798011140819717e-05,0.40276846828186386
MACS1149,PL6_PM2_PS2,0.00-0.20,45874,1.292412840618544e-05,0.8603566539538294
MACS1149,PL6_PM2_PS2,0.20-0.40,44896,1.3552370082210804e-05,0.83106188987998
MACS1149,PL6_PM2_PS2,0.40-0.60,42542,1.4663236837989387e-05,0.771876189758346
MACS1149,PL6_PM2_PS2,0.60-0.80,42298,1.657800411846542e-05,0.6679089474089679
MACS1149,PL6_PM2_PS2,0.80-1.00,45574,1.8798011140819717e-05,0.49673529815859496
AbellS1063,PL1_PM1_PS1,0.00-0.20,103980,1.4723516601355999e-05,0.9973933291473849
AbellS1063,PL1_PM1_PS1,0.20-0.40,26104,1.5450812141746174e-05,0.9538001294305598
AbellS1063,PL1_PM1_PS1,0.40-0.60,19842,1.652469493732638e-05,0.8657866075554228
AbellS1063,PL1_PM1_PS1,0.60-0.80,19008,1.7679326265812766e-05,0.7077631758221673
AbellS1063,PL1_PM1_PS1,0.80-1.00,45802,1.7151569765220083e-05,0.2889875408098463
AbellS1063,PL1_PM1_PS2,0.00-0.20,103980,1.4723516601355999e-05,0.9473181902277354
AbellS1063,PL1_PM1_PS2,0.20-0.40,26104,1.5450812141746174e-05,0.8895644872718618
AbellS1063,PL1_PM1_PS2,0.40-0.60,19842,1.652469493732638e-05,0.8045321932202351
AbellS1063,PL1_PM1_PS2,0.60-0.80,19008,1.7679326265812766e-05,0.6785773156016773
AbellS1063,PL1_PM1_PS2,0.80-1.00,45802,1.7151569765220083e-05,0.35138276140282293
AbellS1063,PL1_PM2_PS1,0.00-0.20,103980,1.4723516601355999e-05,0.9973933291473849
AbellS1063,PL1_PM2_PS1,0.20-0.40,26104,1.5450812141746174e-05,0.9538001294305598
AbellS1063,PL1_PM2_PS1,0.40-0.60,19842,1.652469493732638e-05,0.8657866075554228
AbellS1063,PL1_PM2_PS1,0.60-0.80,19008,1.7679326265812766e-05,0.7077631758221673
AbellS1063,PL1_PM2_PS1,0.80-1.00,45802,1.7151569765220083e-05,0.2889875408098463
AbellS1063,PL1_PM2_PS2,0.00-0.20,103980,1.4723516601355999e-05,0.9473181902277354
AbellS1063,PL1_PM2_PS2,0.20-0.40,26104,1.5450812141746174e-05,0.8895644872718618
AbellS1063,PL1_PM2_PS2,0.40-0.60,19842,1.652469493732638e-05,0.8045321932202351
AbellS1063,PL1_PM2_PS2,0.60-0.80,19008,1.7679326265812766e-05,0.6785773156016773
AbellS1063,PL1_PM2_PS2,0.80-1.00,45802,1.7151569765220083e-05,0.35138276140282293
AbellS1063,PL2_PM1_PS1,0.00-0.20,46100,1.29620487154921e-05,0.9933883893454449
AbellS1063,PL2_PM1_PS1,0.20-0.40,44492,1.3712558408653027e-05,0.9520577892718046
AbellS1063,PL2_PM1_PS1,0.40-0.60,42814,1.4915449305724464e-05,0.8638989933440353
AbellS1063,PL2_PM1_PS1,0.60-0.80,42028,1.693614018113667e-05,0.7092451165003698
AbellS1063,PL2_PM1_PS1,0.80-1.00,45750,1.9572142583929535e-05,0.40232414128731914
AbellS1063,PL2_PM1_PS2,0.00-0.20,46100,1.29620487154921e-05,0.8626761028482347
AbellS1063,PL2_PM1_PS2,0.20-0.40,44492,1.3712558408653027e-05,0.8315929575630229
AbellS1063,PL2_PM1_PS2,0.40-0.60,42814,1.4915449305724464e-05,0.7714607149207344
AbellS1063,PL2_PM1_PS2,0.60-0.80,42028,1.693614018113667e-05,0.6692374660231714
AbellS1063,PL2_PM1_PS2,0.80-1.00,45750,1.9572142583929535e-05,0.4953803210351215
AbellS1063,PL2_PM2_PS1,0.00-0.20,46100,1.29620487154921e-05,0.9933883893454449
AbellS1063,PL2_PM2_PS1,0.20-0.40,44492,1.3712558408653027e-05,0.9520577892718046
AbellS1063,PL2_PM2_PS1,0.40-0.60,42814,1.4915449305724464e-05,0.8638989933440353
AbellS1063,PL2_PM2_PS1,0.60-0.80,42028,1.693614018113667e-05,0.7092451165003698
AbellS1063,PL2_PM2_PS1,0.80-1.00,45750,1.9572142583929535e-05,0.40232414128731914
AbellS1063,PL2_PM2_PS2,0.00-0.20,46100,1.29620487154921e-05,0.8626761028482347
AbellS1063,PL2_PM2_PS2,0.20-0.40,44492,1.3712558408653027e-05,0.8315929575630229
AbellS1063,PL2_PM2_PS2,0.40-0.60,42814,1.4915449305724464e-05,0.7714607149207344
AbellS1063,PL2_PM2_PS2,0.60-0.80,42028,1.693614018113667e-05,0.6692374660231714
AbellS1063,PL2_PM2_PS2,0.80-1.00,45750,1.9572142583929535e-05,0.4953803210351215
AbellS1063,PL3_PM1_PS1,0.00-0.20,45876,1.3012212144798077e-05,0.9933658989463617
AbellS1063,PL3_PM1_PS1,0.20-0.40,44512,1.3765900113463072e-05,0.9521477635087
AbellS1063,PL3_PM1_PS1,0.40-0.60,42986,1.4987540812585059e-05,0.8640252172815662
AbellS1063,PL3_PM1_PS1,0.60-0.80,42214,1.694153088691902e-05,0.7087295760534102
AbellS1063,PL3_PM1_PS1,0.80-1.00,45596,1.9446154322121342e-05,0.4030588876571418
AbellS1063,PL3_PM1_PS2,0.00-0.20,45876,1.3012212144798077e-05,0.859211965679287
AbellS1063,PL3_PM1_PS2,0.20-0.40,44512,1.3765900113463072e-05,0.8294313848919824
AbellS1063,PL3_PM1_PS2,0.40-0.60,42986,1.4987540812585059e-05,0.7708665239329544
AbellS1063,PL3_PM1_PS2,0.60-0.80,42214,1.694153088691902e-05,0.6682428327344978
AbellS1063,PL3_PM1_PS2,0.80-1.00,45596,1.9446154322121342e-05,0.4992998909801236
AbellS1063,PL3_PM2_PS1,0.00-0.20,45876,1.3012212144798077e-05,0.9933658989463617
AbellS1063,PL3_PM2_PS1,0.20-0.40,44512,1.3765900113463072e-05,0.9521477635087
AbellS1063,PL3_PM2_PS1,0.40-0.60,42986,1.4987540812585059e-05,0.8640252172815662
AbellS1063,PL3_PM2_PS1,0.60-0.80,42214,1.694153088691902e-05,0.7087295760534102
AbellS1063,PL3_PM2_PS1,0.80-1.00,45596,1.9446154322121342e-05,0.4030588876571418
AbellS1063,PL3_PM2_PS2,0.00-0.20,45876,1.3012212144798077e-05,0.859211965679287
AbellS1063,PL3_PM2_PS2,0.20-0.40,44512,1.3765900113463072e-05,0.8294313848919824
AbellS1063,PL3_PM2_PS2,0.40-0.60,42986,1.4987540812585059e-05,0.7708665239329544
AbellS1063,PL3_PM2_PS2,0.60-0.80,42214,1.694153088691902e-05,0.6682428327344978
AbellS1063,PL3_PM2_PS2,0.80-1.00,45596,1.9446154322121342e-05,0.4992998909801236
AbellS1063,PL4_PM1_PS1,0.00-0.20,47014,1.3094219613753385e-05,0.9934019115918089
AbellS1063,PL4_PM1_PS1,0.20-0.40,44686,1.3801531417722073e-05,0.952330118877567
AbellS1063,PL4_PM1_PS1,0.40-0.60,41852,1.4924424320684286e-05,0.8645695982315743
AbellS1063,PL4_PM1_PS1,0.60-0.80,41220,1.68420218680977e-05,0.7091661366020527
AbellS1063,PL4_PM1_PS1,0.80-1.00,46412,1.948977668581145e-05,0.3984343871524482
AbellS1063,PL4_PM1_PS2,0.00-0.20,47014,1.3094219613753385e-05,0.8714182380724343
AbellS1063,PL4_PM1_PS2,0.20-0.40,44686,1.3801531417722073e-05,0.8397665149034743
AbellS1063,PL4_PM1_PS2,0.40-0.60,41852,1.4924424320684286e-05,0.7764794616227363
AbellS1063,PL4_PM1_PS2,0.60-0.80,41220,1.68420218680977e-05,0.6688585196349824
AbellS1063,PL4_PM1_PS2,0.80-1.00,46412,1.948977668581145e-05,0.48258405782155794
AbellS1063,PL4_PM2_PS1,0.00-0.20,47014,1.3094219613753385e-05,0.9934019115918089
AbellS1063,PL4_PM2_PS1,0.20-0.40,44686,1.3801531417722073e-05,0.952330118877567
AbellS1063,PL4_PM2_PS1,0.40-0.60,41852,1.4924424320684286e-05,0.8645695982315743
AbellS1063,PL4_PM2_PS1,0.60-0.80,41220,1.68420218680977e-05,0.7091661366020527
AbellS1063,PL4_PM2_PS1,0.80-1.00,46412,1.948977668581145e-05,0.3984343871524482
AbellS1063,PL4_PM2_PS2,0.00-0.20,47014,1.3094219613753385e-05,0.8714182380724343
AbellS1063,PL4_PM2_PS2,0.20-0.40,44686,1.3801531417722073e-05,0.8397665149034743
AbellS1063,PL4_PM2_PS2,0.40-0.60,41852,1.4924424320684286e-05,0.7764794616227363
AbellS1063,PL4_PM2_PS2,0.60-0.80,41220,1.68420218680977e-05,0.6688585196349824
AbellS1063,PL4_PM2_PS2,0.80-1.00,46412,1.948977668581145e-05,0.48258405782155794
AbellS1063,PL5_PM1_PS1,0.00-0.20,45528,1.4078008071656475e-05,0.9933403569211618
AbellS1063,PL5_PM1_PS1,0.20-0.40,44626,1.444522007590996e-05,0.9520309179351657
AbellS1063,PL5_PM1_PS1,0.40-0.60,43214,1.526988326514241e-05,0.8635338583126018
AbellS1063,PL5_PM1_PS1,0.60-0.80,42524,1.6682716863926002e-05,0.7084893416351143
AbellS1063,PL5_PM1_PS1,0.80-1.00,45292,1.8180586669076138e-05,0.40435473206311273
AbellS1063,PL5_PM1_PS2,0.00-0.20,45528,1.4078008071656475e-05,0.8561906696726324
AbellS1063,PL5_PM1_PS2,0.20-0.40,44626,1.444522007590996e-05,0.8273911725035339
AbellS1063,PL5_PM1_PS2,0.40-0.60,43214,1.526988326514241e-05,0.7681461875963429
AbellS1063,PL5_PM1_PS2,0.60-0.80,42524,1.6682716863926002e-05,0.6674728134553557
AbellS1063,PL5_PM1_PS2,0.80-1.00,45292,1.8180586669076138e-05,0.5030160637634421
AbellS1063,PL5_PM2_PS1,0.00-0.20,45528,1.4078008071656475e-05,0.9933403569211618
AbellS1063,PL5_PM2_PS1,0.20-0.40,44626,1.444522007590996e-05,0.9520309179351657
AbellS1063,PL5_PM2_PS1,0.40-0.60,43214,1.526988326514241e-05,0.8635338583126018
AbellS1063,PL5_PM2_PS1,0.60-0.80,42524,1.6682716863926002e-05,0.7084893416351143
AbellS1063,PL5_PM2_PS1,0.80-1.00,45292,1.8180586669076138e-05,0.40435473206311273
AbellS1063,PL5_PM2_PS2,0.00-0.20,45528,1.4078008071656475e-05,0.8561906696726324
AbellS1063,PL5_PM2_PS2,0.20-0.40,44626,1.444522007590996e-05,0.8273911725035339
AbellS1063,PL5_PM2_PS2,0.40-0.60,43214,1.526988326514241e-05,0.7681461875963429
AbellS1063,PL5_PM2_PS2,0.60-0.80,42524,1.6682716863926002e-05,0.6674728134553557
AbellS1063,PL5_PM2_PS2,0.80-1.00,45292,1.8180586669076138e-05,0.5030160637634421
AbellS1063,PL6_PM1_PS1,0.00-0.20,46100,1.29620487154921e-05,0.9933883893454449
AbellS1063,PL6_PM1_PS1,0.20-0.40,44492,1.3712558408653027e-05,0.9520577892718046
AbellS1063,PL6_PM1_PS1,0.40-0.60,42814,1.4915449305724464e-05,0.8638989933440353
AbellS1063,PL6_PM1_PS1,0.60-0.80,42028,1.693614018113667e-05,0.7092451165003698
AbellS1063,PL6_PM1_PS1,0.80-1.00,45750,1.9572142583929535e-05,0.40232414128731914
AbellS1063,PL6_PM1_PS2,0.00-0.20,46100,1.29620487154921e-05,0.8626761028482347
AbellS1063,PL6_PM1_PS2,0.20-0.40,44492,1.3712558408653027e-05,0.8315929575630229
AbellS1063,PL6_PM1_PS2,0.40-0.60,42814,1.4915449305724464e-05,0.7714607149207344
AbellS1063,PL6_PM1_PS2,0.60-0.80,42028,1.693614018113667e-05,0.6692374660231714
AbellS1063,PL6_PM1_PS2,0.80-1.00,45750,1.9572142583929535e-05,0.4953803210351215
AbellS1063,PL6_PM2_PS1,0.00-0.20,46100,1.29620487154921e-05,0.9933883893454449
AbellS1063,PL6_PM2_PS1,0.20-0.40,44492,1.3712558408653027e-05,0.9520577892718046
AbellS1063,PL6_PM2_PS1,0.40-0.60,42814,1.4915449305724464e-05,0.8638989933440353
AbellS1063,PL6_PM2_PS1,0.60-0.80,42028,1.693614018113667e-05,0.7092451165003698
AbellS1063,PL6_PM2_PS1,0.80-1.00,45750,1.9572142583929535e-05,0.40232414128731914
AbellS1063,PL6_PM2_PS2,0.00-0.20,46100,1.29620487154921e-05,0.8626761028482347
AbellS1063,PL6_PM2_PS2,0.20-0.40,44492,1.3712558408653027e-05,0.8315929575630229
AbellS1063,PL6_PM2_PS2,0.40-0.60,42814,1.4915449305724464e-05,0.7714607149207344
AbellS1063,PL6_PM2_PS2,0.60-0.80,42028,1.693614018113667e-05,0.6692374660231714
AbellS1063,PL6_PM2_PS2,0.80-1.00,45750,1.9572142583929535e-05,0.4953803210351215
Abell370,PL1_PM1_PS1,0.00-0.20,83240,1.5234414451984795e-05,0.9963052461886868
Abell370,PL1_PM1_PS1,0.20-0.40,32088,1.592326554643657e-05,0.9540598785918043
Abell370,PL1_PM1_PS1,0.40-0.60,25274,1.7397800600000343e-05,0.8646272181574151
Abell370,PL1_PM1_PS1,0.60-0.80,24312,1.9153253529697085e-05,0.708381433196828
Abell370,PL1_PM1_PS1,0.80-1.00,52344,1.9085098905294468e-05,0.30202981713394367
Abell370,PL1_PM1_PS2,0.00-0.20,83240,1.5234414451984795e-05,0.9410521837938437
Abell370,PL1_PM1_PS2,0.20-0.40,32088,1.592326554643657e-05,0.8916366390250374
Abell370,PL1_PM1_PS2,0.40-0.60,25274,1.7397800600000343e-05,0.8060172977871322
Abell370,PL1_PM1_PS2,0.60-0.80,24312,1.9153253529697085e-05,0.6778006340539781
Abell370,PL1_PM1_PS2,0.80-1.00,52344,1.9085098905294468e-05,0.3626065662445975
Abell370,PL1_PM2_PS1,0.00-0.20,83240,1.5234414451984795e-05,0.9963052461886868
Abell370,PL1_PM2_PS1,0.20-0.40,32088,1.592326554643657e-05,0.9540598785918043
Abell370,PL1_PM2_PS1,0.40-0.60,25274,1.7397800600000343e-05,0.8646272181574151
Abell370,PL1_PM2_PS1,0.60-0.80,24312,1.9153253529697085e-05,0.708381433196828
Abell370,PL1_PM2_PS1,0.80-1.00,52344,1.9085098905294468e-05,0.30202981713394367
Abell370,PL1_PM2_PS2,0.00-0.20,83240,1.5234414451984795e-05,0.9410521837938437
Abell370,PL1_PM2_PS2,0.20-0.40,32088,1.592326554643657e-05,0.8916366390250374
Abell370,PL1_PM2_PS2,0.40-0.60,25274,1.7397800600000343e-05,0.8060172977871322
Abell370,PL1_PM2_PS2,0.60-0.80,24312,1.9153253529697085e-05,0.6778006340539781
Abell370,PL1_PM2_PS2,0.80-1.00,52344,1.9085098905294468e-05,0.3626065662445975
Abell370,PL2_PM1_PS1,0.00-0.20,46600,1.3422381073687562e-05,0.9933015498628612
Abell370,PL2_PM1_PS1,0.20-0.40,44676,1.4289294138083032e-05,0.9524869378206472
Abell370,PL2_PM1_PS1,0.40-0.60,42258,1.5981445616734097e-05,0.8637641286222191
Abell370,PL2_PM1_PS1,0.60-0.80,41662,1.84066822266479e-05,0.7090718537169499
Abell370,PL2_PM1_PS1,0.80-1.00,45988,2.167975749103553e-05,0.39929864530995
Abell370,PL2_PM1_PS2,0.00-0.20,46600,1.3422381073687562e-05,0.8672571539667616
Abell370,PL2_PM1_PS2,0.20-0.40,44676,1.4289294138083032e-05,0.8390200420061219
Abell370,PL2_PM1_PS2,0.40-0.60,42258,1.5981445616734097e-05,0.7745167497574125
Abell370,PL2_PM1_PS2,0.60-0.80,41662,1.84066822266479e-05,0.6688389900966392
Abell370,PL2_PM1_PS2,0.80-1.00,45988,2.167975749103553e-05,0.48590647834552886
Abell370,PL2_PM2_PS1,0.00-0.20,46600,1.3422381073687562e-05,0.9933015498628612
Abell370,PL2_PM2_PS1,0.20-0.40,44676,1.4289294138083032e-05,0.9524869378206472
Abell370,PL2_PM2_PS1,0.40-0.60,42258,1.5981445616734097e-05,0.8637641286222191
Abell370,PL2_PM2_PS1,0.60-0.80,41662,1.84066822266479e-05,0.7090718537169499
Abell370,PL2_PM2_PS1,0.80-1.00,45988,2.167975749103553e-05,0.39929864530995
Abell370,PL2_PM2_PS2,0.00-0.20,46600,1.3422381073687562e-05,0.8672571539667616
Abell370,PL2_PM2_PS2,0.20-0.40,44676,1.4289294138083032e-05,0.8390200420061219
Abell370,PL2_PM2_PS2,0.40-0.60,42258,1.5981445616734097e-05,0.7745167497574125
Abell370,PL2_PM2_PS2,0.60-0.80,41662,1.84066822266479e-05,0.6688389900966392
Abell370,PL2_PM2_PS2,0.80-1.00,45988,2.167975749103553e-05,0.48590647834552886
Abell370,PL3_PM1_PS1,0.00-0.20,45946,1.3494141015141723e-05,0.9933492637464766
Abell370,PL3_PM1_PS1,0.20-0.40,45122,1.4402586054380621e-05,0.9522270319869709
Abell370,PL3_PM1_PS1,0.40-0.60,42432,1.6067679669049713e-05,0.8635220543802773
Abell370,PL3_PM1_PS1,0.60-0.80,41978,1.8380079611009557e-05,0.7088016134449936
Abell370,PL3_PM1_PS1,0.80-1.00,45706,2.152591148841943e-05,0.40111721869543104
Abell370,PL3_PM1_PS2,0.00-0.20,45946,1.3494141015141723e-05,0.8623725435608591
Abell370,PL3_PM1_PS2,0.20-0.40,45122,1.4402586054380621e-05,0.8328505269422897
Abell370,PL3_PM1_PS2,0.40-0.60,42432,1.6067679669049713e-05,0.7716311951194696
Abell370,PL3_PM1_PS2,0.60-0.80,41978,1.8380079611009557e-05,0.668623741413052
Abell370,PL3_PM1_PS2,0.80-1.00,45706,2.152591148841943e-05,0.49400619379006466
Abell370,PL3_PM2_PS1,0.00-0.20,45946,1.3494141015141723e-05,0.9933492637464766
Abell370,PL3_PM2_PS1,0.20-0.40,45122,1.4402586054380621e-05,0.9522270319869709
Abell370,PL3_PM2_PS1,0.40-0.60,42432,1.6067679669049713e-05,0.8635220543802773
Abell370,PL3_PM2_PS1,0.60-0.80,41978,1.8380079611009557e-05,0.7088016134449936
Abell370,PL3_PM2_PS1,0.80-1.00,45706,2.152591148841943e-05,0.40111721869543104
Abell370,PL3_PM2_PS2,0.00-0.20,45946,1.3494141015141723e-05,0.8623725435608591
Abell370,PL3_PM2_PS2,0.20-0.40,45122,1.4402586054380621e-05,0.8328505269422897
Abell370,PL3_PM2_PS2,0.40-0.60,42432,1.6067679669049713e-05,0.7716311951194696
Abell370,PL3_PM2_PS2,0.60-0.80,41978,1.8380079611009557e-05,0.668623741413052
Abell370,PL3_PM2_PS2,0.80-1.00,45706,2.152591148841943e-05,0.49400619379006466
Abell370,PL4_PM1_PS1,0.00-0.20,48352,1.3640272231362537e-05,0.9933548595150753
Abell370,PL4_PM1_PS1,0.20-0.40,44618,1.4425478399556194e-05,0.9526671067712154
Abell370,PL4_PM1_PS1,0.40-0.60,40936,1.6049534314979914e-05,0.8641956506302902
Abell370,PL4_PM1_PS1,0.60-0.80,40258,1.8266738393247327e-05,0.7091431398667535
Abell370,PL4_PM1_PS1,0.80-1.00,47020,2.152332303586693e-05,0.3929389497330828
Abell370,PL4_PM1_PS2,0.00-0.20,48352,1.3640272231362537e-05,0.8810302440102953
Abell370,PL4_PM1_PS2,0.20-0.40,44618,1.4425478399556194e-05,0.850720088778778
Abell370,PL4_PM1_PS2,0.40-0.60,40936,1.6049534314979914e-05,0.7818756781019985
Abell370,PL4_PM1_PS2,0.60-0.80,40258,1.8266738393247327e-05,0.6704892572541826
Abell370,PL4_PM1_PS2,0.80-1.00,47020,2.152332303586693e-05,0.4645444185518355
Abell370,PL4_PM2_PS1,0.00-0.20,48352,1.3640272231362537e-05,0.9933548595150753
Abell370,PL4_PM2_PS1,0.20-0.40,44618,1.4425478399556194e-05,0.9526671067712154
Abell370,PL4_PM2_PS1,0.40-0.60,40936,1.6049534314979914e-05,0.8641956506302902
Abell370,PL4_PM2_PS1,0.60-0.80,40258,1.8266738393247327e-05,0.7091431398667535
Abell370,PL4_PM2_PS1,0.80-1.00,47020,2.152332303586693e-05,0.3929389497330828
Abell370,PL4_PM2_PS2,0.00-0.20,48352,1.3640272231362537e-05,0.8810302440102953
Abell370,PL4_PM2_PS2,0.20-0.40,44618,1.4425478399556194e-05,0.850720088778778
Abell370,PL4_PM2_PS2,0.40-0.60,40936,1.6049534314979914e-05,0.7818756781019985
Abell370,PL4_PM2_PS2,0.60-0.80,40258,1.8266738393247327e-05,0.6704892572541826
Abell370,PL4_PM2_PS2,0.80-1.00,47020,2.152332303586693e-05,0.4645444185518355
