cluster_id,candidate_id,mu_bin,n_pairs,A_rms,mT_mean
Abell2744,PL3_PM2_PS2,0.00-0.20,45714,1.3373390956966501e-05,0.8609873406018497
Abell2744,PL3_PM2_PS2,0.20-0.40,44206,1.4343871997212979e-05,0.8325249714563896
Abell2744,PL3_PM2_PS2,0.40-0.60,43290,1.5775203018213925e-05,0.7727854852221934
Abell2744,PL3_PM2_PS2,0.60-0.80,42580,1.8105903622434294e-05,0.6686266505929186
Abell2744,PL3_PM2_PS2,0.80-1.00,45394,2.091085622930999e-05,0.49553213227530246
Abell2744,PL4_PM1_PS1,0.00-0.20,47790,1.3458072454964778e-05,0.9933462184591002
Abell2744,PL4_PM1_PS1,0.20-0.40,44726,1.4347273420259137e-05,0.952425962090084
Abell2744,PL4_PM1_PS1,0.40-0.60,41272,1.595633268483888e-05,0.863871275853651
Abell2744,PL4_PM1_PS1,0.60-0.80,40576,1.7916346213575206e-05,0.7092909461088713
Abell2744,PL4_PM1_PS1,0.80-1.00,46820,2.090280651132139e-05,0.3962130487135265
Abell2744,PL4_PM1_PS2,0.00-0.20,47790,1.3458072454964778e-05,0.8785393416934006
Abell2744,PL4_PM1_PS2,0.20-0.40,44726,1.4347273420259137e-05,0.8475285090739474
Abell2744,PL4_PM1_PS2,0.40-0.60,41272,1.595633268483888e-05,0.7813491903566893
Abell2744,PL4_PM1_PS2,0.60-0.80,40576,1.7916346213575206e-05,0.6696419811343427
Abell2744,PL4_PM1_PS2,0.80-1.00,46820,2.090280651132139e-05,0.4696743257111599
Abell2744,PL4_PM2_PS1,0.00-0.20,47790,1.3458072454964778e-05,0.9933462184591002
Abell2744,PL4_PM2_PS1,0.20-0.40,44726,1.4347273420259137e-05,0.952425962090084
Abell2744,PL4_PM2_PS1,0.40-0.60,41272,1.595633268483888e-05,0.863871275853651
Abell2744,PL4_PM2_PS1,0.60-0.80,40576,1.7916346213575206e-05,0.7092909461088713
Abell2744,PL4_PM2_PS1,0.80-1.00,46820,2.090280651132139e-05,0.3962130487135265
Abell2744,PL4_PM2_PS2,0.00-0.20,47790,1.3458072454964778e-05,0.8785393416934006
Abell2744,PL4_PM2_PS2,0.20-0.40,44726,1.4347273420259137e-05,0.8475285090739474
Abell2744,PL4_PM2_PS2,0.40-0.60,41272,1.595633268483888e-05,0.7813491903566893
Abell2744,PL4_PM2_PS2,0.60-0.80,40576,1.7916346213575206e-05,0.6696419811343427
Abell2744,PL4_PM2_PS2,0.80-1.00,46820,2.090280651132139e-05,0.4696743257111599
Abell2744,PL5_PM1_PS1,0.00-0.20,45504,1.4949499717027725e-05,0.9933594115129593
Abell2744,PL5_PM1_PS1,0.20-0.40,44554,1.5477651657528216e-05,0.9521346580950538
Abell2744,PL5_PM1_PS1,0.40-0.60,43194,1.639438947154185e-05,0.8638252184065804
Abell2744,PL5_PM1_PS1,0.60-0.80,42652,1.750404580498262e-05,0.7087785498946569
Abell2744,PL5_PM1_PS1,0.80-1.00,45280,1.899148514318893e-05,0.4041395643800157
Abell2744,PL5_PM1_PS2,0.00-0.20,45504,1.4949499717027725e-05,0.8562334160892418
Abell2744,PL5_PM1_PS2,0.20-0.40,44554,1.5477651657528216e-05,0.8274068345921788
Abell2744,PL5_PM1_PS2,0.40-0.60,43194,1.639438947154185e-05,0.7680688241895564
Abell2744,PL5_PM1_PS2,0.60-0.80,42652,1.750404580498262e-05,0.6680428756345174
Abell2744,PL5_PM1_PS2,0.80-1.00,45280,1.899148514318893e-05,0.5028692481231478
Abell2744,PL5_PM2_PS1,0.00-0.20,45504,1.4949499717027725e-05,0.9933594115129593
Abell2744,PL5_PM2_PS1,0.20-0.40,44554,1.5477651657528216e-05,0.9521346580950538
Abell2744,PL5_PM2_PS1,0.40-0.60,43194,1.639438947154185e-05,0.8638252184065804
Abell2744,PL5_PM2_PS1,0.60-0.80,42652,1.750404580498262e-05,0.7087785498946569
Abell2744,PL5_PM2_PS1,0.80-1.00,45280,1.899148514318893e-05,0.4041395643800157
Abell2744,PL5_PM2_PS2,0.00-0.20,45504,1.4949499717027725e-05,0.8562334160892418
Abell2744,PL5_PM2_PS2,0.20-0.40,44554,1.5477651657528216e-05,0.8274068345921788
Abell2744,PL5_PM2_PS2,0.40-0.60,43194,1.639438947154185e-05,0.7680688241895564
Abell2744,PL5_PM2_PS2,0.60-0.80,42652,1.750404580498262e-05,0.6680428756345174
Abell2744,PL5_PM2_PS2,0.80-1.00,45280,1.899148514318893e-05,0.5028692481231478
Abell2744,PL6_PM1_PS1,0.00-0.20,46246,1.3332315039821022e-05,0.9933477184560654
Abell2744,PL6_PM1_PS1,0.20-0.40,44162,1.4205990945878623e-05,0.9523545236779744
Abell2744,PL6_PM1_PS1,0.40-0.60,42982,1.574689240292115e-05,0.8638164169225861
Abell2744,PL6_PM1_PS1,0.60-0.80,42054,1.8086164495743855e-05,0.7097184975177695
Abell2744,PL6_PM1_PS1,0.80-1.00,45740,2.106952340546578e-05,0.402056790462735
Abell2744,PL6_PM1_PS2,0.00-0.20,46246,1.3332315039821022e-05,0.865939373257819
Abell2744,PL6_PM1_PS2,0.20-0.40,44162,1.4205990945878623e-05,0.8365139002019532
Abell2744,PL6_PM1_PS2,0.40-0.60,42982,1.574689240292115e-05,0.7748811159524811
Abell2744,PL6_PM1_PS2,0.60-0.80,42054,1.8086164495743855e-05,0.6694520076697484
Abell2744,PL6_PM1_PS2,0.80-1.00,45740,2.106952340546578e-05,0.48832830747882183
Abell2744,PL6_PM2_PS1,0.00-0.20,46246,1.3332315039821022e-05,0.9933477184560654
Abell2744,PL6_PM2_PS1,0.20-0.40,44162,1.4205990945878623e-05,0.9523545236779744
Abell2744,PL6_PM2_PS1,0.40-0.60,42982,1.574689240292115e-05,0.8638164169225861
Abell2744,PL6_PM2_PS1,0.60-0.80,42054,1.8086164495743855e-05,0.7097184975177695
Abell2744,PL6_PM2_PS1,0.80-1.00,45740,2.106952340546578e-05,0.402056790462735
Abell2744,PL6_PM2_PS2,0.00-0.20,46246,1.3332315039821022e-05,0.865939373257819
Abell2744,PL6_PM2_PS2,0.20-0.40,44162,1.4205990945878623e-05,0.8365139002019532
Abell2744,PL6_PM2_PS2,0.40-0.60,42982,1.574689240292115e-05,0.7748811159524811
Abell2744,PL6_PM2_PS2,0.60-0.80,42054,1.8086164495743855e-05,0.6694520076697484
Abell2744,PL6_PM2_PS2,0.80-1.00,45740,2.106952340546578e-05,0.48832830747882183
MACS0416,PL1_PM1_PS1,0.00-0.20,92642,1.490423108548546e-05,0.9968822255349246
MACS0416,PL1_PM1_PS1,0.20-0.40,29140,1.576739734276051e-05,0.9538345772418549
MACS0416,PL1_PM1_PS1,0.40-0.60,23424,1.6912877213844895e-05,0.8640918789005989
MACS0416,PL1_PM1_PS1,0.60-0.80,21824,1.847673848263107e-05,0.7073777742993829
MACS0416,PL1_PM1_PS1,0.80-1.00,48816,1.788509356696411e-05,0.30027723080245194
MACS0416,PL1_PM1_PS2,0.00-0.20,92642,1.490423108548546e-05,0.9467538714643908
MACS0416,PL1_PM1_PS2,0.20-0.40,29140,1.576739734276051e-05,0.8898166633118805
MACS0416,PL1_PM1_PS2,0.40-0.60,23424,1.6912877213844895e-05,0.8041792299654822
MACS0416,PL1_PM1_PS2,0.60-0.80,21824,1.847673848263107e-05,0.6753824101451203
MACS0416,PL1_PM1_PS2,0.80-1.00,48816,1.788509356696411e-05,0.3595827913352764
MACS0416,PL1_PM2_PS1,0.00-0.20,92642,1.490423108548546e-05,0.9968822255349246
MACS0416,PL1_PM2_PS1,0.20-0.40,29140,1.576739734276051e-05,0.9538345772418549
MACS0416,PL1_PM2_PS1,0.40-0.60,23424,1.6912877213844895e-05,0.8640918789005989
MACS0416,PL1_PM2_PS1,0.60-0.80,21824,1.847673848263107e-05,0.7073777742993829
MACS0416,PL1_PM2_PS1,0.80-1.00,48816,1.788509356696411e-05,0.30027723080245194
MACS0416,PL1_PM2_PS2,0.00-0.20,92642,1.490423108548546e-05,0.9467538714643908
MACS0416,PL1_PM2_PS2,0.20-0.40,29140,1.576739734276051e-05,0.8898166633118805
MACS0416,PL1_PM2_PS2,0.40-0.60,23424,1.6912877213844895e-05,0.8041792299654822
MACS0416,PL1_PM2_PS2,0.60-0.80,21824,1.847673848263107e-05,0.6753824101451203
MACS0416,PL1_PM2_PS2,0.80-1.00,48816,1.788509356696411e-05,0.3595827913352764
MACS0416,PL2_PM1_PS1,0.00-0.20,46142,1.315550561978697e-05,0.993376581362393
MACS0416,PL2_PM1_PS1,0.20-0.40,44472,1.406410944761295e-05,0.9520209643459744
MACS0416,PL2_PM1_PS1,0.40-0.60,42618,1.5337026664656007e-05,0.8638996556738693
MACS0416,PL2_PM1_PS1,0.60-0.80,42594,1.7504560884042204e-05,0.7093095793894374
MACS0416,PL2_PM1_PS1,0.80-1.00,45358,2.053269893227722e-05,0.399924651394274
MACS0416,PL2_PM1_PS2,0.00-0.20,46142,1.315550561978697e-05,0.863836869447497
MACS0416,PL2_PM1_PS2,0.20-0.40,44472,1.406410944761295e-05,0.8329195410963154
MACS0416,PL2_PM1_PS2,0.40-0.60,42618,1.5337026664656007e-05,0.7737173774918681
MACS0416,PL2_PM1_PS2,0.60-0.80,42594,1.7504560884042204e-05,0.6694870299890586
MACS0416,PL2_PM1_PS2,0.80-1.00,45358,2.053269893227722e-05,0.4924398987354456
MACS0416,PL2_PM2_PS1,0.00-0.20,46142,1.315550561978697e-05,0.993376581362393
MACS0416,PL2_PM2_PS1,0.20-0.40,44472,1.406410944761295e-05,0.9520209643459744
MACS0416,PL2_PM2_PS1,0.40-0.60,42618,1.5337026664656007e-05,0.8638996556738693
MACS0416,PL2_PM2_PS1,0.60-0.80,42594,1.7504560884042204e-05,0.7093095793894374
MACS0416,PL2_PM2_PS1,0.80-1.00,45358,2.053269893227722e-05,0.399924651394274
MACS0416,PL2_PM2_PS2,0.00-0.20,46142,1.315550561978697e-05,0.863836869447497
MACS0416,PL2_PM2_PS2,0.20-0.40,44472,1.406410944761295e-05,0.8329195410963154
MACS0416,PL2_PM2_PS2,0.40-0.60,42618,1.5337026664656007e-05,0.7737173774918681
MACS0416,PL2_PM2_PS2,0.60-0.80,42594,1.7504560884042204e-05,0.6694870299890586
MACS0416,PL2_PM2_PS2,0.80-1.00,45358,2.053269893227722e-05,0.4924398987354456
MACS0416,PL3_PM1_PS1,0.00-0.20,45664,1.3256397948834572e-05,0.9933683630238422
MACS0416,PL3_PM1_PS1,0.20-0.40,44530,1.4088867548893116e-05,0.9521825100097372
MACS0416,PL3_PM1_PS1,0.40-0.60,42886,1.5443021708054534e-05,0.8637276313664295
MACS0416,PL3_PM1_PS1,0.60-0.80,42916,1.740777204803299e-05,0.7097777863130674
MACS0416,PL3_PM1_PS1,0.80-1.00,45188,2.0442830993154647e-05,0.4016424772060911
MACS0416,PL3_PM1_PS2,0.00-0.20,45664,1.3256397948834572e-05,0.8597359948943869
MACS0416,PL3_PM1_PS2,0.20-0.40,44530,1.4088867548893116e-05,0.8306000889333692
MACS0416,PL3_PM1_PS2,0.40-0.60,42886,1.5443021708054534e-05,0.7713052049014503
MACS0416,PL3_PM1_PS2,0.60-0.80,42916,1.740777204803299e-05,0.6699044638140353
MACS0416,PL3_PM1_PS2,0.80-1.00,45188,2.0442830993154647e-05,0.49738726143471923
MACS0416,PL3_PM2_PS1,0.00-0.20,45664,1.3256397948834572e-05,0.9933683630238422
MACS0416,PL3_PM2_PS1,0.20-0.40,44530,1.4088867548893116e-05,0.9521825100097372
MACS0416,PL3_PM2_PS1,0.40-0.60,42886,1.5443021708054534e-05,0.8637276313664295
MACS0416,PL3_PM2_PS1,0.60-0.80,42916,1.740777204803299e-05,0.7097777863130674
MACS0416,PL3_PM2_PS1,0.80-1.00,45188,2.0442830993154647e-05,0.4016424772060911
MACS0416,PL3_PM2_PS2,0.00-0.20,45664,1.3256397948834572e-05,0.8597359948943869
MACS0416,PL3_PM2_PS2,0.20-0.40,44530,1.4088867548893116e-05,0.8306000889333692
MACS0416,PL3_PM2_PS2,0.40-0.60,42886,1.5443021708054534e-05,0.7713052049014503
MACS0416,PL3_PM2_PS2,0.60-0.80,42916,1.740777204803299e-05,0.6699044638140353
MACS0416,PL3_PM2_PS2,0.80-1.00,45188,2.0442830993154647e-05,0.49738726143471923
MACS0416,PL4_PM1_PS1,0.00-0.20,47140,1.3313770781435244e-05,0.9933514229822702
MACS0416,PL4_PM1_PS1,0.20-0.40,44526,1.4012728408349068e-05,0.9523801051269913
MACS0416,PL4_PM1_PS1,0.40-0.60,42182,1.551567761933078e-05,0.863668986835426
MACS0416,PL4_PM1_PS1,0.60-0.80,40968,1.7455102655003e-05,0.7089648440747386
MACS0416,PL4_PM1_PS1,0.80-1.00,46368,2.037276926561117e-05,0.3979725510073749
MACS0416,PL4_PM1_PS2,0.00-0.20,47140,1.3313770781435244e-05,0.8747797855995573
MACS0416,PL4_PM1_PS2,0.20-0.40,44526,1.4012728408349068e-05,0.8441010226022072
MACS0416,PL4_PM1_PS2,0.40-0.60,42182,1.551567761933078e-05,0.7782804212586275
MACS0416,PL4_PM1_PS2,0.60-0.80,40968,1.7455102655003e-05,0.6685964199806397
MACS0416,PL4_PM1_PS2,0.80-1.00,46368,2.037276926561117e-05,0.4779978313044956
MACS0416,PL4_PM2_PS1,0.00-0.20,47140,1.3313770781435244e-05,0.9933514229822702
MACS0416,PL4_PM2_PS1,0.20-0.40,44526,1.4012728408349068e-05,0.9523801051269913
MACS0416,PL4_PM2_PS1,0.40-0.60,42182,1.551567761933078e-05,0.863668986835426
MACS0416,PL4_PM2_PS1,0.60-0.80,40968,1.7455102655003e-05,0.7089648440747386
MACS0416,PL4_PM2_PS1,0.80-1.00,46368,2.037276926561117e-05,0.3979725510073749
MACS0416,PL4_PM2_PS2,0.00-0.20,47140,1.3313770781435244e-05,0.8747797855995573
