cluster_id,candidate_id,observable,pearson_vs_gr,spearman_vs_gr,ssim_vs_gr,rms_difference,nrmse,rms_amplitude_ratio,sign_agreement
Abell2744,PL1_PM1_PS1,kappa_central,-0.15299018955117533,-0.18048087240635136,4.4026896293925304e-05,0.07447480382818036,0.288740727599082,96.74684060250281,0.4201388888888889
Abell2744,PL1_PM1_PS1,gamma1_central,0.10262452557019888,0.1253863094735742,1.4723732576931301e-05,1.3525430974385333,0.22897583088304785,3517.842057069168,0.5277777777777778
Abell2744,PL1_PM1_PS1,gamma2_central,0.10452439769231783,0.040841300652255164,0.0005205155936375788,0.7354603387902805,0.15488909183693167,20463.079371480235,0.4965277777777778
Abell2744,PL1_PM1_PS1,omega_central,nan,1.0,1.0,0.0,nan,0.0,1.0
Abell2744,PL1_PM1_PS1,kappa_los,-0.1579907096335612,-0.10569055455754756,1.4610373194541402e-05,0.07476904795381888,0.2898815196329171,23.17788857124675,0.4340277777777778
Abell2744,PL1_PM1_PS1,gamma1_los,0.10574092517993106,0.04950538321497896,1.4868104907547395e-05,1.352440788817894,0.2289585107684713,842.7789781780513,0.5208333333333334
Abell2744,PL1_PM1_PS1,gamma2_los,0.12891833078097434,0.09754188619493709,0.0005232852935515639,0.7354482158346995,0.15488653872362118,6315.0781731585885,0.5347222222222222
Abell2744,PL1_PM1_PS1,omega_los,nan,1.0,1.0,0.0,nan,0.0,1.0
Abell2744,PL1_PM1_PS2,kappa_central,-0.21932818094669254,-0.17134909918056176,3.43962291834513e-05,0.07450707654683318,0.28886584975834156,103.8801674609408,0.4513888888888889
Abell2744,PL1_PM1_PS2,gamma1_central,0.14131638829421883,0.10325414240301573,1.4857997562350452e-05,1.3525311203335564,0.22897380324520855,3777.2194805361764,0.4756944444444444
Abell2744,PL1_PM1_PS2,gamma2_central,0.0894653263919647,0.07859112080987345,0.0005195641790565351,0.7354615111403802,0.15488933873568703,19976.60328772577,0.5138888888888888
Abell2744,PL1_PM1_PS2,omega_central,nan,1.0,1.0,0.0,nan,0.0,1.0
Abell2744,PL1_PM1_PS2,kappa_los,-0.18042477024561324,-0.10868709033111093,-6.872491152680066e-06,0.07491739492064681,0.2904566646341424,19.772846220779133,0.4027777777777778
Abell2744,PL1_PM1_PS2,gamma1_los,0.11290906682385506,0.044662197734186934,1.5174559582144963e-05,1.352400722187967,0.22895172777582906,718.9669434674623,0.53125
Abell2744,PL1_PM1_PS2,gamma2_los,0.11400581688081146,0.11072162006840039,0.0005213897444032506,0.7354507175035833,0.15488706557898105,6042.950768901701,0.5486111111111112
Abell2744,PL1_PM1_PS2,omega_los,nan,1.0,1.0,0.0,nan,0.0,1.0
Abell2744,PL1_PM2_PS1,kappa_central,-0.13981522782251501,-0.1744878008592246,5.13465642024164e-05,0.07444328995565347,0.28861854750574634,133.43036781355917,0.4027777777777778
Abell2744,PL1_PM2_PS1,gamma1_central,0.12020338708395184,0.1601174903246808,1.4652744266610059e-05,1.3525494501928461,0.22897690635872026,4851.703235485625,0.5729166666666666
Abell2744,PL1_PM2_PS1,gamma2_central,0.11647990050433542,0.0431516221983772,0.0005202101965492235,0.7354613477451478,0.15488930432439682,29632.112607603704,0.5
Abell2744,PL1_PM2_PS1,omega_central,nan,1.0,1.0,0.0,nan,0.0,1.0
Abell2744,PL1_PM2_PS1,kappa_los,-0.14107554226661753,-0.08664233268630264,3.317262000190159e-05,0.07467285605541717,0.2895085811717736,26.34963213785195,0.3958333333333333
Abell2744,PL1_PM2_PS1,gamma1_los,0.10231563486525523,0.04895580900940003,1.4644186510352504e-05,1.3524656061998095,0.2289627121729627,958.1076926706742,0.5451388888888888
Abell2744,PL1_PM2_PS1,gamma2_los,0.12814848252585512,0.10276937173721712,0.0005235781559582023,0.735449487731659,0.15488680658710008,7064.321172208454,0.53125
Abell2744,PL1_PM2_PS1,omega_los,nan,1.0,1.0,0.0,nan,0.0,1.0
Abell2744,PL1_PM2_PS2,kappa_central,-0.1587145429827111,-0.14223221569833097,4.449811571670294e-05,0.07444257508812899,0.28861577594598997,177.68098643899356,0.4166666666666667
Abell2744,PL1_PM2_PS2,gamma1_central,0.13384381978597784,0.12032761454653597,1.473373559272098e-05,1.352551505962577,0.2289772543857688,6460.714639557182,0.5277777777777778
Abell2744,PL1_PM2_PS2,gamma2_central,0.07917861628038801,0.04108695127979456,0.0005194364428381804,0.7354632095418235,0.15488969642167397,39366.01932388465,0.4895833333333333
Abell2744,PL1_PM2_PS2,omega_central,nan,1.0,1.0,0.0,nan,0.0,1.0
Abell2744,PL1_PM2_PS2,kappa_los,-0.14055487643464895,-0.08380554517359311,2.2478370114558915e-05,0.07468892459233402,0.28957087930217923,27.29820998539385,0.3993055555555556
Abell2744,PL1_PM2_PS2,gamma1_los,0.09343016638721952,0.03814667904464512,1.498293076663544e-05,1.3524700485661698,0.22896346423367736,992.599193474918,0.5416666666666666
Abell2744,PL1_PM2_PS2,gamma2_los,0.10435457093529128,0.10719811597522796,0.0005208224380309529,0.7354551780629422,0.15488800497972335,8229.210925879417,0.5416666666666666
Abell2744,PL1_PM2_PS2,omega_los,nan,1.0,1.0,0.0,nan,0.0,1.0
