cluster_id,candidate_id,pearson_kappa_los_vs_gr,pearson_kappa_central_vs_gr,delta_r_vs_o3_los,delta_r_vs_o4_los,delta_r_vs_2d_midpoint,f_irr_3d,delta_f_irr_vs_o3,pearson_o3_los,pearson_o4_los,pearson_2d_midpoint
Abell2744,PL1_PM1_PS1,-0.1579907096335612,-0.15299018955117533,-0.10688369311917502,-0.4630344818706825,-0.5506021075298243,0.4920425448118293,0.2720425448118293,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL1_PM1_PS2,-0.18042477024561324,-0.21932818094669254,-0.12931775373122706,-0.4854685424827345,-0.5730361681418763,0.515322595534658,0.295322595534658,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL1_PM2_PS1,-0.14107554226661753,-0.13981522782251501,-0.08996852575223134,-0.4461193145037389,-0.5336869401628807,0.5329321639029717,0.31293216390297174,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL1_PM2_PS2,-0.14055487643464895,-0.1587145429827111,-0.08944785992026276,-0.44559864867177024,-0.533166274330912,0.5523744155299852,0.33237441552998526,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL2_PM1_PS1,-0.18354307615430288,-0.14342246463165412,-0.13243605963991667,-0.4885868483914242,-0.576154474050566,0.49916433390609877,0.27916433390609874,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL2_PM1_PS2,-0.18150250152919084,-0.2057505949460171,-0.13039548501480464,-0.48654627376631215,-0.574113899425454,0.48866323602668726,0.2686632360266873,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL2_PM2_PS1,-0.18064807029768276,-0.13436371539087616,-0.12954105378329656,-0.4856918425348041,-0.5732594681939458,0.5121600156244145,0.2921600156244145,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL2_PM2_PS2,-0.1545764705876881,-0.15505248888184994,-0.1034694540733019,-0.4596202428248094,-0.5471878684839512,0.5144026760848217,0.29440267608482174,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL3_PM1_PS1,-0.1755317471385354,-0.15019120917320997,-0.1244247306241492,-0.4805755193756567,-0.5681431450347985,0.49869928877085967,0.2786992887708597,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL3_PM1_PS2,-0.18323651462830923,-0.2076391585305646,-0.13212949811392305,-0.48828028686543057,-0.5758479125245723,0.487369715864398,0.26736971586439795,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL3_PM2_PS1,-0.18312312891022595,-0.1581779346682966,-0.13201611239583977,-0.4881669011473473,-0.5757345268064891,0.5104778208692667,0.29047782086926677,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL3_PM2_PS2,-0.16304400477728445,-0.1686969016035149,-0.11193698826289826,-0.46808777701440574,-0.5556554026735475,0.512794871258965,0.292794871258965,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL4_PM1_PS1,-0.18880043209398886,-0.13731597632362239,-0.13769341557960268,-0.4938442043311102,-0.581411829990252,0.4977686286449882,0.2777686286449882,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL4_PM1_PS2,-0.17787633218959473,-0.2019404069516102,-0.12676931567520855,-0.48292010442671607,-0.5704877300858578,0.49149081768088343,0.27149081768088346,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL4_PM2_PS1,-0.1779970725044299,-0.11075833307685959,-0.12689005599004372,-0.4830408447415512,-0.570608470400693,0.5146655493584936,0.29466554935849365,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL4_PM2_PS2,-0.14129028236635416,-0.12897397965087912,-0.09018326585196797,-0.44633405460347547,-0.5339016802626173,0.5193115949975184,0.29931159499751847,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL5_PM1_PS1,-0.17954764554981506,-0.18307437247212854,-0.12844062903542885,-0.4845914177869364,-0.5721590434460782,0.49980462012116905,0.279804620121169,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL5_PM1_PS2,-0.19320244308386839,-0.20639383008555287,-0.1420954265694822,-0.49824621532098967,-0.5858138409801315,0.5028211959627489,0.2828211959627489,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL5_PM2_PS1,-0.18988613891896647,-0.1828120876415581,-0.1387791224045803,-0.49492991115608775,-0.5824975368152295,0.5104351818109005,0.29043518181090056,-0.05110701651438619,0.3050437722371213,0.3926113978962631
