cluster_id,candidate_id,metric,raw_value,reciprocal,d_alpha,d_3alpha,d_6alpha,nearest_target,log_distance,input_dependency
Abell2744,PL1_PM1_PS1,f_irr_3d,0.4920425448118293,2.0323445818743737,1.828837326414783,1.3517160716951204,1.0506860760311392,6alpha,1.0506860760311392,True
Abell2744,PL1_PM1_PS1,f_z,0.2277100070194333,4.391550521162022,1.4942167871235061,1.0170955324038438,0.7160655367398626,6alpha,0.7160655367398626,True
Abell2744,PL1_PM1_PS1,F_Dz,0.23840725974290503,4.194503141718023,1.5141541464168369,1.0370328916971745,0.7360028960331932,6alpha,0.7360028960331932,True
Abell2744,PL1_PM1_PS1,response_energy,7.205809220831177e-05,13877.6918643518,2.005482569891532,2.4826038246111946,2.783633820275176,alpha,2.005482569891532,True
Abell2744,PL1_PM1_PS1,helicity_total,-2.546830525605496e-07,-3926448.933080285,4.457165283003842,4.934286537723505,5.235316533387486,alpha,4.457165283003842,True
Abell2744,PL1_PM1_PS2,f_irr_3d,0.515322595534658,1.9405320253083005,1.8489138559842213,1.371792601264559,1.0707626056005777,6alpha,1.0707626056005777,True
Abell2744,PL1_PM1_PS2,f_z,0.2143362928305872,4.665565438282571,1.4679303853058312,0.9908091305861686,0.6897791349221875,6alpha,0.6897791349221875,True
Abell2744,PL1_PM1_PS2,F_Dz,0.24890018192753727,4.017674845617958,1.532859884485452,1.0557386297657896,0.7547086341018083,6alpha,0.7547086341018083,True
Abell2744,PL1_PM1_PS2,response_energy,7.242271774384888e-05,13807.822064022632,2.003290511385107,2.480411766104769,2.7814417617687504,alpha,2.003290511385107,True
Abell2744,PL1_PM1_PS2,helicity_total,-2.968389222890416e-08,-33688304.494862296,5.390644483401124,5.867765738120786,6.168795733784767,alpha,5.390644483401124,True
Abell2744,PL1_PM2_PS1,f_irr_3d,0.5329321639029717,1.8764114229406221,1.8635066023227078,1.3863853476030454,1.0853553519390642,6alpha,1.0853553519390642,True
Abell2744,PL1_PM2_PS1,f_z,0.23919303168213366,4.180723798546571,1.5155831938076307,1.0384619390879684,0.7374319434239871,6alpha,0.7374319434239871,True
Abell2744,PL1_PM2_PS1,F_Dz,0.2367166325797081,4.224460229524752,1.5110634445657412,1.0339421898460786,0.7329121941820974,6alpha,0.7329121941820974,True
Abell2744,PL1_PM2_PS1,response_energy,5.051301530722883e-05,19796.87797130756,2.159762035642941,2.636883290362603,2.937913286026584,alpha,2.159762035642941,True
Abell2744,PL1_PM2_PS1,helicity_total,-2.1658948706530677e-07,-4617029.263744812,4.52752795677386,5.004649211493523,5.305679207157504,alpha,4.52752795677386,True
Abell2744,PL1_PM2_PS2,f_irr_3d,0.5523744155299852,1.8103662513777592,1.8790682254812703,1.4019469707616077,1.1009169750976266,6alpha,1.1009169750976266,True
Abell2744,PL1_PM2_PS2,f_z,0.22731957787599813,4.399093159259234,1.4934715113444894,1.0163502566248268,0.7153202609608457,6alpha,0.7153202609608457,True
Abell2744,PL1_PM2_PS2,F_Dz,0.2588341253885638,3.863478196697565,1.5498562047660789,1.0727349500464165,0.7717049543824354,6alpha,0.7717049543824354,True
Abell2744,PL1_PM2_PS2,response_energy,4.490088551963942e-05,22271.27568703751,2.2109104234678245,2.6880316781874867,2.989061673851468,alpha,2.2109104234678245,True
Abell2744,PL1_PM2_PS2,helicity_total,-5.095356915566726e-08,-19625710.555131465,5.155990719032895,5.633111973752557,5.9341419694165385,alpha,5.155990719032895,True
Abell2744,PL2_PM1_PS1,f_irr_3d,0.49916433390609877,2.0033482604310366,1.835078217183954,1.3579569624642915,1.0569269668003103,6alpha,1.0569269668003103,True
Abell2744,PL2_PM1_PS1,f_z,0.2862604199704482,3.493322618974827,1.5935959745328616,1.116474719813199,0.8154447241492179,6alpha,0.8154447241492179,True
Abell2744,PL2_PM1_PS1,F_Dz,0.35253906707362564,2.8365650601530525,1.684041921339865,1.2069206666202026,0.9058906709562214,6alpha,0.9058906709562214,True
Abell2744,PL2_PM1_PS1,response_energy,7.382479529507933e-05,13545.584461195971,1.994963078153961,2.4720843328736235,2.7731143285376048,alpha,1.994963078153961,True
Abell2744,PL2_PM1_PS1,helicity_total,2.646762899131925e-07,3778200.156606306,4.440450291247454,4.9175715459671165,5.218601541631098,alpha,4.440450291247454,True
Abell2744,PL2_PM1_PS2,f_irr_3d,0.48866323602668726,2.046399086886469,1.8258443370895017,1.3487230823698393,1.047693086705858,6alpha,1.047693086705858,True
