cluster_id,transform,E_cov,delta_f_irr,delta_f_sol,delta_response_energy,delta_div_rms,delta_curl_rms,delta_f_z
Abell2744,RC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abell2744,RC1,0.9397760955290996,0.0,0.0,0.0,0.0,0.0,0.0
Abell2744,RC2,0.8739507756348969,0.0,0.0,0.0,0.0,0.0,0.18002124209808018
Abell2744,RC3,0.8703333442899643,1.1102230246251565e-16,0.0,0.0,6.776263578034403e-21,0.0,0.17696987941015818
Abell2744,RC4,0.9987253280047739,0.0040746072704022085,0.004074607270402153,7.329561439194706e-07,-1.2805977110802165e-07,2.740504736857552e-07,0.17646958710292204
Abell2744,RC5,1.4162252323334308,0.003499033295557452,0.0034990332955573966,1.0791725267749787e-06,1.251238624436202e-07,4.0469754221228964e-07,-0.001140878969852821
Abell2744,RC6,1.0246279699187715,0.003499033295557452,0.0034990332955573966,1.0791725267749787e-06,1.251238624436202e-07,4.0469754221228964e-07,-0.001140878969852821
MACS0416,RC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS0416,RC1,0.9276533667080311,0.0,0.0,-1.3552527156068805e-20,0.0,0.0,2.7755575615628914e-17
MACS0416,RC2,0.8646208943798054,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.16708906533135012
MACS0416,RC3,0.8635994899067196,1.1102230246251565e-16,0.0,-1.3552527156068805e-20,0.0,0.0,0.1680119001051462
MACS0416,RC4,0.9811611257493061,0.007989658808883138,0.007989658808883027,1.7026737113259085e-06,-1.0642986226608488e-07,7.601082998573357e-07,0.17208942427369936
MACS0416,RC5,1.4224629517231226,0.005557014544868344,0.005557014544868344,1.6247983219270075e-06,2.552790801439603e-07,5.790176751540538e-07,-0.005525084628167171
MACS0416,RC6,1.0103807259364015,0.005557014544868455,0.005557014544868344,1.624798321927021e-06,2.552790801439603e-07,5.790176751540538e-07,-0.005525084628167143
MACS1149,RC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS1149,RC1,0.9201639933170067,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17
MACS1149,RC2,0.8545877243002693,0.0,0.0,0.0,0.0,0.0,0.1708586041062785
MACS1149,RC3,0.8567513751637383,0.0,0.0,0.0,0.0,0.0,0.17963933453539466
MACS1149,RC4,0.9699149975393268,0.0061140598414064495,0.0061140598414064495,8.159352471130964e-07,-6.559378109961367e-08,4.523836351501791e-07,0.1776770507691074
MACS1149,RC5,1.4212459676995848,0.0014233172271919114,0.0014233172271919114,1.3696580192411122e-06,4.474544251520057e-07,4.878011932751733e-07,-0.0004668527218733287
MACS1149,RC6,0.9972717268905309,0.0014233172271919114,0.0014233172271919114,1.3696580192410987e-06,4.474544251519989e-07,4.878011932751733e-07,-0.0004668527218733287
AbellS1063,RC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbellS1063,RC1,0.9148049471659958,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0
AbellS1063,RC2,0.8598485657507992,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.16102676867435275
AbellS1063,RC3,0.8521426178927948,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.1522412434283276
AbellS1063,RC4,0.9641447411732675,0.0004582498454506201,0.0004582498454506756,5.190439302932271e-07,1.379788365729823e-08,2.0923295762034793e-07,0.15224305759043036
AbellS1063,RC5,1.4179057526794385,0.000882343810240438,0.0008823438102404935,5.407993630399176e-07,3.1353193083008725e-07,1.2722091842211981e-07,-0.0018663087958150915
AbellS1063,RC6,0.985096477353201,0.000882343810240438,0.0008823438102404935,5.407993630399311e-07,3.1353193083008725e-07,1.2722091842211981e-07,-0.0018663087958150915
Abell370,RC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abell370,RC1,0.9412446466341677,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0
Abell370,RC2,0.8774588573833704,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.18009819950359277
Abell370,RC3,0.8744630174982568,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.1802974955707701
Abell370,RC4,1.0013537247637592,0.004580966935730513,0.004580966935730457,6.332834569909985e-07,-1.4903656192487584e-08,4.850428338073624e-07,0.18140382427030935
Abell370,RC5,1.414269975523199,0.00338376783231753,0.003383767832317419,8.690425848823923e-07,1.8713267684727501e-07,3.527848033223785e-07,-0.00013899343068143888
Abell370,RC6,1.024073707870034,0.00338376783231753,0.00338376783231753,8.690425848823923e-07,1.8713267684727501e-07,3.527848033223717e-07,-0.00013899343068143888
