cluster_id,candidate_id,f_z,F_Dz,correlation_Dz_kappa_gr
Abell2744,PL1_PM1_PS1,0.2277100070194333,0.23840725974290503,-0.015079606868856666
Abell2744,PL1_PM1_PS2,0.2143362928305872,0.24890018192753727,-0.011689353835342501
Abell2744,PL1_PM2_PS1,0.23919303168213366,0.2367166325797081,-0.01574011204831627
Abell2744,PL1_PM2_PS2,0.22731957787599813,0.2588341253885638,-0.014313800685915387
Abell2744,PL2_PM1_PS1,0.2862604199704482,0.35253906707362564,0.01465096598381766
Abell2744,PL2_PM1_PS2,0.27367841456684633,0.3803263657599921,-0.006447430088845278
Abell2744,PL2_PM2_PS1,0.27345544245934966,0.31093099583856765,0.009367981314970348
Abell2744,PL2_PM2_PS2,0.251960608239686,0.3344056030679708,-0.009236606853946843
Abell2744,PL3_PM1_PS1,0.2908798948068815,0.354144134666253,0.009452057462570735
Abell2744,PL3_PM1_PS2,0.2776567102042041,0.3803362562947284,-0.006697340891406634
Abell2744,PL3_PM2_PS1,0.27829848120710526,0.3139647355114794,0.007818640583092748
Abell2744,PL3_PM2_PS2,0.25667139935327904,0.3373140623842289,-0.009644229670220666
Abell2744,PL4_PM1_PS1,0.2764096553127217,0.3459195917646503,0.00867146570648774
Abell2744,PL4_PM1_PS2,0.2646385611691103,0.3733774537257275,-0.005710913936962926
Abell2744,PL4_PM2_PS1,0.26219023582246387,0.30131806237228664,0.00955514875397207
Abell2744,PL4_PM2_PS2,0.24208584464757135,0.3186807426611754,-0.008014991178012515
Abell2744,PL5_PM1_PS1,0.2986933561216381,0.352133711881986,0.015423549212587026
Abell2744,PL5_PM1_PS2,0.2869582118460888,0.35878478510367706,-0.005763544829526392
Abell2744,PL5_PM2_PS1,0.2869717068892966,0.31484490994321196,0.011595707855428336
Abell2744,PL5_PM2_PS2,0.2707951891485638,0.31456842268722557,-0.0121173089802172
Abell2744,PL6_PM1_PS1,0.2862604199704482,0.35253906707362564,0.01465096598381766
Abell2744,PL6_PM1_PS2,0.27367841456684633,0.3803263657599921,-0.006447430088845278
Abell2744,PL6_PM2_PS1,0.27345544245934966,0.31093099583856765,0.009367981314970348
Abell2744,PL6_PM2_PS2,0.251960608239686,0.3344056030679708,-0.009236606853946843
MACS0416,PL1_PM1_PS1,0.23090359045088613,0.26852534508015624,-0.0005491744849430659
MACS0416,PL1_PM1_PS2,0.2216330115211679,0.27407318271426445,-0.0026536940833859226
MACS0416,PL1_PM2_PS1,0.2440592124230949,0.2716697587795711,-0.004525727081961506
MACS0416,PL1_PM2_PS2,0.23793086212283865,0.2924847601744309,-0.008075108780612454
MACS0416,PL2_PM1_PS1,0.291828173667245,0.36783461470483925,0.0137357548186976
MACS0416,PL2_PM1_PS2,0.28049825500866926,0.39513234829524974,0.001147628809964801
MACS0416,PL2_PM2_PS1,0.2795685569332274,0.325896474779465,0.013051559131388925
MACS0416,PL2_PM2_PS2,0.2595495967295438,0.35287501865951443,-0.0006990278280383515
MACS0416,PL3_PM1_PS1,0.2951143509652348,0.3678223217546862,0.01638031722033968
MACS0416,PL3_PM1_PS2,0.2840519370704384,0.39356862275337196,0.003481760004485343
MACS0416,PL3_PM2_PS1,0.28343934690965256,0.3269343787995572,0.014449754279399337
MACS0416,PL3_PM2_PS2,0.2634329036262366,0.3539833713612284,-0.00047224004307471726
MACS0416,PL4_PM1_PS1,0.28212323976117243,0.3644980834555859,0.0062082164382419504
MACS0416,PL4_PM1_PS2,0.27328928521084533,0.3907164470889806,0.0024120780708763953
MACS0416,PL4_PM2_PS1,0.26937151786078295,0.32144870550843424,0.014192428252554231
MACS0416,PL4_PM2_PS2,0.2506684515046408,0.3392080625320696,0.0017759084622497126
MACS0416,PL5_PM1_PS1,0.29797285219305014,0.36427467585290557,0.01556441179967157
MACS0416,PL5_PM1_PS2,0.28824451954416436,0.37632828125865997,0.00983586210577524
MACS0416,PL5_PM2_PS1,0.2868376774788184,0.3259706513398485,0.019066565641436144
MACS0416,PL5_PM2_PS2,0.27167128259660256,0.3315573396497242,0.012470707163298829
