cluster_id,longitudinal_reference,step,response_energy,f_irr_3d,f_sol_3d,f_z,pearson_kappa_los,helicity_total
Abell2744,PL1,1,0.00010149108300819211,0.4864069399136899,0.5135930600863101,0.21036279111091746,0.2990274606544651,-6.093814737458782e-09
Abell2744,PL1,10,9.125980917099605e-05,0.4985324530373624,0.5014675469626376,0.21249143633663017,0.28643505808775965,-2.6094910021211863e-08
Abell2744,PL1,20,7.242271774384888e-05,0.515322595534658,0.4846774044653421,0.2143362928305872,0.2839535373816419,-2.968389222890416e-08
MACS0416,PL1,1,9.785464089737159e-05,0.48718964010879573,0.5128103598912043,0.21906781884263493,0.2364107613664568,-3.282974740943981e-07
MACS0416,PL1,10,8.826987389462836e-05,0.5000891811394516,0.4999108188605484,0.22050318109026093,0.22550150240626704,-3.114181910672298e-07
MACS0416,PL1,20,7.003664736119585e-05,0.5172394453686536,0.48276055463134643,0.2216330115211679,0.22336631482403096,-2.7315900440673017e-07
MACS1149,PL1,1,9.301195892034614e-05,0.4819971728300783,0.5180028271699216,0.21450055275135674,0.18930719601438512,2.521469827121392e-07
MACS1149,PL1,10,8.425077920250082e-05,0.4957406637938779,0.5042593362061222,0.2156392117959742,0.1786172031455151,2.2177611742051275e-07
MACS1149,PL1,20,6.667714415370117e-05,0.5130057246236769,0.4869942753763231,0.21650068711944226,0.17677766662618016,1.691754620115687e-07
AbellS1063,PL1,1,9.549657409879415e-05,0.48389056499176025,0.5161094350082397,0.22618304148011764,0.19436200746167165,-2.5569873054046293e-08
AbellS1063,PL1,10,8.627068552811733e-05,0.49812959098820087,0.5018704090117992,0.2277641955010335,0.18358269691113716,-2.9344152372057267e-08
AbellS1063,PL1,20,6.831660535582503e-05,0.5161704500258545,0.4838295499741455,0.2289106626324399,0.18163819952588017,-2.082371668666599e-08
Abell370,PL1,1,0.00010181681188216815,0.4892160259057849,0.510783974094215,0.21046253040396234,0.27141487858023355,7.95078320273201e-08
Abell370,PL1,10,9.179557433594074e-05,0.5012900295360337,0.4987099704639663,0.2119613625574326,0.2620498472948042,5.782476249712745e-08
Abell370,PL1,20,7.310396672367269e-05,0.5178973458879766,0.4821026541120234,0.21320143497521235,0.26219405817199587,3.451526439330819e-08
