cluster_id,candidate_id,E_native,E_irr,E_sol,E_irr_cropped,E_sol_cropped,f_irr_3d,f_sol_3d,f_irr_3d_cropped,f_sol_3d_cropped
Abell2744,PL1_PM1_PS1,7.205809220831177e-05,3.459612535391138e-05,3.571512256295707e-05,3.4832960736838115e-05,3.6357492217842966e-05,0.4920425448118293,0.5079574551881708,0.4892925847657174,0.5107074152342824
Abell2744,PL1_PM1_PS2,7.242271774384888e-05,3.628362668908536e-05,3.4125912895415765e-05,3.65104757809972e-05,3.4967130096971965e-05,0.515322595534658,0.4846774044653421,0.5107960085195083,0.4892039914804916
Abell2744,PL1_PM2_PS1,5.051301530722883e-05,2.615793038052564e-05,2.2925108985978203e-05,2.6319234505339246e-05,2.3533402274822414e-05,0.5329321639029717,0.4670678360970283,0.5279406708495851,0.4720593291504149
Abell2744,PL1_PM2_PS2,4.490088551963942e-05,2.3955458078263903e-05,1.9412694762919775e-05,2.4114381602504834e-05,2.0140414415175103e-05,0.5523744155299852,0.4476255844700148,0.5448987177089475,0.45510128229105246
Abell2744,PL2_PM1_PS1,7.382479529507933e-05,3.583404283076985e-05,3.595402453846419e-05,3.6264819526248964e-05,3.6704706978012414e-05,0.49916433390609877,0.5008356660939013,0.4969858139908736,0.5030141860091265
Abell2744,PL2_PM1_PS2,7.30963414616074e-05,3.4635248864222764e-05,3.624229278560832e-05,3.459816216852616e-05,3.754436619671551e-05,0.48866323602668726,0.5113367639733127,0.47958067110378105,0.5204193288962189
Abell2744,PL2_PM2_PS1,4.9217321042780996e-05,2.4484311102392194e-05,2.3321668192069996e-05,2.480780620964389e-05,2.3812356930405007e-05,0.5121600156244145,0.4878399843755854,0.5102370006078705,0.4897629993921296
Abell2744,PL2_PM2_PS2,3.6291894172835454e-05,1.79947957098642e-05,1.6987129047651978e-05,1.8106192560810165e-05,1.764542415987188e-05,0.5144026760848217,0.4855973239151783,0.5064440218821172,0.4935559781178828
Abell2744,PL3_PM1_PS1,7.380538269048827e-05,3.57885863397648e-05,3.597527445893948e-05,3.6248127684978716e-05,3.6712357115699334e-05,0.49869928877085967,0.5013007112291403,0.4968186242732018,0.5031813757267983
Abell2744,PL3_PM1_PS2,7.301590961906614e-05,3.4519097275121686e-05,3.6308235961820794e-05,3.4463510009343485e-05,3.761188787573195e-05,0.487369715864398,0.5126302841356021,0.4781591364128952,0.5218408635871048
Abell2744,PL3_PM2_PS1,4.927356620043826e-05,2.4428781237145207e-05,2.3425954538733707e-05,2.4757604933068858e-05,2.3922003572285628e-05,0.5104778208692667,0.48952217913073326,0.5085826631154122,0.4914173368845877
Abell2744,PL3_PM2_PS2,3.587672233523872e-05,1.77269550565293e-05,1.6842335804371423e-05,1.7835080669409894e-05,1.7510534276486205e-05,0.512794871258965,0.487205128741035,0.5045910418225921,0.49540895817740793
Abell2744,PL4_PM1_PS1,7.389156421869896e-05,3.580445659675516e-05,3.612546131354194e-05,3.617529234510161e-05,3.6842991278163284e-05,0.4977686286449882,0.502231371355012,0.4954278647762617,0.5045721352237382
Abell2744,PL4_PM1_PS2,7.311392969327034e-05,3.4851752131095885e-05,3.60585291546158e-05,3.486901034964312e-05,3.728131582111679e-05,0.49149081768088343,0.5085091823191165,0.483282781939444,0.516717218060556
Abell2744,PL4_PM2_PS1,4.9284570482986566e-05,2.465504099936389e-05,2.32499354073438e-05,2.494357154402576e-05,2.372784093393712e-05,0.5146655493584936,0.4853344506415064,0.5124891650785673,0.4875108349214327
Abell2744,PL4_PM2_PS2,3.762877464817333e-05,1.8868135385618646e-05,1.7464839975173768e-05,1.897390459946605e-05,1.809208008759926e-05,0.5193115949975184,0.48068840500248156,0.5118953336773826,0.48810466632261745
Abell2744,PL5_PM1_PS1,7.365639983538254e-05,3.574770837089623e-05,3.577565682374685e-05,3.626513508544421e-05,3.652713097165309e-05,0.49980462012116905,0.5001953798788309,0.49820038652180876,0.5017996134781914
Abell2744,PL5_PM1_PS2,7.258437300324902e-05,3.54039357884119e-05,3.500665165833283e-05,3.535945815314614e-05,3.626020061218086e-05,0.5028211959627489,0.49717880403725107,0.49371162558881954,0.5062883744111805
Abell2744,PL5_PM2_PS1,4.951504485380719e-05,2.4514403867178344e-05,2.351207381448767e-05,2.4879217448789196e-05,2.4026946739771733e-05,0.5104351818109005,0.4895648181890996,0.5087133260516147,0.4912866739483853
Abell2744,PL5_PM2_PS2,3.682304548167863e-05,1.8674553985552738e-05,1.683017980121817e-05,1.878462318628034e-05,1.7497608484152257e-05,0.5259736377043586,0.47402636229564155,0.5177361568304094,0.4822638431695906
Abell2744,PL6_PM1_PS1,7.382479529507933e-05,3.583404283076985e-05,3.595402453846419e-05,3.6264819526248964e-05,3.6704706978012414e-05,0.49916433390609877,0.5008356660939013,0.4969858139908736,0.5030141860091265
Abell2744,PL6_PM1_PS2,7.30963414616074e-05,3.4635248864222764e-05,3.624229278560832e-05,3.459816216852616e-05,3.754436619671551e-05,0.48866323602668726,0.5113367639733127,0.47958067110378105,0.5204193288962189
Abell2744,PL6_PM2_PS1,4.9217321042780996e-05,2.4484311102392194e-05,2.3321668192069996e-05,2.480780620964389e-05,2.3812356930405007e-05,0.5121600156244145,0.4878399843755854,0.5102370006078705,0.4897629993921296
Abell2744,PL6_PM2_PS2,3.6291894172835454e-05,1.79947957098642e-05,1.6987129047651978e-05,1.8106192560810165e-05,1.764542415987188e-05,0.5144026760848217,0.4855973239151783,0.5064440218821172,0.4935559781178828
MACS0416,PL1_PM1_PS1,6.892398495429964e-05,3.316957977209254e-05,3.3886363560033716e-05,3.339383429317733e-05,3.4670069760443195e-05,0.4946553299206383,0.5053446700793617,0.49062472624064846,0.5093752737593515
MACS0416,PL1_PM1_PS2,7.003664736119585e-05,3.5155004399707484e-05,3.281159156369851e-05,3.535060678232597e-05,3.3741360773967274e-05,0.5172394453686536,0.48276055463134643,0.5116456808604238,0.48835431913957617
MACS0416,PL1_PM2_PS1,4.999761717334091e-05,2.57815585875634e-05,2.2639183096343267e-05,2.5923997685297847e-05,2.3390595452483844e-05,0.532448650949357,0.46755134905064305,0.5256861313418509,0.47431386865814906
MACS0416,PL1_PM2_PS2,4.482889115577211e-05,2.3842126205463472e-05,1.93705981751984e-05,2.3971993150164977e-05,2.0189095314361966e-05,0.5517385572693274,0.44826144273067253,0.5428306679854786,0.4571693320145213
MACS0416,PL2_PM1_PS1,7.160292315616319e-05,3.418505425071312e-05,3.5301686475882574e-05,3.4626982787800926e-05,3.6080903807220925e-05,0.49196514174148,0.50803485825852,0.4897188199970725,0.5102811800029274
MACS0416,PL2_PM1_PS2,7.07140976630717e-05,3.311494655719769e-05,3.534249928627919e-05,3.3072948650497e-05,3.666671681712666e-05,0.4837303838783684,0.5162696161216316,0.4742344034594054,0.5257655965405946
MACS0416,PL2_PM2_PS1,4.787550520674397e-05,2.3499838065029395e-05,2.2915926870422027e-05,2.3831192809563362e-05,2.34219867071684e-05,0.5062900093903374,0.4937099906096626,0.5043299319387605,0.4956700680612394
MACS0416,PL2_PM2_PS2,3.509214933535632e-05,1.726486061571981e-05,1.6493725197840716e-05,1.7374661162276366e-05,1.7164650969706484e-05,0.5114213228915729,0.48857867710842706,0.5030401617693975,0.4969598382306026
MACS0416,PL3_PM1_PS1,7.172984964866043e-05,3.434823595442941e-05,3.525053113445444e-05,3.480658169753798e-05,3.602721331756714e-05,0.49351787957053384,0.5064821204294663,0.49138383295876736,0.5086161670412327
MACS0416,PL3_PM1_PS2,7.070546155602508e-05,3.317530626767159e-05,3.528206058560674e-05,3.312467178601705e-05,3.660565635325995e-05,0.48461265445360713,0.5153873455463929,0.47503966595216573,0.5249603340478342
MACS0416,PL3_PM2_PS1,4.796408782192027e-05,2.3535703780465503e-05,2.2957626628009468e-05,2.3875026429350588e-05,2.3465497686007237e-05,0.5062167750446918,0.4937832249553082,0.5043253507538851,0.495674649246115
MACS0416,PL3_PM2_PS2,3.4809827085116187e-05,1.7108755613472514e-05,1.6364009878043866e-05,1.722199294489184e-05,1.703821757903501e-05,0.5111246520042899,0.4888753479957101,0.5026820524895561,0.4973179475104439
MACS0416,PL4_PM1_PS1,7.16444844557653e-05,3.406355851908179e-05,3.552797973578999e-05,3.443366039915794e-05,3.6310346255893644e-05,0.4894784534626544,0.5105215465373456,0.48673607881805137,0.5132639211819485
MACS0416,PL4_PM1_PS2,7.067158848010434e-05,3.320591704875817e-05,3.522319583474843e-05,3.317996964312012e-05,3.650496542841468e-05,0.485260083749555,0.5147399162504449,0.47614264990071886,0.523857350099281
MACS0416,PL4_PM2_PS1,4.778300531077449e-05,2.3485017758164916e-05,2.2854408130674827e-05,2.3781730176204142e-05,2.33667653162013e-05,0.5068042451475642,0.4931957548524359,0.5044006161349271,0.49559938386507285
MACS0416,PL4_PM2_PS2,3.613745038999648e-05,1.7915820722055123e-05,1.689523328750097e-05,1.801586792371098e-05,1.7550304383706967e-05,0.5146589562366308,0.4853410437633691,0.5065450329596883,0.4934549670403116
MACS0416,PL5_PM1_PS1,7.17382159232952e-05,3.455836080365264e-05,3.500451315590528e-05,3.5065698029466196e-05,3.580334829673196e-05,0.4967931719403081,0.5032068280596919,0.49479568086841125,0.5052043191315887
MACS0416,PL5_PM1_PS2,7.039565829246812e-05,3.393845311893422e-05,3.4245653857432426e-05,3.388175606753473e-05,3.5545951764837135e-05,0.497747270206203,0.502252729793797,0.4880149024844627,0.5119850975155371
MACS0416,PL5_PM2_PS1,4.825531441992905e-05,2.3671346127465208e-05,2.306545527717668e-05,2.4027637264056377e-05,2.3615155991401162e-05,0.5064819460476424,0.49351805395235765,0.5043288947233164,0.49567110527668357
MACS0416,PL5_PM2_PS2,3.5591100055882184e-05,1.782260686419833e-05,1.6426662816072466e-05,1.7927615412761963e-05,1.7118278862082346e-05,0.520379179777518,0.4796208202224821,0.5115468097964981,0.4884531902035019
