cluster_id,candidate_id,rx_proj_rms,ry_proj_rms,rx_central_rms,ry_central_rms
Abell2744,PL1_PM1_PS1,9.871558194936801e-05,9.800023215142417e-05,2.8718063133125327e-05,2.9120769911082895e-05
Abell2744,PL1_PM1_PS2,0.00010141621624214083,9.939140007341852e-05,2.98490173931957e-05,2.936041658967716e-05
Abell2744,PL1_PM2_PS1,8.738552341951845e-05,8.59049395544125e-05,2.0535404016953447e-05,2.086995850199248e-05
Abell2744,PL1_PM2_PS2,8.085822976588849e-05,7.974964001911404e-05,1.7926521114067504e-05,1.7870478008996324e-05
Abell2744,PL2_PM1_PS1,9.869334825624255e-05,9.728606699110548e-05,2.856203948952664e-05,2.8920470747565038e-05
Abell2744,PL2_PM1_PS2,9.878217174544896e-05,9.717332947817613e-05,2.9373193478767053e-05,2.9335522298913357e-05
Abell2744,PL2_PM2_PS1,8.28983738143911e-05,8.115678098525277e-05,2.286372474604319e-05,2.2979943543518255e-05
Abell2744,PL2_PM2_PS2,7.157643615549012e-05,7.025417784492554e-05,1.9246583481624838e-05,1.9040098876924444e-05
Abell2744,PL3_PM1_PS1,9.870601948773219e-05,9.716533452372592e-05,2.900117943721498e-05,2.9004659487462655e-05
Abell2744,PL3_PM1_PS2,9.907374242288008e-05,9.764946642460204e-05,2.952152324205694e-05,2.934353814642586e-05
Abell2744,PL3_PM2_PS1,8.254510124948628e-05,8.094502088143626e-05,2.331110511975887e-05,2.3415966013248728e-05
Abell2744,PL3_PM2_PS2,7.146025939933264e-05,7.01207218758092e-05,1.971727182095761e-05,1.9389419721694097e-05
Abell2744,PL4_PM1_PS1,9.913250772640051e-05,9.78384488119357e-05,2.8227690862578692e-05,2.8562918179447264e-05
Abell2744,PL4_PM1_PS2,9.851627046998974e-05,9.676126157369283e-05,2.9244222520056712e-05,2.9201531960419583e-05
Abell2744,PL4_PM2_PS1,8.387225020536093e-05,8.213155363483478e-05,2.2104329307316957e-05,2.2268430830381195e-05
Abell2744,PL4_PM2_PS2,7.27203173254884e-05,7.157322274392605e-05,1.8661282779491625e-05,1.8641268759441846e-05
Abell2744,PL5_PM1_PS1,9.88878320612734e-05,9.816607296885483e-05,2.9764583112340407e-05,2.974704192662615e-05
Abell2744,PL5_PM1_PS2,0.00010174762148712558,0.0001003058832459053,3.0220561024577423e-05,2.9745806305239722e-05
