cluster_id,candidate_id,magnitude_formulation,pair_symmetrization,response_energy,f_irr_3d,f_z
Abell2744,PL1_PM1_PS1,PM1,PS1,7.205809220831177e-05,0.4920425448118293,0.2277100070194333
Abell2744,PL1_PM1_PS2,PM1,PS2,7.242271774384888e-05,0.515322595534658,0.2143362928305872
Abell2744,PL1_PM2_PS1,PM2,PS1,5.051301530722883e-05,0.5329321639029717,0.23919303168213366
Abell2744,PL1_PM2_PS2,PM2,PS2,4.490088551963942e-05,0.5523744155299852,0.22731957787599813
Abell2744,PL2_PM1_PS1,PM1,PS1,7.382479529507933e-05,0.49916433390609877,0.2862604199704482
Abell2744,PL2_PM1_PS2,PM1,PS2,7.30963414616074e-05,0.48866323602668726,0.27367841456684633
Abell2744,PL2_PM2_PS1,PM2,PS1,4.9217321042780996e-05,0.5121600156244145,0.27345544245934966
Abell2744,PL2_PM2_PS2,PM2,PS2,3.6291894172835454e-05,0.5144026760848217,0.251960608239686
Abell2744,PL3_PM1_PS1,PM1,PS1,7.380538269048827e-05,0.49869928877085967,0.2908798948068815
Abell2744,PL3_PM1_PS2,PM1,PS2,7.301590961906614e-05,0.487369715864398,0.2776567102042041
Abell2744,PL3_PM2_PS1,PM2,PS1,4.927356620043826e-05,0.5104778208692667,0.27829848120710526
Abell2744,PL3_PM2_PS2,PM2,PS2,3.587672233523872e-05,0.512794871258965,0.25667139935327904
Abell2744,PL4_PM1_PS1,PM1,PS1,7.389156421869896e-05,0.4977686286449882,0.2764096553127217
Abell2744,PL4_PM1_PS2,PM1,PS2,7.311392969327034e-05,0.49149081768088343,0.2646385611691103
Abell2744,PL4_PM2_PS1,PM2,PS1,4.9284570482986566e-05,0.5146655493584936,0.26219023582246387
Abell2744,PL4_PM2_PS2,PM2,PS2,3.762877464817333e-05,0.5193115949975184,0.24208584464757135
Abell2744,PL5_PM1_PS1,PM1,PS1,7.365639983538254e-05,0.49980462012116905,0.2986933561216381
Abell2744,PL5_PM1_PS2,PM1,PS2,7.258437300324902e-05,0.5028211959627489,0.2869582118460888
