cluster_id,candidate_id,magnitude_formulation,pair_symmetrization,response_energy,f_irr_3d,f_z
Abell2744,PL5_PM2_PS1,PM2,PS1,4.951504485380719e-05,0.5104351818109005,0.2869717068892966
Abell2744,PL5_PM2_PS2,PM2,PS2,3.682304548167863e-05,0.5259736377043586,0.2707951891485638
Abell2744,PL6_PM1_PS1,PM1,PS1,7.382479529507933e-05,0.49916433390609877,0.2862604199704482
Abell2744,PL6_PM1_PS2,PM1,PS2,7.30963414616074e-05,0.48866323602668726,0.27367841456684633
Abell2744,PL6_PM2_PS1,PM2,PS1,4.9217321042780996e-05,0.5121600156244145,0.27345544245934966
Abell2744,PL6_PM2_PS2,PM2,PS2,3.6291894172835454e-05,0.5144026760848217,0.251960608239686
MACS0416,PL1_PM1_PS1,PM1,PS1,6.892398495429964e-05,0.4946553299206383,0.23090359045088613
MACS0416,PL1_PM1_PS2,PM1,PS2,7.003664736119585e-05,0.5172394453686536,0.2216330115211679
MACS0416,PL1_PM2_PS1,PM2,PS1,4.999761717334091e-05,0.532448650949357,0.2440592124230949
MACS0416,PL1_PM2_PS2,PM2,PS2,4.482889115577211e-05,0.5517385572693274,0.23793086212283865
MACS0416,PL2_PM1_PS1,PM1,PS1,7.160292315616319e-05,0.49196514174148,0.291828173667245
MACS0416,PL2_PM1_PS2,PM1,PS2,7.07140976630717e-05,0.4837303838783684,0.28049825500866926
MACS0416,PL2_PM2_PS1,PM2,PS1,4.787550520674397e-05,0.5062900093903374,0.2795685569332274
MACS0416,PL2_PM2_PS2,PM2,PS2,3.509214933535632e-05,0.5114213228915729,0.2595495967295438
MACS0416,PL3_PM1_PS1,PM1,PS1,7.172984964866043e-05,0.49351787957053384,0.2951143509652348
MACS0416,PL3_PM1_PS2,PM1,PS2,7.070546155602508e-05,0.48461265445360713,0.2840519370704384
MACS0416,PL3_PM2_PS1,PM2,PS1,4.796408782192027e-05,0.5062167750446918,0.28343934690965256
MACS0416,PL3_PM2_PS2,PM2,PS2,3.4809827085116187e-05,0.5111246520042899,0.2634329036262366
MACS0416,PL4_PM1_PS1,PM1,PS1,7.16444844557653e-05,0.4894784534626544,0.28212323976117243
MACS0416,PL4_PM1_PS2,PM1,PS2,7.067158848010434e-05,0.485260083749555,0.27328928521084533
MACS0416,PL4_PM2_PS1,PM2,PS1,4.778300531077449e-05,0.5068042451475642,0.26937151786078295
MACS0416,PL4_PM2_PS2,PM2,PS2,3.613745038999648e-05,0.5146589562366308,0.2506684515046408
MACS0416,PL5_PM1_PS1,PM1,PS1,7.17382159232952e-05,0.4967931719403081,0.29797285219305014
MACS0416,PL5_PM1_PS2,PM1,PS2,7.039565829246812e-05,0.497747270206203,0.28824451954416436
MACS0416,PL5_PM2_PS1,PM2,PS1,4.825531441992905e-05,0.5064819460476424,0.2868376774788184
MACS0416,PL5_PM2_PS2,PM2,PS2,3.5591100055882184e-05,0.520379179777518,0.27167128259660256
MACS0416,PL6_PM1_PS1,PM1,PS1,7.160292315616319e-05,0.49196514174148,0.291828173667245
MACS0416,PL6_PM1_PS2,PM1,PS2,7.07140976630717e-05,0.4837303838783684,0.28049825500866926
MACS0416,PL6_PM2_PS1,PM2,PS1,4.787550520674397e-05,0.5062900093903374,0.2795685569332274
MACS0416,PL6_PM2_PS2,PM2,PS2,3.509214933535632e-05,0.5114213228915729,0.2595495967295438
MACS1149,PL1_PM1_PS1,PM1,PS1,6.551536850221202e-05,0.490066316194395,0.22351068171710653
MACS1149,PL1_PM1_PS2,PM1,PS2,6.667714415370117e-05,0.5130057246236769,0.21650068711944226
MACS1149,PL1_PM2_PS1,PM2,PS1,4.8131657652410195e-05,0.530945676223354,0.23817745935520798
MACS1149,PL1_PM2_PS2,PM2,PS2,4.357448097719141e-05,0.5524123777175945,0.23186693507942008
MACS1149,PL2_PM1_PS1,PM1,PS1,6.883833592001863e-05,0.491185048351771,0.29081355898441746
MACS1149,PL2_PM1_PS2,PM1,PS2,6.74300944411016e-05,0.4847617762252337,0.2825255638196574
MACS1149,PL2_PM2_PS1,PM2,PS1,4.612964755091436e-05,0.5015859328345131,0.28115941566855557
MACS1149,PL2_PM2_PS2,PM2,PS2,3.356244552321972e-05,0.5096519472579439,0.2607963595062931
MACS1149,PL3_PM1_PS1,PM1,PS1,6.897409306932194e-05,0.4905867928666433,0.2946780641854943
MACS1149,PL3_PM1_PS2,PM1,PS2,6.749690406691349e-05,0.4844178937543097,0.2850261340470464
MACS1149,PL3_PM2_PS1,PM2,PS1,4.622497884972553e-05,0.5006809557082265,0.285148807139408
MACS1149,PL3_PM2_PS2,PM2,PS2,3.341540521346789e-05,0.5088311931672345,0.2654766717133388
MACS1149,PL4_PM1_PS1,PM1,PS1,6.87956738064567e-05,0.49204046634598325,0.2846445777061848
MACS1149,PL4_PM1_PS2,PM1,PS2,6.720530603221168e-05,0.48766667611583175,0.27667867598664075
MACS1149,PL4_PM2_PS1,PM2,PS1,4.605847097094964e-05,0.5038000296419756,0.2720436216109382
MACS1149,PL4_PM2_PS2,PM2,PS2,3.425451716467595e-05,0.5134848423022301,0.2513427212555503
MACS1149,PL5_PM1_PS1,PM1,PS1,6.857145605884603e-05,0.4906502692959418,0.3004200475686313
MACS1149,PL5_PM1_PS2,PM1,PS2,6.709027516500735e-05,0.4886852237820925,0.2902617394162009
MACS1149,PL5_PM2_PS1,PM2,PS1,4.6168914610426304e-05,0.4992888279429528,0.28912815208673287
MACS1149,PL5_PM2_PS2,PM2,PS2,3.3703845243044e-05,0.5117519975863422,0.27324745827504054
MACS1149,PL6_PM1_PS1,PM1,PS1,6.883833592001863e-05,0.491185048351771,0.29081355898441746
MACS1149,PL6_PM1_PS2,PM1,PS2,6.74300944411016e-05,0.4847617762252337,0.2825255638196574
MACS1149,PL6_PM2_PS1,PM2,PS1,4.612964755091436e-05,0.5015859328345131,0.28115941566855557
MACS1149,PL6_PM2_PS2,PM2,PS2,3.356244552321972e-05,0.5096519472579439,0.2607963595062931
AbellS1063,PL1_PM1_PS1,PM1,PS1,6.690372908828697e-05,0.49085157036744587,0.23489160347291754
AbellS1063,PL1_PM1_PS2,PM1,PS2,6.831660535582503e-05,0.5161704500258545,0.2289106626324399
AbellS1063,PL1_PM2_PS1,PM2,PS1,4.9473044156443644e-05,0.5321270751709207,0.2515419637601037
AbellS1063,PL1_PM2_PS2,PM2,PS2,4.5023575044074145e-05,0.5536304769036643,0.24782134799057073
AbellS1063,PL2_PM1_PS1,PM1,PS1,7.000705207494857e-05,0.4896827567678136,0.2915389568532943
AbellS1063,PL2_PM1_PS2,PM1,PS2,6.890571847699081e-05,0.48259940121600853,0.28217988268915517
AbellS1063,PL2_PM2_PS1,PM2,PS1,4.668887656765489e-05,0.5022678817149686,0.28095030288672224
AbellS1063,PL2_PM2_PS2,PM2,PS2,3.423518563242531e-05,0.511156483375369,0.26043011473613037
AbellS1063,PL3_PM1_PS1,PM1,PS1,6.997162344644768e-05,0.48985936396493546,0.29533893840064734
AbellS1063,PL3_PM1_PS2,PM1,PS2,6.894271876705868e-05,0.4822965404445006,0.28573119718848883
AbellS1063,PL3_PM2_PS1,PM2,PS1,4.676141034039981e-05,0.5014393590523486,0.2854531726961127
AbellS1063,PL3_PM2_PS2,PM2,PS2,3.40242344311885e-05,0.5103407580166486,0.26474406929411437
AbellS1063,PL4_PM1_PS1,PM1,PS1,6.974605418875154e-05,0.4883379304979132,0.28318875148111494
AbellS1063,PL4_PM1_PS2,PM1,PS2,6.86771889498829e-05,0.48550684685165535,0.2764459250213051
AbellS1063,PL4_PM2_PS1,PM2,PS1,4.6510152706730365e-05,0.5034337364972563,0.2722932667923452
AbellS1063,PL4_PM2_PS2,PM2,PS2,3.502355321045386e-05,0.5148929481462671,0.25300351326426435
AbellS1063,PL5_PM1_PS1,PM1,PS1,6.931507374319162e-05,0.4926659612246531,0.3002210006185427
AbellS1063,PL5_PM1_PS2,PM1,PS2,6.802414849364031e-05,0.4927381093195196,0.29100431610954647
AbellS1063,PL5_PM2_PS1,PM2,PS1,4.669669239689164e-05,0.5025255426462335,0.28914201832674313
AbellS1063,PL5_PM2_PS2,PM2,PS2,3.4323367424138745e-05,0.5165972518497144,0.2742296151328158
AbellS1063,PL6_PM1_PS1,PM1,PS1,7.000705207494857e-05,0.4896827567678136,0.2915389568532943
AbellS1063,PL6_PM1_PS2,PM1,PS2,6.890571847699081e-05,0.48259940121600853,0.28217988268915517
AbellS1063,PL6_PM2_PS1,PM2,PS1,4.668887656765489e-05,0.5022678817149686,0.28095030288672224
AbellS1063,PL6_PM2_PS2,PM2,PS2,3.423518563242531e-05,0.511156483375369,0.26043011473613037
Abell370,PL1_PM1_PS1,PM1,PS1,7.224901893095192e-05,0.495401538133966,0.2215893296691096
Abell370,PL1_PM1_PS2,PM1,PS2,7.310396672367269e-05,0.5178973458879766,0.21320143497521235
Abell370,PL1_PM2_PS1,PM2,PS1,5.0870239852263084e-05,0.536526879532374,0.23899618923216068
Abell370,PL1_PM2_PS2,PM2,PS2,4.521557312255807e-05,0.5553015634925794,0.22810706653185656
Abell370,PL2_PM1_PS1,PM1,PS1,7.458044863927689e-05,0.5022003725775684,0.2845237456515226
Abell370,PL2_PM1_PS2,PM1,PS2,7.40849331008217e-05,0.4897609458907011,0.27159178940797285
Abell370,PL2_PM2_PS1,PM2,PS1,4.971647102033615e-05,0.5169106746679129,0.27100504139118264
Abell370,PL2_PM2_PS2,PM2,PS2,3.668032555629902e-05,0.5181278958541903,0.249470941497854
Abell370,PL3_PM1_PS1,PM1,PS1,7.448193992404866e-05,0.5031177619081059,0.2902131759272423
Abell370,PL3_PM1_PS2,PM1,PS2,7.39966247125314e-05,0.48979683401116025,0.2766805016880825
Abell370,PL3_PM2_PS1,PM2,PS1,4.981149195714908e-05,0.5156712705658715,0.27733665320820516
Abell370,PL3_PM2_PS2,PM2,PS2,3.6207724392157296e-05,0.5170303646980648,0.2554115399881205
Abell370,PL4_PM1_PS1,PM1,PS1,7.452771335893224e-05,0.500619109728807,0.27293143514973556
Abell370,PL4_PM1_PS2,PM1,PS2,7.402675662974878e-05,0.49238987956637764,0.2609007278225877
Abell370,PL4_PM2_PS1,PM2,PS1,4.963746752205803e-05,0.5192398553962181,0.2599588608447704
Abell370,PL4_PM2_PS2,PM2,PS2,3.8056028357880486e-05,0.5237862666839592,0.2396464419797565
Abell370,PL5_PM1_PS1,PM1,PS1,7.404769864263908e-05,0.5025413768012287,0.2989658308518068
Abell370,PL5_PM1_PS2,PM1,PS2,7.3167554475091e-05,0.5048155177352606,0.29026967110727875
Abell370,PL5_PM2_PS1,PM2,PS1,4.977347002554763e-05,0.513557930567161,0.28862449540185037
Abell370,PL5_PM2_PS2,PM2,PS2,3.705466830157862e-05,0.5283978619274262,0.2754577510812839
Abell370,PL6_PM1_PS1,PM1,PS1,7.458044863927689e-05,0.5022003725775684,0.2845237456515226
Abell370,PL6_PM1_PS2,PM1,PS2,7.40849331008217e-05,0.4897609458907011,0.27159178940797285
Abell370,PL6_PM2_PS1,PM2,PS1,4.971647102033615e-05,0.5169106746679129,0.27100504139118264
Abell370,PL6_PM2_PS2,PM2,PS2,3.668032555629902e-05,0.5181278958541903,0.249470941497854
