cluster_id,candidate_id,eps_H_padded,eps_H_cropped
Abell2744,PL1_PM1_PS1,-0.024242166811652404,-0.012040830211302736
Abell2744,PL1_PM1_PS2,-0.027797605807450436,-0.013049936474663558
Abell2744,PL1_PM2_PS1,-0.028309059200438278,-0.013073433115220473
Abell2744,PL1_PM2_PS2,-0.03413591203641934,-0.014389237416640348
Abell2744,PL2_PM1_PS1,-0.027588670144013967,-0.01158511564304967
Abell2744,PL2_PM1_PS2,-0.03035445779378296,-0.013048711841025577
Abell2744,PL2_PM2_PS1,-0.028675712501540405,-0.012133084249202385
Abell2744,PL2_PM2_PS2,-0.03609537185027368,-0.014887000650349412
Abell2744,PL3_PM1_PS1,-0.027660880783524286,-0.01144764594410962
Abell2744,PL3_PM1_PS2,-0.02997396585951959,-0.012880915116958446
Abell2744,PL3_PM2_PS1,-0.02879496115194379,-0.012054286727849806
Abell2744,PL3_PM2_PS2,-0.036442333335835804,-0.014803676444571971
Abell2744,PL4_PM1_PS1,-0.02654763543231973,-0.011818407211537494
Abell2744,PL4_PM1_PS2,-0.030139925685891297,-0.013179479294205241
Abell2744,PL4_PM2_PS1,-0.027992413503027714,-0.012441175788178027
Abell2744,PL4_PM2_PS2,-0.03443639341159947,-0.014956372254214286
Abell2744,PL5_PM1_PS1,-0.02895925738301975,-0.011731957850458689
Abell2744,PL5_PM1_PS2,-0.02994839614316143,-0.013290935748371589
Abell2744,PL5_PM2_PS1,-0.030062926864676435,-0.012296882029370555
Abell2744,PL5_PM2_PS2,-0.03580126732221672,-0.014686830059048592
Abell2744,PL6_PM1_PS1,-0.027588670144013967,-0.01158511564304967
Abell2744,PL6_PM1_PS2,-0.03035445779378296,-0.013048711841025577
Abell2744,PL6_PM2_PS1,-0.028675712501540405,-0.012133084249202385
Abell2744,PL6_PM2_PS2,-0.03609537185027368,-0.014887000650349412
MACS0416,PL1_PM1_PS1,-0.027102925395448375,-0.012478687952378205
MACS0416,PL1_PM1_PS2,-0.029556688901941654,-0.013488364170698595
MACS0416,PL1_PM2_PS1,-0.03153901282869628,-0.013661131753363134
MACS0416,PL1_PM2_PS2,-0.03605190165186912,-0.014896703309583965
MACS0416,PL2_PM1_PS1,-0.02955441393017133,-0.012500000302910713
MACS0416,PL2_PM1_PS2,-0.03191233281865494,-0.013779885873547653
MACS0416,PL2_PM2_PS1,-0.030490336655223913,-0.012998832854604375
MACS0416,PL2_PM2_PS2,-0.038001762418473146,-0.015753871274464024
MACS0416,PL3_PM1_PS1,-0.029709842836905812,-0.012492074609723505
MACS0416,PL3_PM1_PS2,-0.03179520581964413,-0.013791486474851856
MACS0416,PL3_PM2_PS1,-0.030663721134568188,-0.013000637245048852
MACS0416,PL3_PM2_PS2,-0.03841046352601678,-0.015789120694148406
MACS0416,PL4_PM1_PS1,-0.028654630101512674,-0.012568696774832518
MACS0416,PL4_PM1_PS2,-0.03173093522907073,-0.013961104169142962
MACS0416,PL4_PM2_PS1,-0.03021114751041493,-0.013278985158892321
MACS0416,PL4_PM2_PS2,-0.036704204810407925,-0.015808477809399514
MACS0416,PL5_PM1_PS1,-0.03032333513929636,-0.012115851863759653
MACS0416,PL5_PM1_PS2,-0.03141601868276157,-0.01375014430683743
MACS0416,PL5_PM2_PS1,-0.03146830631073511,-0.012693341072057003
MACS0416,PL5_PM2_PS2,-0.03770128974672207,-0.015318598755920418
MACS0416,PL6_PM1_PS1,-0.02955441393017133,-0.012500000302910713
MACS0416,PL6_PM1_PS2,-0.03191233281865494,-0.013779885873547653
MACS0416,PL6_PM2_PS1,-0.030490336655223913,-0.012998832854604375
MACS0416,PL6_PM2_PS2,-0.038001762418473146,-0.015753871274464024
MACS1149,PL1_PM1_PS1,-0.02665525627269322,-0.013334938644800159
MACS1149,PL1_PM1_PS2,-0.029117924689114925,-0.01444049111069873
MACS1149,PL1_PM2_PS1,-0.03182662472470916,-0.014069830647122056
MACS1149,PL1_PM2_PS2,-0.03470403758545118,-0.015254502212346125
MACS1149,PL2_PM1_PS1,-0.031166024702373868,-0.012979505297108023
MACS1149,PL2_PM1_PS2,-0.03352014621054374,-0.014626029280686638
MACS1149,PL2_PM2_PS1,-0.03213984396775189,-0.013488760537507395
MACS1149,PL2_PM2_PS2,-0.03995915965046514,-0.016385245023618423
MACS1149,PL3_PM1_PS1,-0.031316916404359546,-0.01293189891549664
