cluster_id,candidate_id,pair_symmetrization,magnitude_formulation,longitudinal_reference,response_energy,f_irr_3d,antisymmetry_error
MACS1149,PL2_PM2_PS2,PS2,PM2,PL2,3.356244552321972e-05,0.5096519472579439,0.0
MACS1149,PL3_PM1_PS1,PS1,PM1,PL3,6.897409306932194e-05,0.4905867928666433,0.000225097461555914
MACS1149,PL3_PM1_PS2,PS2,PM1,PL3,6.749690406691349e-05,0.4844178937543097,0.0
MACS1149,PL3_PM2_PS1,PS1,PM2,PL3,4.622497884972553e-05,0.5006809557082265,0.0001524387347831831
MACS1149,PL3_PM2_PS2,PS2,PM2,PL3,3.341540521346789e-05,0.5088311931672345,0.0
MACS1149,PL4_PM1_PS1,PS1,PM1,PL4,6.87956738064567e-05,0.49204046634598325,0.0002399407011867769
MACS1149,PL4_PM1_PS2,PS2,PM1,PL4,6.720530603221168e-05,0.48766667611583175,0.0
MACS1149,PL4_PM2_PS1,PS1,PM2,PL4,4.605847097094964e-05,0.5038000296419756,0.00015753454408454546
MACS1149,PL4_PM2_PS2,PS2,PM2,PL4,3.425451716467595e-05,0.5134848423022301,0.0
MACS1149,PL5_PM1_PS1,PS1,PM1,PL5,6.857145605884603e-05,0.4906502692959418,0.00025477012553121214
MACS1149,PL5_PM1_PS2,PS2,PM1,PL5,6.709027516500735e-05,0.4886852237820925,0.0
MACS1149,PL5_PM2_PS1,PS1,PM2,PL5,4.6168914610426304e-05,0.4992888279429528,0.00011498172424164288
MACS1149,PL5_PM2_PS2,PS2,PM2,PL5,3.3703845243044e-05,0.5117519975863422,0.0
MACS1149,PL6_PM1_PS1,PS1,PM1,PL6,6.883833592001863e-05,0.491185048351771,0.00023467618246000247
MACS1149,PL6_PM1_PS2,PS2,PM1,PL6,6.74300944411016e-05,0.4847617762252337,0.0
MACS1149,PL6_PM2_PS1,PS1,PM2,PL6,4.612964755091436e-05,0.5015859328345131,0.0001578335763860387
MACS1149,PL6_PM2_PS2,PS2,PM2,PL6,3.356244552321972e-05,0.5096519472579439,0.0
AbellS1063,PL1_PM1_PS1,PS1,PM1,PL1,6.690372908828697e-05,0.49085157036744587,0.00024732379129591093
AbellS1063,PL1_PM1_PS2,PS2,PM1,PL1,6.831660535582503e-05,0.5161704500258545,0.0
AbellS1063,PL1_PM2_PS1,PS1,PM2,PL1,4.9473044156443644e-05,0.5321270751709207,7.75351010130242e-05
AbellS1063,PL1_PM2_PS2,PS2,PM2,PL1,4.5023575044074145e-05,0.5536304769036643,0.0
AbellS1063,PL2_PM1_PS1,PS1,PM1,PL2,7.000705207494857e-05,0.4896827567678136,0.00019627574100995672
AbellS1063,PL2_PM1_PS2,PS2,PM1,PL2,6.890571847699081e-05,0.48259940121600853,0.0
AbellS1063,PL2_PM2_PS1,PS1,PM2,PL2,4.668887656765489e-05,0.5022678817149686,8.021460436804678e-05
AbellS1063,PL2_PM2_PS2,PS2,PM2,PL2,3.423518563242531e-05,0.511156483375369,0.0
AbellS1063,PL3_PM1_PS1,PS1,PM1,PL3,6.997162344644768e-05,0.48985936396493546,0.0001874635576999696
AbellS1063,PL3_PM1_PS2,PS2,PM1,PL3,6.894271876705868e-05,0.4822965404445006,0.0
AbellS1063,PL3_PM2_PS1,PS1,PM2,PL3,4.676141034039981e-05,0.5014393590523486,8.520490992930521e-05
AbellS1063,PL3_PM2_PS2,PS2,PM2,PL3,3.40242344311885e-05,0.5103407580166486,0.0
AbellS1063,PL4_PM1_PS1,PS1,PM1,PL4,6.974605418875154e-05,0.4883379304979132,0.00020889919639658467
AbellS1063,PL4_PM1_PS2,PS2,PM1,PL4,6.86771889498829e-05,0.48550684685165535,0.0
AbellS1063,PL4_PM2_PS1,PS1,PM2,PL4,4.6510152706730365e-05,0.5034337364972563,7.424434668234786e-05
AbellS1063,PL4_PM2_PS2,PS2,PM2,PL4,3.502355321045386e-05,0.5148929481462671,0.0
AbellS1063,PL5_PM1_PS1,PS1,PM1,PL5,6.931507374319162e-05,0.4926659612246531,0.00018457578996434974
