cluster_id,control,f_irr_3d,f_sol_3d,response_energy,pearson_kappa_los_vs_gr
Abell2744,WR1,0.03928774890056228,0.9385929325675034,38.361262213368455,-0.008659839195716019
Abell2744,WR2,0.23500559351502898,0.7912601138390088,0.27738202828058994,-0.00932805746550323
Abell2744,WR3,0.1892066012561069,0.8301772660622854,0.26761504152558147,-0.008366581347033848
Abell2744,WR4,0.09263934624464631,0.868198216053005,0.195943642766737,-0.008035101745712196
Abell2744,WR5,0.20997644223388973,0.8032411124983622,0.26761504152558147,-0.008366581347033868
Abell2744,WR6,0.2181280257841086,0.7596559367654641,0.26761504152558147,-0.008366581347033868
Abell2744,WR7,0.3222489995255512,0.6590834633189279,0.00015270959821024052,0.014715379060197875
Abell2744,WR8,0.8455987576030058,0.16210225317354685,5.015387751164116e-05,0.006803131713207621
Abell2744,WR9,0.8373241542570075,0.20609679221078595,3.12819592237882e-05,0.0003115511932778601
Abell2744,WR10,0.0,0.0,0.0,nan
MACS0416,WR1,0.04463709365368801,0.9318442016300851,34.585964249970694,0.010404897858410091
MACS0416,WR2,0.2273000965582624,0.796817700004567,0.2507111238547505,-0.003572562695356187
MACS0416,WR3,0.18810657112874607,0.8271126980903133,0.24159709569841817,-0.0008319765214726515
MACS0416,WR4,0.0958326826892365,0.8660269003161901,0.18346645906742257,-0.0021633617524679885
MACS0416,WR5,0.20650479957563106,0.803546913005169,0.24159709569841817,-0.0008319765214726515
MACS0416,WR6,0.21308691549358735,0.7681926683390594,0.2415970956984182,-0.0008319765214726515
MACS0416,WR7,0.32126434685075494,0.6597301180515774,0.0001497360989050545,0.03295951126027928
MACS0416,WR8,0.8334971526509141,0.175574834770507,4.6372006759828966e-05,0.005972357996990779
MACS0416,WR9,0.8245390910649288,0.22827924393661594,2.717109903103246e-05,0.004946979185354548
MACS0416,WR10,0.0,0.0,0.0,nan
MACS1149,WR1,0.04357992632383174,0.9417157210300988,15.473276159911357,-0.002708516186127799
MACS1149,WR2,0.21566724401732595,0.8001651652915246,0.20691747341307482,-0.01135935243346592
MACS1149,WR3,0.17340853574891876,0.8301760731685952,0.19604674497238656,-0.009533348163737103
MACS1149,WR4,0.09625695730287204,0.8639472968451262,0.16523922184783438,-0.006276089100457357
MACS1149,WR5,0.1932094706458791,0.8034700941756135,0.19604674497238656,-0.009533348163737103
MACS1149,WR6,0.20215593896369247,0.7801559353211673,0.19604674497238656,-0.009533348163737103
MACS1149,WR7,0.32184456110143406,0.6597942964829496,0.00014491493065126948,0.0616854278983363
MACS1149,WR8,0.7938537819592476,0.2008352361892477,3.7097658513294886e-05,-0.013776859728719617
MACS1149,WR9,0.7425386781301734,0.3035056355701968,1.7948986253342197e-05,-0.0009362299594040809
MACS1149,WR10,0.0,0.0,0.0,nan
AbellS1063,WR1,0.03264590384922068,0.9538059172373966,22.736758359371336,-0.01065563209832206
AbellS1063,WR2,0.2256013150677167,0.7977803176768333,0.21406147144938137,-0.0019018127940980524
AbellS1063,WR3,0.17970362172243906,0.8323851925146202,0.20334510154570332,-0.002382165806889284
AbellS1063,WR4,0.09445938507763711,0.8684880428053725,0.1605839214765032,-0.014779510508403199
AbellS1063,WR5,0.19756319501177202,0.8084947772466167,0.20334510154570334,-0.002382165806889284
AbellS1063,WR6,0.20735731684373707,0.7786411935257579,0.20334510154570332,-0.002382165806889284
AbellS1063,WR7,0.3194441117106461,0.6617153523957199,0.0001459945650944898,0.0702313560647785
AbellS1063,WR8,0.8156240451059679,0.1880489199214594,4.1016917345945776e-05,-0.003373022437218963
AbellS1063,WR9,0.8054513530294055,0.25057022950626917,2.13418032298867e-05,-0.0008857630908834859
AbellS1063,WR10,0.0,0.0,0.0,nan
Abell370,WR1,0.044540881059821506,0.93454532729728,42.15218188671794,-0.005309145111682825
Abell370,WR2,0.23589853795716098,0.7901857779981023,0.29438617921627286,-0.003378478491175524
Abell370,WR3,0.18947132444484008,0.8308106661410356,0.28376213170487685,-0.0030128603639618967
Abell370,WR4,0.09217325224830222,0.8688231037722881,0.19951937109872228,-0.002624833907274417
Abell370,WR5,0.2098517713997532,0.803806450532864,0.28376213170487685,-0.0030128603639619058
Abell370,WR6,0.21896352600922014,0.7612839743513885,0.28376213170487685,-0.0030128603639619058
Abell370,WR7,0.32176961228835027,0.6592465895420424,0.00015293315511346798,0.022952466564793376
Abell370,WR8,0.8631948956616937,0.15406711964155115,5.4133312344588905e-05,0.0007801787285772687
Abell370,WR9,0.864958275602694,0.18792525583233793,3.532047816292776e-05,0.0032168340408731547
Abell370,WR10,0.0,0.0,0.0,nan
