transform,WR_C1_scalar_only_E_cov,WR_C2_correct_E_cov,passes
RC0,0.0,0.0,True
RC1,1.3968926882867343,0.0,True
RC2,1.0862261649403788,0.0,True
RC3,0.986512203370172,0.0,True
RC4,0.9877844886494725,0.0,True
RC5,1.0855377065432725,0.0,True
RC6,1.3586352312730121,0.0,True
