architecture_number,architecture_code,architecture_name,principle,is_wrong,internal_nodes,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_ssim_gamma,median_rms_kappa,median_rms_gamma,mean_kappa_bias,mean_gamma_bias,median_runtime_seconds,max_conservation_error,median_coherence_gain,median_emergent_memory_index,median_evolution_activity,median_phase_emergence_score,median_orientation_emergence_score,median_internal_circulation_score,median_multiplicative_coupling_score,median_cooperative_response_score,median_spatial_correlation_length,median_temporal_persistence_length,median_relaxation_time,median_effective_interaction_radius,median_wave_propagating,median_wave_standing,median_wave_transverse,median_wave_longitudinal,median_wave_polarization,median_wave_attenuation,median_wave_dispersion,median_wave_coherence_length,median_wave_mode_count,clusters_with_emergent_coherence,clusters_with_emergent_memory,clusters_with_phase_emergence,clusters_with_orientation_emergence,clusters_with_circulation_emergence,clusters_with_multiplicative_emergence,clusters_with_cooperative_emergence,clusters_with_wave_emergence
1,A1,Point Element,"single microscopic node u(x,y); linear relaxation control",False,1,0.09386529605539595,0.0778569915455897,-0.0012334463016429376,0.08761090673818939,0.15288306515319575,0.06710638984473674,-0.0614320852100826,-0.027307619206959715,0.23445378500036895,2.220446049250313e-16,0.0010401197470614417,0.9995928042584475,0.0063804508026511835,0.0,0.0005286619952499892,0.0,0.0,0.0,3.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4,5,0,3,0,0,0,0
2,A2,Two-State Constituent,"two coupled internal nodes u_a, u_b with shared local equilibrium",False,2,0.1085182189763951,0.08333481593286754,-0.0025830413380406245,0.10345610368691012,0.15555966647038258,0.0651050145764233,-0.061583633260604384,-0.023462076867086665,0.23464046407025307,2.220446049250313e-16,0.0018424185336347733,0.9049410612546447,0.009901978339663215,0.0,0.001683376429948506,0.0010000207489556559,0.0,0.0,3.0,1.0,12.0,4.0,0.0,0.0,0.5344649826966628,0.4965571173075426,0.01765199399916695,0.0,0.0,3.0,2.0,4,5,0,3,0,0,0,5
3,A3,Three-State Constituent,"triangular microstructure u_a, u_b, u_c; cycle coupling allows internal circulation",False,3,0.1123085196770819,0.06316259471270703,-0.003174830747484319,0.08608823078558533,0.15660800056582228,0.0645574130388466,-0.062053842149824276,-0.024105135598103723,0.23566713894251734,2.220446049250313e-16,0.001744180992302408,0.905059336186256,0.009613548114334444,0.0,0.0017296564147706711,0.008388920410173096,0.0,0.0,3.0,1.0,12.0,4.0,0.0,0.0,0.13468310506350464,0.9842043635418716,0.0,0.0,0.0,3.0,1.0,4,5,0,3,0,0,0,5
4,A4,Elastic Link Element,node plus elastic connections to neighbours; internal deformation possible,False,1,0.09214553522642761,0.07986150033189039,-0.003910203469230733,0.08960873126738232,0.15391720371949527,0.06826145470675087,-0.061828708206451456,-0.02769251772757287,0.23544293805025518,2.220446049250313e-16,0.0005959296902604716,0.997268588312734,0.004150258439271803,0.0,8.447193844901911e-05,0.0,0.0,0.0,3.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,5,0,2,0,0,0,0
5,A5,Oscillator Cell,"local oscillator z(x,y) = r·exp(iφ); neighbour coupling K·(<z>_n − z)",False,2,0.011704958105183598,-0.04680255283992661,-0.0011427897205525464,0.001765701735149143,0.6916285853471781,0.4193326802831217,-0.05938532269102931,0.32852606403601775,0.2568596610799432,2.220446049250313e-16,-0.0033032510735588254,0.913618514796649,2.1304322092816363,1.0,-0.0008234843099675569,0.0,1.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,4.333333333333333,2.0,2,5,5,1,0,5,0,5
6,A6,Rotational Cell,internal rotational DOF θ evolves by neighbour alignment; orientation emerges,False,1,-0.17432034312618,-0.014617592860438667,0.005291319897110221,0.005253041528851473,1.1948888916160108,0.6470938498809186,-0.088212942789445,0.5207938065882602,0.26394516800064594,2.220446049250313e-16,0.0008335714343195657,0.9911338821516866,1.558876535041138,0.0,-0.0015829639690339806,0.0,0.0,0.0,19.0,3.0,8.0,4.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,14.333333333333334,1.0,3,5,0,2,0,0,0,5
7,A7,Loop Constituent,closed internal loop (3 nodes x->y->z->x); supports circulating internal state without explicit phase,False,3,0.11230851967708164,0.06316259471270695,-0.003174830747484325,0.08608823078558529,0.15660800056582222,0.06455741303884659,-0.062053842149824255,-0.024105135598103726,0.23567817895673215,2.220446049250313e-16,0.001744180992302414,0.9050593361862559,0.009613548114334444,0.0,0.0017296564147706727,0.002925992294316376,0.0,0.0,3.0,1.0,12.0,4.0,0.0,0.0,0.13467656896766478,0.9842044250084364,0.0,0.0,0.0,3.0,1.0,4,5,0,3,0,0,0,5
8,A8,Dual-Layer Constituent,fast internal dynamics u_fast + slow structural u_slow; memory emerges from layer separation,False,2,0.12115382904918567,0.08441324820137557,-0.009893751564078315,0.09290574023055327,0.15843655236978882,0.06745111042144267,-0.06298279942027929,-0.02613016897470189,0.2349998039426282,2.220446049250313e-16,-1.3424455500239685e-05,0.94029725356667,0.009079823291984779,0.0,-0.00025032199405782294,0.0,0.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,0.6748779191872566,0.4972781757712644,0.01386626145679093,0.0,0.0,3.0,2.0,2,5,0,2,0,0,0,5
9,A9,Cooperative Cell,each cell internally computes weighted 9-point neighbourhood response before updating,False,1,0.09368359221710161,0.07738586286165808,-0.001254370839863531,0.08752704636122766,0.15449809404790044,0.06723509800776796,-0.06144034322915468,-0.026312514337037997,0.2367981260176748,2.220446049250313e-16,0.0011365342484567153,0.999553620288419,0.006583448995412053,0.0,0.0006250764966452628,0.0,0.0,0.046475548401329246,3.0,1.0,9.0,4.0,1.604395298179037e-06,0.4973118737518748,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4,5,0,3,0,0,0,3
10,A10,Unified Microcell,"multi-DOF cell: oscillation (r,φ) + neighbour coupling + reversible storage; no explicit S9 variables",False,4,0.044280277936999714,-0.07376351098191265,-0.003800701330108236,-0.001489204837562982,0.703352719369403,0.41523445071384657,-0.07210615190501767,0.322467672571197,0.25544586800970137,2.220446049250313e-16,-0.006401656854774957,0.9065148853143006,1.9425452116440558,1.0,-0.002972648398875091,0.02282007990797116,1.0,0.0,4.0,1.0,2.0,4.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,4.333333333333333,2.0,2,5,5,1,0,5,0,5
