Abell2744__attenuation,Abell2744__coherence_length,Abell2744__dispersion,Abell2744__longitudinal_mode,Abell2744__polarization_like,Abell2744__propagating_disturbance,Abell2744__standing_mode,Abell2744__transverse_mode,Abell2744__wave_mode_count,Abell370__attenuation,Abell370__coherence_length,Abell370__dispersion,Abell370__longitudinal_mode,Abell370__polarization_like,Abell370__propagating_disturbance,Abell370__standing_mode,Abell370__transverse_mode,Abell370__wave_mode_count,AbellS1063__attenuation,AbellS1063__coherence_length,AbellS1063__dispersion,AbellS1063__longitudinal_mode,AbellS1063__polarization_like,AbellS1063__propagating_disturbance,AbellS1063__standing_mode,AbellS1063__transverse_mode,AbellS1063__wave_mode_count,MACS0416__attenuation,MACS0416__coherence_length,MACS0416__dispersion,MACS0416__longitudinal_mode,MACS0416__polarization_like,MACS0416__propagating_disturbance,MACS0416__standing_mode,MACS0416__transverse_mode,MACS0416__wave_mode_count,MACS1149__attenuation,MACS1149__coherence_length,MACS1149__dispersion,MACS1149__longitudinal_mode,MACS1149__polarization_like,MACS1149__propagating_disturbance,MACS1149__standing_mode,MACS1149__transverse_mode,MACS1149__wave_mode_count,architecture_code,architecture_name,internal_nodes,is_wrong
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,A1,Point Element,1,False
0.0,3.0,0.0,0.49685745690646094,0.012316204649097884,0.0,0.0,0.4939903888799255,2,0.0,3.0,0.0,0.49758360476952096,0.00998628980067362,0.0,0.0,0.45570107601697235,2,0.0,3.0,0.0,0.4965571173075426,0.01765199399916695,0.0,0.0,0.5736595385209656,2,0.0,7.0,0.0,0.4957922716111302,0.019481359313790914,0.0,0.0,0.5344649826966628,2,0.0,4.0,0.0,0.4935726601667362,0.0326695678409018,0.0,0.0,0.5822023022396476,2,A2,Two-State Constituent,2,False
0.0,3.0,0.0,0.9855576700723236,0.0,0.0,0.0,0.1286525829202488,1,0.0,3.0,0.0,0.9889918929040813,0.0,0.0,0.0,0.11230585643926896,1,0.0,3.0,0.0,0.9842043635418716,0.0,0.0,0.0,0.13468310506350464,1,0.0,7.0,0.0,0.9805545015178184,0.0,0.0,0.0,0.14940817661039466,1,0.0,4.0,0.0,0.9701305674527257,0.0,0.0,0.0,0.18572656601775658,1,A3,Three-State Constituent,3,False
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,A4,Elastic Link Element,1,False
0.0,48.666666666666664,0.0,0.5,0.0,0.0,0.0,0.5,2,0.0,35.666666666666664,0.0,0.5,0.0,0.0,0.0,0.5,2,0.0,1.6666666666666667,0.0,0.5,0.0,0.0,0.0,0.5,2,0.0,4.333333333333333,0.0,0.5,0.0,0.0,0.0,0.5,2,0.0,2.6666666666666665,0.0,0.5,0.0,0.0,0.0,0.5,2,A5,Oscillator Cell,2,False
0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.25,1,0.0,13.0,0.0,0.5,0.0,0.0,0.0,0.25,1,0.0,11.666666666666666,0.0,0.5,0.0,0.0,0.0,0.25,1,0.0,28.333333333333332,0.0,0.5,0.0,0.0,0.0,0.25,1,0.0,14.333333333333334,0.0,0.5,0.0,0.0,0.0,0.25,1,A6,Rotational Cell,1,False
0.0,3.0,0.0,0.985564989435351,0.0,0.0,0.0,0.12864728685543594,1,0.0,3.0,0.0,0.9889878116844781,0.0,0.0,0.0,0.11229993586128775,1,0.0,3.0,0.0,0.9842044250084364,0.0,0.0,0.0,0.13467656896766478,1,0.0,7.0,0.0,0.9805650705814709,0.0,0.0,0.0,0.1494025269262108,1,0.0,4.0,0.0,0.9701180002345683,0.0,0.0,0.0,0.1857151353995191,1,A7,Loop Constituent,3,False
0.0,3.0,0.0,0.49756412856544086,0.009554616066164923,0.0,0.0,0.6092770982707638,2,0.0,3.0,0.0,0.49813285292318193,0.0077349942377478165,0.0,0.0,0.5318157461749762,2,0.0,3.0,0.0,0.4972781757712644,0.01386626145679093,0.0,0.0,0.7417336854546349,2,0.0,7.0,0.0,0.4966884674270479,0.015247769750793005,0.0,0.0,0.6748779191872566,2,0.0,4.0,0.0,0.49476814967088,0.026133062185487166,0.0,0.0,0.7495856076277091,2,A8,Dual-Layer Constituent,2,False
0.0,3.0,0.0,0.0,0.0,1.6892469446589572e-06,0.4973118737518748,0.0,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0.0,1.7030156970849853e-06,0.49744857818004784,0.0,1,0.0,4.0,0.0,0.0,0.0,1.604395298179037e-06,0.49770844121479263,0.0,1,A9,Cooperative Cell,1,False
0.0,43.333333333333336,0.0,0.5,0.0,0.0,0.0,1.0,2,0.0,60.666666666666664,0.0,0.5,0.0,0.0,0.0,1.0,2,0.0,1.6666666666666667,0.0,0.5,0.0,0.0,0.0,1.0,2,0.0,4.333333333333333,0.0,0.5,0.0,0.0,0.0,1.0,2,0.0,2.6666666666666665,0.0,0.5,0.0,0.0,0.0,1.0,2,A10,Unified Microcell,4,False
