architecture_number,architecture_code,architecture_name,is_wrong,internal_nodes,principle,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,phase_emergence_score,orientation_emergence_score,internal_circulation_score,multiplicative_coupling_score,cooperative_response_score,relaxation_time,spatial_correlation_length,temporal_persistence_length,propagating_disturbance,standing_mode,transverse_mode,longitudinal_mode,polarization_like,attenuation,dispersion,coherence_length,wave_mode_count,wave_emerged
11,WR1,Wrong: Random Internal Topology,True,2,internal node connections randomly reshuffled each step,Abell2744,Abell 2744,0.052369916329831276,0.08993484718883239,-0.011790061232329656,0.044757573719689706,0.42888600446766023,0.22212836097830382,-0.06271901930601914,0.16629973676391682,0.2524603159399703,2.220446049250313e-16,-0.0052996694800579724,-0.5099896581148219,0.35319899330838594,1.0,-0.0013615426856902662,0.0,0.0,0.0,21.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0,False
12,WR2,Wrong: Disconnected Internal Nodes,True,2,internal nodes evolve independently with no internal coupling,Abell2744,Abell 2744,-0.0025514681132713384,0.14386006282999506,-0.0025830413380406505,0.1526455474548744,0.1555596664703825,0.05644002850502527,-0.054747750301417604,0.0044355036042924055,0.234961244976148,2.220446049250313e-16,0.001290717560134962,0.9052593238025061,0.01087255433639528,0.0,0.005228844354502668,0.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
13,WR3,Wrong: Over-Connected Constituent,True,3,all internal nodes equally coupled to all others including every neighbour,Abell2744,Abell 2744,0.03608004108767714,0.1319215345350778,-0.02172671237011694,0.14100945806184403,0.16636705275484953,0.05815389191071193,-0.06448134429528422,0.00966864248859133,0.2370318559696898,2.220446049250313e-16,-0.0017126729978588686,0.002391071172185385,0.02358722204595998,0.0,0.0022254537965088377,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.10623078166107812,0.9924166896939377,0.0,0.0,0.0,3.0,1,True
14,WR4,Wrong: Frozen Internal Architecture,True,2,internal architecture frozen; node state evolves but internal DOFs do not,Abell2744,Abell 2744,0.00012914445408322085,0.19191639044962355,-0.0035267479049778377,0.19763407642721678,0.1610607161636735,0.05657960643683239,-0.05505709908456028,0.00692698574280176,0.23352474404964596,2.220446049250313e-16,0.0008603664184509236,0.904826275210439,0.01331286865735465,0.0,0.00479849321281863,0.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
1,A1,Point Element,False,1,"single microscopic node u(x,y); linear relaxation control",MACS0416,MACS J0416,0.020010662726929196,0.12193976721570789,-0.0002075245848485311,0.13272992893474567,0.18909024585651835,0.06360943664387214,-0.0996887662922134,-0.008656200564482887,0.23445378500036895,2.220446049250313e-16,0.0010401197470614417,0.9995928042584475,0.0063804508026511835,0.0,0.0005286619952499892,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,False
2,A2,Two-State Constituent,False,2,"two coupled internal nodes u_a, u_b with shared local equilibrium",MACS0416,MACS J0416,0.0041088833378703365,0.11201211161586132,-0.000706435939731557,0.1250400570321996,0.18911881365702077,0.06183722648719895,-0.10199169218942891,-0.00582309513656658,0.23528834606986493,2.220446049250313e-16,0.0021948341817599583,0.9049410612546447,0.009901978339663215,0.0,0.001683376429948506,0.0010000207489556559,0.0,0.0,12.0,7.0,1.0,0.0,0.0,0.5344649826966628,0.4957922716111302,0.019481359313790914,0.0,0.0,7.0,2,True
3,A3,Three-State Constituent,False,3,"triangular microstructure u_a, u_b, u_c; cycle coupling allows internal circulation",MACS0416,MACS J0416,0.012478338949392726,0.11635913531632416,-0.0007961100041486615,0.12861306626460436,0.18995988430860816,0.06246391218290964,-0.10149969774809747,-0.0062987477813808215,0.23701469600200653,2.220446049250313e-16,0.0022411141665821237,0.905059336186256,0.009613548114334444,0.0,0.0017296564147706711,0.008388920410173096,0.0,0.0,12.0,7.0,1.0,0.0,0.0,0.14940817661039466,0.9805545015178184,0.0,0.0,0.0,7.0,1,True
4,A4,Elastic Link Element,False,1,node plus elastic connections to neighbours; internal deformation possible,MACS0416,MACS J0416,0.021672692513522693,0.12017614943934682,1.4095781485201497e-05,0.13036193780528593,0.18774597735948315,0.0642975913150397,-0.09923922939190348,-0.01012821535737844,0.23674406693316996,2.220446049250313e-16,0.0005959296902604716,0.997252790094672,0.004150258439271803,0.0,8.447193844901911e-05,0.0,0.0,0.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,False
5,A5,Oscillator Cell,False,2,"local oscillator z(x,y) = r·exp(iφ); neighbour coupling K·(<z>_n − z)",MACS0416,MACS J0416,0.11169936137310131,0.036208810729878756,-0.0011427897205525464,0.014171400810911942,0.6888983086813638,0.3966434151256679,-0.10302908682898287,0.32310639528658913,0.2545991789083928,2.220446049250313e-16,-0.0033032510735588254,0.913618514796649,2.139330849502439,1.0,-0.0038147088253702778,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,4.333333333333333,2,True
6,A6,Rotational Cell,False,1,internal rotational DOF θ evolves by neighbour alignment; orientation emerges,MACS0416,MACS J0416,-0.2530223993321845,0.06716126379354677,0.012081433548618504,0.0088675716857134,1.3671372157662807,0.6837002146544885,-0.14644437860151915,0.5666950808395673,0.2775825139833614,2.220446049250313e-16,0.002612715200091232,0.9911338821516866,1.558876535041138,0.0,0.0021012574482797797,0.0,0.0,0.0,8.0,23.0,3.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,28.333333333333332,1,True
7,A7,Loop Constituent,False,3,closed internal loop (3 nodes x->y->z->x); supports circulating internal state without explicit phase,MACS0416,MACS J0416,0.012478338949392749,0.11635913531632398,-0.0007961100041486529,0.12861306626460417,0.18995988430860813,0.06246391218290964,-0.10149969774809744,-0.006298747781380831,0.24119953997433186,2.220446049250313e-16,0.002241114166582125,0.9050593361862559,0.009613548114334444,0.0,0.0017296564147706727,0.002925992294316376,0.0,0.0,12.0,7.0,1.0,0.0,0.0,0.1494025269262108,0.9805650705814709,0.0,0.0,0.0,7.0,1,True
8,A8,Dual-Layer Constituent,False,2,fast internal dynamics u_fast + slow structural u_slow; memory emerges from layer separation,MACS0416,MACS J0416,-0.002946887921364814,0.1249028234788144,-0.00014962203111732204,0.1364030806667839,0.18481835256557375,0.062343115015924704,-0.10034952818071946,-0.011807431668746217,0.2387023390037939,2.220446049250313e-16,0.00026113575775362955,0.94029725356667,0.009079823291984779,0.0,-0.00025032199405782294,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.6748779191872566,0.4966884674270479,0.015247769750793005,0.0,0.0,7.0,2,True
9,A9,Cooperative Cell,False,1,each cell internally computes weighted 9-point neighbourhood response before updating,MACS0416,MACS J0416,0.020619391111204345,0.12073857481387959,-0.00021658075787748274,0.131238909910443,0.19081645839847677,0.06406803591839338,-0.09970500563035761,-0.007331673773737278,0.2398395190248266,2.220446049250313e-16,0.0011365342484567153,0.999553620288419,0.006583448995412053,0.0,0.0006250764966452628,0.0,0.0,0.046475548401329246,9.0,7.0,1.0,1.7030156970849853e-06,0.49744857818004784,0.0,0.0,0.0,0.0,0.0,7.0,1,True
10,A10,Unified Microcell,False,4,"multi-DOF cell: oscillation (r,φ) + neighbour coupling + reversible storage; no explicit S9 variables",MACS0416,MACS J0416,0.15900511813815013,0.03516872651029296,0.006251315473181582,0.014362850576593917,0.6725936554107163,0.3929160438072814,-0.09352445434745707,0.3001410058347071,0.2579550810623914,2.220446049250313e-16,-0.006401656854774957,0.9065148853143006,1.9425452116440558,1.0,-0.006913114606586409,0.02282007990797116,1.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,4.333333333333333,2,True
11,WR1,Wrong: Random Internal Topology,True,2,internal node connections randomly reshuffled each step,MACS0416,MACS J0416,-0.03864551319524655,0.15032347795867856,0.00019300429093929776,0.06463145344458249,0.47697952149303563,0.23356483286566634,-0.0939612450778612,0.17481449108770666,0.2576996509451419,2.220446049250313e-16,-0.0007393110233860964,-0.5099896581148218,0.35319899330838594,1.0,-0.001250768775197549,0.0,0.0,0.0,21.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,0,False
12,WR2,Wrong: Disconnected Internal Nodes,True,2,internal nodes evolve independently with no internal coupling,MACS0416,MACS J0416,0.004108883337870375,0.1120121116158612,-0.0007064359397315511,0.12504005703219948,0.1891188136570207,0.06183722648719895,-0.1019916921894289,-0.00582309513656658,0.23917569895274937,2.220446049250313e-16,0.0021948341817599596,0.9049410612546447,0.009901978339663215,0.0,0.001683376429948507,0.0,0.0,0.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,False
13,WR3,Wrong: Over-Connected Constituent,True,3,all internal nodes equally coupled to all others including every neighbour,MACS0416,MACS J0416,-0.0025806140128301017,0.09838233263985224,-0.0003298125803750372,0.11144087231819581,0.18829823839899212,0.06247205734242781,-0.10260137608627533,-0.010252389903017495,0.239597809035331,2.220446049250313e-16,0.0004766162894383543,-0.0025801021163329805,0.02358722204595998,0.0,-3.484146237309817e-05,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.12202074536687862,0.9900330233972712,0.0,0.0,0.0,7.0,1,True
14,WR4,Wrong: Frozen Internal Architecture,True,2,internal architecture frozen; node state evolves but internal DOFs do not,MACS0416,MACS J0416,0.009957510359316489,0.11059082176661507,-0.001120667745661176,0.12320282699848874,0.1939705686430294,0.06250907276784146,-0.10310613959544088,-0.0025637925134994782,0.2371130579849705,2.220446049250313e-16,0.002138354609722948,0.9046857325484424,0.012527577239814873,0.0,0.0016268968579114956,0.0,0.0,0.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,False
1,A1,Point Element,False,1,"single microscopic node u(x,y); linear relaxation control",MACS1149,MACS J1149,0.1962766906325546,-0.06095466488207722,0.08963957620078866,-0.00676007347472796,0.08941718026374104,0.11346067139823111,-0.03249274426160486,-0.08946926752603863,0.2335312250070274,2.220446049250313e-16,0.0024833353498059617,0.9996364842089392,0.004552908626075381,0.0,-0.005177317862705828,0.0,0.0,0.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,False
2,A2,Two-State Constituent,False,2,"two coupled internal nodes u_a, u_b with shared local equilibrium",MACS1149,MACS J1149,0.14774033219257668,-0.054889414170707404,0.06831491451112758,-0.007397839856904654,0.09925259111528939,0.10538003927353247,-0.032617771896127884,-0.07867487509924485,0.23385817499365658,2.220446049250313e-16,0.0020823575742950177,0.9046709499471547,0.008925976328441523,0.0,-0.005578295638216772,0.0010000207489556559,0.0,0.0,13.0,4.0,1.0,0.0,0.0,0.5822023022396476,0.4935726601667362,0.0326695678409018,0.0,0.0,4.0,2,True
3,A3,Three-State Constituent,False,3,"triangular microstructure u_a, u_b, u_c; cycle coupling allows internal circulation",MACS1149,MACS J1149,0.13884113786457816,-0.07865590962544348,0.0623235165146404,-0.016112733365158612,0.09817638290345651,0.10815865375326839,-0.03279965331062714,-0.081792995879193,0.23419686499983072,2.220446049250313e-16,0.0024331154693186504,0.9047113215249778,0.008556134863907142,0.0,-0.005227537743193139,0.008388920410173095,0.0,0.0,13.0,4.0,1.0,0.0,0.0,0.18572656601775658,0.9701305674527257,0.0,0.0,0.0,4.0,1,True
4,A4,Elastic Link Element,False,1,node plus elastic connections to neighbours; internal deformation possible,MACS1149,MACS J1149,0.2128795572743022,-0.030260776072649525,0.09810521463448996,0.0019999813339975766,0.08817748677156959,0.1140712779039823,-0.03236311292339294,-0.0905784435234217,0.23358040500897914,2.220446049250313e-16,0.00142795253771118,0.9979141250279259,0.002946925184422233,0.0,-0.006232700674800609,0.0,0.0,0.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,False
5,A5,Oscillator Cell,False,2,"local oscillator z(x,y) = r·exp(iφ); neighbour coupling K·(<z>_n − z)",MACS1149,MACS J1149,0.011704958105183598,-0.17876522099703296,-0.006769508608379133,-0.026002901204787595,0.7845673149170624,0.4531326424719258,-0.08953064101443761,0.35112519484226257,0.2568596610799432,2.220446049250313e-16,0.006837168902544232,0.915284508658013,2.1304322092816363,1.0,-0.0008234843099675569,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.6666666666666665,2,True
6,A6,Rotational Cell,False,1,internal rotational DOF θ evolves by neighbour alignment; orientation emerges,MACS1149,MACS J1149,-0.15614004736544854,-0.05287602369982109,0.005278031002734792,0.0034227598654289343,1.1610077293917758,0.5747275629469503,-0.09972561221261084,0.45465285852285536,0.25930945202708244,2.220446049250313e-16,0.004515721701749303,0.9906048946113714,1.5051230415051176,0.0,-0.0031449315107624867,0.0,0.0,0.0,8.0,19.0,4.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,14.333333333333334,1,True
7,A7,Loop Constituent,False,3,closed internal loop (3 nodes x->y->z->x); supports circulating internal state without explicit phase,MACS1149,MACS J1149,0.13884113786457797,-0.07865590962544315,0.06232351651464038,-0.016112733365158498,0.09817638290345651,0.10815865375326839,-0.032799653310627126,-0.08179299587919302,0.23335274506825954,2.220446049250313e-16,0.0024331154693186478,0.9047113215249778,0.008556134863907142,0.0,-0.0052275377431931416,0.002925992294316376,0.0,0.0,13.0,4.0,1.0,0.0,0.0,0.1857151353995191,0.9701180002345683,0.0,0.0,0.0,4.0,1,True
8,A8,Dual-Layer Constituent,False,2,fast internal dynamics u_fast + slow structural u_slow; memory emerges from layer separation,MACS1149,MACS J1149,0.18666709684911564,0.013391150866469824,0.08312497653517908,0.017081335679517078,0.09259787588125538,0.10921168445507813,-0.032899710677393335,-0.0851585419796163,0.2347225269768387,2.220446049250313e-16,0.0036327052563755076,0.9391989599648606,0.008990707109054894,0.0,-0.004027947956136282,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.7495856076277091,0.49476814967088,0.026133062185487166,0.0,0.0,4.0,2,True
9,A9,Cooperative Cell,False,1,each cell internally computes weighted 9-point neighbourhood response before updating,MACS1149,MACS J1149,0.1954886072457112,-0.061160898956397265,0.09149671515477484,-0.007300742873523862,0.09005012871317022,0.11301569835348227,-0.03226023303468432,-0.08875711364043362,0.238029308966361,2.220446049250313e-16,0.0026269740324214993,0.9995844796650968,0.0048095468994733695,0.0,-0.00503367918009029,0.0,0.0,0.03428560439055007,9.0,4.0,1.0,1.604395298179037e-06,0.49770844121479263,0.0,0.0,0.0,0.0,0.0,4.0,1,True
10,A10,Unified Microcell,False,4,"multi-DOF cell: oscillation (r,φ) + neighbour coupling + reversible storage; no explicit S9 variables",MACS1149,MACS J1149,0.06886161567221907,-0.2246318515083239,-0.015531047519949662,-0.03759935155711835,0.7736782959911487,0.44305640090252324,-0.11407532305487583,0.33980784251766205,0.25378951895982027,2.220446049250313e-16,0.006572004184418566,0.9081835330558601,1.9631838072159338,1.0,-0.0010886490280932236,0.034158348905658914,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,2.6666666666666665,2,True
11,WR1,Wrong: Random Internal Topology,True,2,internal node connections randomly reshuffled each step,MACS1149,MACS J1149,-0.03214376413874837,0.09195845425618888,0.003954116675559453,0.06530796511515602,0.5017905762459626,0.23686402975258347,-0.028109049245976164,0.16675040310708258,0.2546707899309695,2.220446049250313e-16,0.006379575265463516,-0.5099896581148218,0.35319899330838594,1.0,-0.0012810779470482732,0.0,0.0,0.0,21.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0,False
12,WR2,Wrong: Disconnected Internal Nodes,True,2,internal nodes evolve independently with no internal coupling,MACS1149,MACS J1149,0.14774033219257668,-0.05488941417070765,0.06831491451112753,-0.007397839856904757,0.09925259111528943,0.10538003927353246,-0.03261777189612789,-0.07867487509924484,0.2385474289767444,2.220446049250313e-16,0.0020823575742950177,0.9046709499471548,0.008925976328441524,0.0,-0.005578295638216772,0.0,0.0,0.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,False
13,WR3,Wrong: Over-Connected Constituent,True,3,all internal nodes equally coupled to all others including every neighbour,MACS1149,MACS J1149,0.10287537159630238,0.005980514230965068,0.04261170563572739,0.018028397952235712,0.10841732269828952,0.10149101561008023,-0.03380441039893953,-0.07346656100309489,0.2335223959526047,2.220446049250313e-16,0.007608639583019087,0.001699658139956822,0.02358722204595998,0.0,-5.2013629492702036e-05,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.14821899156587612,0.9854179077517865,0.0,0.0,0.0,4.0,1,True
14,WR4,Wrong: Frozen Internal Architecture,True,2,internal architecture frozen; node state evolves but internal DOFs do not,MACS1149,MACS J1149,0.11047657967064996,-0.07686812611586781,0.04686907459082658,-0.020929583326841392,0.10720006685845936,0.10355701690215591,-0.033424515877063334,-0.07446345391374244,0.2321778651094064,2.220446049250313e-16,0.002222853889058962,0.9045452868844558,0.011752084238018113,0.0,-0.005437799323452827,0.0,0.0,0.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,False
1,A1,Point Element,False,1,"single microscopic node u(x,y); linear relaxation control",AbellS1063,Abell S1063,0.09386529605539595,0.0778569915455897,-0.04355841478228689,0.08761090673818939,0.13369752309557983,0.06710638984473674,-0.05516253697040188,-0.0196498004846196,0.23341703601181507,2.220446049250313e-16,0.0037249027408244244,0.9996891966939372,0.005013179897571704,0.0,0.00642341395787808,0.0,0.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
2,A2,Two-State Constituent,False,2,"two coupled internal nodes u_a, u_b with shared local equilibrium",AbellS1063,Abell S1063,0.1085182189763951,0.07278564389131163,-0.04598449397609255,0.08351124030780642,0.13450438758769884,0.0651050145764233,-0.05477160282293752,-0.016269081133574392,0.2342564769787714,2.220446049250313e-16,0.0018424185336347733,0.9046415692436576,0.009097363765570505,0.0,0.004540929750688429,0.0010000207489556559,0.0,0.0,13.0,3.0,1.0,0.0,0.0,0.5736595385209656,0.4965571173075426,0.01765199399916695,0.0,0.0,3.0,2,True
3,A3,Three-State Constituent,False,3,"triangular microstructure u_a, u_b, u_c; cycle coupling allows internal circulation",AbellS1063,Abell S1063,0.1123085196770819,0.048580863404121,-0.048582575622995526,0.06067643930771634,0.13148050516983634,0.0645574130388466,-0.054926897717595784,-0.01713268408801967,0.2348003670340404,2.220446049250313e-16,0.001744180992302408,0.9046765471078215,0.00873193859423487,0.0,0.0044426922093560636,0.008388920410173096,0.0,0.0,13.0,3.0,1.0,0.0,0.0,0.13468310506350464,0.9842043635418716,0.0,0.0,0.0,3.0,1,True
4,A4,Elastic Link Element,False,1,node plus elastic connections to neighbours; internal deformation possible,AbellS1063,Abell S1063,0.09214553522642761,0.07986150033189039,-0.042634157644877886,0.08960873126738232,0.13456821011324546,0.06826145470675087,-0.05503302631493964,-0.020511087814926634,0.23325357597786933,2.220446049250313e-16,0.002416747671651586,0.9984431188550095,0.0032270569725274868,0.0,0.0051152588887052415,0.0,0.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
5,A5,Oscillator Cell,False,2,"local oscillator z(x,y) = r·exp(iφ); neighbour coupling K·(<z>_n − z)",AbellS1063,Abell S1063,-0.03434540032301471,-0.1378063748286119,0.0029287813530648526,-0.010089668691973983,0.6711779609152941,0.43062225651232994,0.04161150331517034,0.34885775746035247,0.2545385799603537,2.220446049250313e-16,-0.003399509250346752,0.9174149528324473,2.221286102903115,1.0,-0.0007009980332930961,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.6666666666666667,2,True
6,A6,Rotational Cell,False,1,internal rotational DOF θ evolves by neighbour alignment; orientation emerges,AbellS1063,Abell S1063,-0.21015694138273258,-0.1301320102888956,0.007145748682429597,-0.003032634079534682,1.1593119122936963,0.6113550953224504,-0.09373225036381753,0.5017787251859641,0.2599418630125001,2.220446049250313e-16,-0.0019104450661443385,0.9904584078609762,1.4678067640378496,0.0,0.0007880661509093171,0.0,0.0,0.0,8.0,15.0,4.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,11.666666666666666,1,True
7,A7,Loop Constituent,False,3,closed internal loop (3 nodes x->y->z->x); supports circulating internal state without explicit phase,AbellS1063,Abell S1063,0.11230851967708164,0.04858086340412127,-0.0485825756229954,0.06067643930771662,0.1314805051698364,0.06455741303884659,-0.05492689771759577,-0.01713268408801965,0.23433771694544703,2.220446049250313e-16,0.001744180992302414,0.9046765471078215,0.00873193859423487,0.0,0.00444269220935607,0.0029259922943163765,0.0,0.0,13.0,3.0,1.0,0.0,0.0,0.13467656896766478,0.9842044250084364,0.0,0.0,0.0,3.0,1,True
8,A8,Dual-Layer Constituent,False,2,fast internal dynamics u_fast + slow structural u_slow; memory emerges from layer separation,AbellS1063,Abell S1063,0.12115382904918567,0.08441324820137557,-0.05317841264196085,0.09290574023055327,0.1352480858079989,0.06745111042144267,-0.05536156454741162,-0.019460396362335524,0.2349391570314765,2.220446049250313e-16,-1.3424455500239685e-05,0.939284870851856,0.00899799884181064,0.0,0.002685086761553416,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.7417336854546349,0.4972781757712644,0.01386626145679093,0.0,0.0,3.0,2,True
