architecture_number,architecture_code,architecture_name,is_wrong,internal_nodes,principle,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,phase_emergence_score,orientation_emergence_score,internal_circulation_score,multiplicative_coupling_score,cooperative_response_score,relaxation_time,spatial_correlation_length,temporal_persistence_length,propagating_disturbance,standing_mode,transverse_mode,longitudinal_mode,polarization_like,attenuation,dispersion,coherence_length,wave_mode_count,wave_emerged
1,A1,Point Element,False,1,"single microscopic node u(x,y); linear relaxation control",Abell2744,Abell 2744,-0.010128487919004532,0.1308244739815001,-0.0012334463016429376,0.14076952512458435,0.15288306515319575,0.05678316824686507,-0.054749681646592,0.0014709960629094299,0.23662209592293948,2.220446049250313e-16,0.00018396014723806413,0.9995800237875768,0.00777818093248056,0.0,0.00412208694160577,0.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
2,A2,Two-State Constituent,False,2,"two coupled internal nodes u_a, u_b with shared local equilibrium",Abell2744,Abell 2744,-0.0025514681132715127,0.14386006282999506,-0.0025830413380406245,0.15264554745487438,0.15555966647038258,0.05644002850502528,-0.05474775030141764,0.004435503604292427,0.23464046407025307,2.220446049250313e-16,0.001290717560134969,0.905259323802506,0.01087255433639528,0.0,0.005228844354502675,0.0010000207489556559,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.4939903888799255,0.49685745690646094,0.012316204649097884,0.0,0.0,3.0,2,True
3,A3,Three-State Constituent,False,3,"triangular microstructure u_a, u_b, u_c; cycle coupling allows internal circulation",Abell2744,Abell 2744,-0.0024416121377679304,0.1696029529011162,-0.003174830747484319,0.17771767089381346,0.15660800056582228,0.0562604808663433,-0.05537529734835261,0.003740824499582993,0.23701612500008196,2.220446049250313e-16,0.001483946228751169,0.905391758361094,0.010608729565631607,0.0,0.005422073023118875,0.008388920410173096,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.1286525829202488,0.9855576700723236,0.0,0.0,0.0,3.0,1,True
4,A4,Elastic Link Element,False,1,node plus elastic connections to neighbours; internal deformation possible,Abell2744,Abell 2744,-0.0017899761442266577,0.11416090209448436,-0.003910203469230733,0.12473511391115862,0.15391720371949527,0.05831512852891324,-0.056483220620803146,0.0014558777908975971,0.23754706606268883,2.220446049250313e-16,3.7504679949697944e-05,0.997268588312734,0.005058236221429739,0.0,0.003975631474317404,0.0,0.0,0.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
5,A5,Oscillator Cell,False,2,"local oscillator z(x,y) = r·exp(iφ); neighbour coupling K·(<z>_n − z)",Abell2744,Abell 2744,-0.07008439387800353,0.10138851129822594,0.0016418068811957713,0.01614724951737738,0.7233819408990205,0.4193326802831217,-0.07421858785426833,0.3407484932457454,0.25874069100245833,2.220446049250313e-16,-0.005774700621000289,0.9117465537429477,2.059875384098614,1.0,-0.001836573826632583,0.0,1.0,0.0,1.0,65.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,48.666666666666664,2,True
6,A6,Rotational Cell,False,1,internal rotational DOF θ evolves by neighbour alignment; orientation emerges,Abell2744,Abell 2744,-0.1679554421212551,0.12695441812135902,0.005291319897110221,0.009684668450291228,1.1948888916160108,0.6470938498809186,-0.0905697388980901,0.5262544061291515,0.26809786597732455,2.220446049250313e-16,-0.006354237551294292,0.9912181128642314,1.6443475665500316,0.0,-0.002416110756926585,0.0,0.0,0.0,8.0,30.0,3.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,20.0,1,True
7,A7,Loop Constituent,False,3,closed internal loop (3 nodes x->y->z->x); supports circulating internal state without explicit phase,Abell2744,Abell 2744,-0.002441612137767956,0.16960295290111627,-0.003174830747484325,0.1777176708938136,0.15660800056582222,0.05626048086634329,-0.05537529734835262,0.003740824499582978,0.23716688598506153,2.220446049250313e-16,0.0014839462287511707,0.905391758361094,0.010608729565631605,0.0,0.005422073023118877,0.002925992294316376,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.12864728685543594,0.985564989435351,0.0,0.0,0.0,3.0,1,True
8,A8,Dual-Layer Constituent,False,2,fast internal dynamics u_fast + slow structural u_slow; memory emerges from layer separation,Abell2744,Abell 2744,0.013782252868255645,0.11015345549646531,-0.009893751564078315,0.1201446514895228,0.15843655236978882,0.05958663728290372,-0.05923607445747866,0.004175478963756605,0.2349998039426282,2.220446049250313e-16,-0.0010128831485206745,0.9415102266019658,0.009197284081155159,0.0,0.002925243645847032,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.6092770982707638,0.49756412856544086,0.009554616066164923,0.0,0.0,3.0,2,True
9,A9,Cooperative Cell,False,1,each cell internally computes weighted 9-point neighbourhood response before updating,Abell2744,Abell 2744,-0.010153132622961938,0.131073863219334,-0.001254370839863531,0.14059844181971187,0.15449809404790044,0.05733593026293499,-0.05477460749032529,0.002557559587477185,0.2367981260176748,2.220446049250313e-16,0.00018358628588053226,0.9995483313298009,0.008003212644463967,0.0,0.0041217130802482385,0.0,0.0,0.06204840236188499,9.0,3.0,1.0,1.6892469446589572e-06,0.4973118737518748,0.0,0.0,0.0,0.0,0.0,3.0,1,True
10,A10,Unified Microcell,False,4,"multi-DOF cell: oscillation (r,φ) + neighbour coupling + reversible storage; no explicit S9 variables",Abell2744,Abell 2744,0.024499816578215473,0.080565753577946,-0.003800701330108236,0.016518045963294526,0.703352719369403,0.4028384122310986,-0.061876262965136944,0.3269170673922604,0.25544586800970137,2.220446049250313e-16,-0.006910775193242798,0.9056720985074964,1.8533645457530643,1.0,-0.002972648398875091,0.014405150133767784,1.0,0.0,3.0,25.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,43.333333333333336,2,True
