rank,architecture_code,architecture_name,rank_sum,median_pearson_kappa,median_pearson_gamma,median_ssim_kappa,median_rms_kappa,median_coherence_gain,median_emergent_memory_index,median_phase_emergence_score,median_orientation_emergence_score,median_internal_circulation_score,median_multiplicative_coupling_score,median_cooperative_response_score,median_wave_mode_count,median_wave_coherence_length,median_relaxation_time
1,A2,Two-State Constituent,75.0,0.1085182189763951,0.08333481593286754,-0.0025830413380406245,0.15555966647038258,0.0018424185336347733,0.9049410612546447,0.0,0.001683376429948506,0.0010000207489556559,0.0,0.0,2.0,3.0,12.0
2,A1,Point Element,89.0,0.09386529605539595,0.0778569915455897,-0.0012334463016429376,0.15288306515319575,0.0010401197470614417,0.9995928042584475,0.0,0.0005286619952499892,0.0,0.0,0.0,0.0,3.0,9.0
3,A3,Three-State Constituent,97.0,0.1123085196770819,0.06316259471270703,-0.003174830747484319,0.15660800056582228,0.001744180992302408,0.905059336186256,0.0,0.0017296564147706711,0.008388920410173096,0.0,0.0,1.0,3.0,12.0
4,A7,Loop Constituent,113.0,0.11230851967708164,0.06316259471270695,-0.003174830747484325,0.15660800056582222,0.001744180992302414,0.9050593361862559,0.0,0.0017296564147706727,0.002925992294316376,0.0,0.0,1.0,3.0,12.0
5,A9,Cooperative Cell,117.0,0.09368359221710161,0.07738586286165808,-0.001254370839863531,0.15449809404790044,0.0011365342484567153,0.999553620288419,0.0,0.0006250764966452628,0.0,0.0,0.046475548401329246,1.0,3.0,9.0
6,A4,Elastic Link Element,126.0,0.09214553522642761,0.07986150033189039,-0.003910203469230733,0.15391720371949527,0.0005959296902604716,0.997268588312734,0.0,8.447193844901911e-05,0.0,0.0,0.0,0.0,3.0,7.0
7,A5,Oscillator Cell,129.0,0.011704958105183598,-0.04680255283992661,-0.0011427897205525464,0.6916285853471781,-0.0033032510735588254,0.913618514796649,1.0,-0.0008234843099675569,0.0,1.0,0.0,2.0,4.333333333333333,1.0
8,A8,Dual-Layer Constituent,133.0,0.12115382904918567,0.08441324820137557,-0.009893751564078315,0.15843655236978882,-1.3424455500239685e-05,0.94029725356667,0.0,-0.00025032199405782294,0.0,0.0,0.0,2.0,3.0,2.0
9,A6,Rotational Cell,157.0,-0.17432034312618,-0.014617592860438667,0.005291319897110221,1.1948888916160108,0.0008335714343195657,0.9911338821516866,0.0,-0.0015829639690339806,0.0,0.0,0.0,1.0,14.333333333333334,8.0
10,A10,Unified Microcell,157.0,0.044280277936999714,-0.07376351098191265,-0.003800701330108236,0.703352719369403,-0.006401656854774957,0.9065148853143006,1.0,-0.002972648398875091,0.02282007990797116,1.0,0.0,2.0,4.333333333333333,2.0
11,WR1,Wrong: Random Internal Topology,161.0,0.052369916329831276,0.08993484718883239,-0.004110333833275237,0.46724601973033175,-0.0007393110233860964,-0.5099896581148218,1.0,-0.0012810779470482732,0.0,0.0,0.0,0.0,3.6666666666666665,21.0
12,WR2,Wrong: Disconnected Internal Nodes,128.0,0.1085182189763948,0.08333481593286747,-0.0025830413380406505,0.1555596664703825,0.0018424185336347759,0.9049410612546447,0.0,0.001683376429948507,0.0,0.0,0.0,0.0,3.0,12.0
13,WR3,Wrong: Over-Connected Constituent,146.0,0.10287537159630238,0.09838233263985224,-0.02172671237011694,0.16636705275484953,0.0004766162894383543,0.0011719099897792421,0.0,0.0018591261976561096,0.0,0.0,0.0,1.0,3.0,1.0
14,WR4,Wrong: Frozen Internal Architecture,157.0,0.11047657967064996,0.07333210459918361,-0.0035267479049778377,0.1610607161636735,0.0008603664184509236,0.9046857325484424,0.0,0.0016268968579114956,0.0,0.0,0.0,0.0,3.0,13.0
