cluster_id,cluster_label,candidate_id,physical_source_representation,coverage_lane,n_photons,finite_production_kappa_count,finite_independent_fit_count,finite_masks_match,production_vs_independent_relative_error,exact_det_identity_relative_error,production_vs_independent_pearson,production_vs_independent_spearman,production_vs_independent_count,production_vs_linear_trace_pearson,production_vs_linear_trace_spearman,production_vs_linear_trace_count,production_vs_half_trace_pearson,production_vs_half_trace_spearman,production_vs_half_trace_count,trace_D_rms,det_D_rms,nonlinear_detD_to_traceD_rms_ratio,production_kappa_rms,linear_trace_kappa_rms,determinant_correction_rms,observed_vs_production_pearson,observed_vs_production_spearman,observed_vs_production_count,observed_vs_exact_identity_pearson,observed_vs_exact_identity_spearman,observed_vs_exact_identity_count,observed_vs_linear_minus_trace_pearson,observed_vs_linear_minus_trace_spearman,observed_vs_linear_minus_trace_count,observed_vs_standard_minus_half_trace_pearson,observed_vs_standard_minus_half_trace_spearman,observed_vs_standard_minus_half_trace_count,observed_vs_positive_trace_pearson,observed_vs_positive_trace_spearman,observed_vs_positive_trace_count,observed_vs_positive_half_trace_pearson,observed_vs_positive_half_trace_spearman,observed_vs_positive_half_trace_count,los_magnitude_vs_observed_pearson,los_magnitude_vs_observed_spearman,los_magnitude_vs_observed_count,los_magnitude_vs_production_kappa_pearson,los_magnitude_vs_production_kappa_spearman,los_magnitude_vs_production_kappa_count,ray_classification,identity_gate_pass,linear_trace_retains_production_morphology
Abell2744,Abell 2744,PL1_PM1_PS2,M10_interface_field,C25,71289,1024,1024,True,8.072242478851208e-15,2.2848965158629814e-14,1.0,1.0,1024,0.9999999999999989,1.0,1024,0.9999999999999989,1.0,1024,0.0030391424132643185,1.4808074042073666e-10,4.8724515104800345e-08,0.0030391424354766555,0.0030391424132643185,1.4808074042073666e-10,0.03156908799833829,0.07095577256634003,1024,0.03156908799833836,0.07095577256634003,1024,0.03156909268108031,0.07095577256634003,1024,0.03156909268108031,0.07095577256634003,1024,-0.03156909268108031,-0.07095577256634003,1024,-0.03156909268108031,-0.07095577256634003,1024,0.7697236967097444,0.671986686945565,4096,0.019331141361983026,0.06798070819326228,1024,structured_normal,True,True
MACS0416,MACS J0416,PL1_PM1_PS2,M10_interface_field,C25,71289,1024,1024,True,7.255091560126108e-15,1.6088886738120863e-14,1.0,1.0,1024,0.9999999999999658,1.0,1024,0.9999999999999658,1.0,1024,0.004408865048135948,1.1593762449106696e-09,2.629647839642653e-07,0.004408865160510757,0.004408865048135948,1.1593762449106696e-09,-0.004621798819593821,0.03917152011775321,1024,-0.004621798819593863,0.03917152011775321,1024,-0.0046217243517842335,0.03917152011775321,1024,-0.0046217243517842335,0.03917152011775321,1024,0.0046217243517842335,-0.03917152011775321,1024,0.0046217243517842335,-0.03917152011775321,1024,0.7439897594213153,0.6455692865332464,4096,-0.062201372975848004,0.03490435680566483,1024,structured_normal,True,True
MACS1149,MACS J1149,PL1_PM1_PS2,M10_interface_field,C25,71289,1024,1024,True,8.579988280799263e-15,2.6578371975362194e-14,0.9999999999999999,1.0,1024,0.9999999999999967,1.0,1024,0.9999999999999967,1.0,1024,0.0025574287649758097,2.1983243432197757e-10,8.595838028124193e-08,0.002557428805317707,0.0025574287649758097,2.1983243432197757e-10,0.0017341472587693472,0.05712972532131247,1024,0.001734147258768369,0.05712972532131247,1024,0.0017341527022655854,0.05712972532131247,1024,0.0017341527022655854,0.05712972532131247,1024,-0.0017341527022655854,-0.05712972532131247,1024,-0.0017341527022655854,-0.05712972532131247,1024,0.7884323322863971,0.7011600616612864,4096,-0.06141746520103313,0.041468454956726984,1024,structured_normal,True,True
AbellS1063,Abell S1063,PL1_PM1_PS2,M10_interface_field,C25,71289,1024,1024,True,1.1328824282613526e-14,1.8955100515467607e-14,0.9999999999999999,1.0,1024,0.9999999999999903,1.0,1024,0.9999999999999903,1.0,1024,0.003700426943371915,5.159611514928065e-10,1.3943287068995633e-07,0.0037004269796770046,0.003700426943371915,5.159611514928065e-10,-0.08376733513138167,0.06348542218010157,1024,-0.08376733513138153,0.06348542218010157,1024,-0.08376731698080613,0.06348542218010157,1024,-0.08376731698080613,0.06348542218010157,1024,0.08376731698080613,-0.06348542218010157,1024,0.08376731698080613,-0.06348542218010157,1024,0.8075234973090877,0.6828267917055436,4096,-0.15100872318026462,0.039712165170588655,1024,structured_normal,True,True
Abell370,Abell 370,PL1_PM1_PS2,M10_interface_field,C25,71289,1024,1024,True,9.766657751896934e-15,1.675877521219367e-14,1.0,1.0,1024,0.9999999999999782,1.0,1024,0.9999999999999782,1.0,1024,0.004521387987630867,9.587142187168444e-10,2.1203980311789056e-07,0.004521388127059581,0.004521387987630867,9.587142187168444e-10,-0.08411356415345597,0.028880076085401617,1024,-0.08411356415345536,0.028880076085401617,1024,-0.08411353379616798,0.028880076085401617,1024,-0.08411353379616798,0.028880076085401617,1024,0.08411353379616798,-0.028880076085401617,1024,0.08411353379616798,-0.028880076085401617,1024,0.7918907566644745,0.6990111606304666,4096,-0.07939111357245526,0.027777150686646164,1024,structured_normal,True,True
