x0,y0,x_final,y_final,max_deviation,bending_angle
-7.993303571428571175e+00,-2.986607142857142794e+00,-3.208466397891358124e+00,-3.021404444216628793e+00,3.479730135948599923e-02,5.697635356628412417e-02
-7.979910714285714413e+00,-2.986607142857142794e+00,-3.195074799716630665e+00,-3.021740422299116435e+00,3.513327944197364161e-02,5.702271942826806633e-02
-7.966517857142857650e+00,-2.986607142857142794e+00,-3.181661114478316232e+00,-3.019345320374215103e+00,3.273817751707230883e-02,5.589601129366324195e-02
-7.953125000000000000e+00,-2.986607142857142794e+00,-3.168254179938156057e+00,-3.017421846347701386e+00,3.081470349055859259e-02,5.571415037916488400e-02
-7.939732142857142350e+00,-2.986607142857142794e+00,-3.154858165494143218e+00,-3.016950192933785413e+00,3.034305007664261922e-02,5.604276000337249375e-02
-7.926339285714285587e+00,-2.986607142857142794e+00,-3.141461377802127419e+00,-3.016282826251012850e+00,2.967568339387005594e-02,5.668003802546553449e-02
-7.912946428571428825e+00,-2.986607142857142794e+00,-3.128061679639834392e+00,-3.015265026222046174e+00,2.865788336490338040e-02,5.650458841845101832e-02
-7.899553571428571175e+00,-2.986607142857142794e+00,-3.114667686733340712e+00,-3.014933971923310363e+00,2.832682906616756924e-02,5.701229982980175054e-02
-7.886160714285714413e+00,-2.986607142857142794e+00,-3.101269154571488329e+00,-3.013850256520472115e+00,2.724311366332932138e-02,5.714262648372219616e-02
-7.872767857142857650e+00,-2.986607142857142794e+00,-3.087912303533362213e+00,-3.019363465026418947e+00,3.275632216927615303e-02,5.735756973118305568e-02
-7.859375000000000000e+00,-2.986607142857142794e+00,-3.074533986639053307e+00,-3.021285003847111739e+00,3.467786098996894495e-02,5.828492578670344676e-02
-7.845982142857142350e+00,-2.986607142857142794e+00,-3.061121597085991741e+00,-3.018886245299427618e+00,3.227910244228482384e-02,5.725926708236967616e-02
-7.832589285714285587e+00,-2.986607142857142794e+00,-3.047722060882126716e+00,-3.018341381467994022e+00,3.173423861085122866e-02,5.609604970885703062e-02
-7.819196428571428825e+00,-2.986607142857142794e+00,-3.034319545627773174e+00,-3.016854335751017580e+00,3.024719289387478582e-02,5.659741274732805333e-02
-7.805803571428571175e+00,-2.986607142857142794e+00,-3.020924558002484606e+00,-3.016477854135943826e+00,2.987071127880103205e-02,5.663705320548513555e-02
-7.792410714285714413e+00,-2.986607142857142794e+00,-3.007523258760329998e+00,-3.015084788148298944e+00,2.847764529115615062e-02,5.658176809990248662e-02
-7.779017857142857650e+00,-2.986607142857142794e+00,-2.994111329853748504e+00,-3.011505513875809559e+00,2.489837101866676505e-02,5.644647376969892660e-02
-7.765625000000000000e+00,-2.986607142857142794e+00,-2.980708055577296012e+00,-3.009645551181439060e+00,2.303840832429626673e-02,5.579155985269017987e-02
-7.752232142857142350e+00,-2.986607142857142794e+00,-2.967317717752245176e+00,-3.009703961003560746e+00,2.309681814641795228e-02,5.669094477719258812e-02
-7.738839285714285587e+00,-2.986607142857142794e+00,-2.953940292604811280e+00,-3.012576497562478473e+00,2.596935470533567880e-02,5.761121587533953037e-02
-7.725446428571428825e+00,-2.986607142857142794e+00,-2.940525262053877764e+00,-3.008550317560093834e+00,2.194317470295104044e-02,5.760541009458989420e-02
-7.712053571428571175e+00,-2.986607142857142794e+00,-2.927107620854767500e+00,-3.002914071917379690e+00,1.630692906023689659e-02,5.601234443502758203e-02
-7.698660714285714413e+00,-2.986607142857142794e+00,-2.913712525816283705e+00,-3.002473992692791693e+00,1.586684983564889961e-02,5.660635394842053469e-02
-7.685267857142857650e+00,-2.986607142857142794e+00,-2.900316189605398609e+00,-3.001186217556399249e+00,1.457907469925645572e-02,5.638507878968251896e-02
-7.671875000000000000e+00,-2.986607142857142794e+00,-2.886926668184424116e+00,-3.001885179779844037e+00,1.527803692270124358e-02,5.696745949898193717e-02
-7.658482142857142350e+00,-2.986607142857142794e+00,-2.873528590059611254e+00,-3.000158865833920441e+00,1.355172297677764703e-02,5.684161375838240465e-02
-7.645089285714285587e+00,-2.986607142857142794e+00,-2.860129492800738138e+00,-2.997235086928023318e+00,1.062794407088052395e-02,5.709494682957050316e-02
-7.631696428571428825e+00,-2.986607142857142794e+00,-2.846744632327515401e+00,-3.000584265751459867e+00,1.397712289431707333e-02,5.681419742420600050e-02
-7.618303571428571175e+00,-2.986607142857142794e+00,-2.833377309745986228e+00,-3.007276934876725871e+00,2.066979201958307755e-02,5.866029329958682287e-02
-7.604910714285714413e+00,-2.986607142857142794e+00,-2.819985613679152348e+00,-3.007801369792123314e+00,2.119422693498052013e-02,5.835441403480372269e-02
-7.591517857142857650e+00,-2.986607142857142794e+00,-2.806579957725838348e+00,-3.005247577650001389e+00,1.864043479285859561e-02,5.729222122529595979e-02
-7.578125000000000000e+00,-2.986607142857142794e+00,-2.793179214077604389e+00,-3.003076097447581638e+00,1.646895459043884458e-02,5.719745941047112842e-02
-7.564732142857142350e+00,-2.986607142857142794e+00,-2.779785334294946342e+00,-3.002590420932482740e+00,1.598327807533994616e-02,5.735788501819548413e-02
-7.551339285714285587e+00,-2.986607142857142794e+00,-2.766393111407773997e+00,-3.002273679382652993e+00,1.566653652551019960e-02,5.715410146989447632e-02
-7.537946428571428825e+00,-2.986607142857142794e+00,-2.752992190459538246e+00,-2.999362934600115160e+00,1.275579174297236662e-02,5.711029052497039460e-02
