cluster_id,candidate_id,physical_source_representation,geometry_lane,benchmark_role,n_photons,source_supported_bins,checkpoint_count,g3d_unit_speed_max_error,g3d_unit_speed_pass,first_step_exact_max_vector_error,first_step_exact_pass,los_mag_vs_observed_pearson,los_mag_vs_observed_spearman,final_eigen_trace_identity_relative_rms_error,final_eigen_gap_identity_relative_rms_error,final_symmetric_reconstruction_relative_rms_error,final_principal_axis_global_nematic_order,final_principal_axis_orientation_count,final_neighbor_nematic_coherence_mean,final_neighbor_nematic_pair_count,final_lambda_high_vs_observed_pearson,final_lambda_low_vs_observed_pearson,final_abs_lambda_high_vs_observed_pearson,final_abs_lambda_low_vs_observed_pearson,final_eigenvalue_gap_vs_observed_pearson,final_spectral_magnitude_vs_observed_pearson,final_symmetric_frobenius_mag_vs_observed_pearson,final_neighbor_nematic_coherence_vs_observed_pearson,final_principal_vs_displacement_alignment_mean,final_principal_vs_displacement_alignment_mean_abs,final_principal_vs_displacement_alignment_vs_observed_pearson,final_principal_vs_response_alignment_mean,final_principal_vs_response_alignment_mean_abs,final_principal_vs_response_alignment_vs_observed_pearson
Abell2744,PL1_PM1_PS2,M10_interface_field,G3D_LOS_consistent_diagnostic,external_morphology_comparison_only,71289,1024,9,2.220446049250313e-16,True,4.902191892490871e-16,True,0.7697236967097444,0.671986686945565,7.508852631812646e-17,6.655389098404732e-17,5.4320221780901174e-17,0.027286670426400157,1024,0.06286265910390339,1984,0.291872945921252,-0.5191460855031027,0.4458045792350538,0.6288182629856961,0.6315208164078691,0.6840065837664738,0.6968895577783882,-0.04899845020630924,-0.05926519598350781,0.6474961914111133,-0.20761097244160723,-0.06072993748748504,0.6471174346080262,-0.20818407073474582
MACS0416,PL1_PM1_PS2,M10_interface_field,G3D_LOS_consistent_diagnostic,external_morphology_comparison_only,71289,1024,9,2.220446049250313e-16,True,4.664558536237207e-16,True,0.7439897594213153,0.6455692865332464,7.86778423398689e-17,5.453372733937946e-17,5.1015138952747934e-17,0.014641810223059446,1024,0.11969227192300919,1984,0.39971537338508706,-0.5374930848167946,0.4735371483403154,0.6254771719724389,0.6727462621702345,0.7103707350048329,0.7061644155845308,-0.04395670042140249,0.0075432509033147195,0.6352085697729627,-0.23488551305283267,0.007617502599178261,0.6343516699897447,-0.2327684574783695
MACS1149,PL1_PM1_PS2,M10_interface_field,G3D_LOS_consistent_diagnostic,external_morphology_comparison_only,71289,1024,9,2.220446049250313e-16,True,4.771006342555579e-16,True,0.7884323322863971,0.7011600616612864,8.126591268751735e-17,6.566549406247688e-17,6.732207160552966e-17,0.028218451256500462,1024,0.2377680621991196,1984,0.3649384617785677,-0.6305552847317354,0.5188803550496575,0.703848754962245,0.6820434057709078,0.7282257443980167,0.7398618114223565,0.09074920144699644,-0.0846066063594342,0.6947669147993456,-0.27540085225755573,-0.0845563252699062,0.6935815257312822,-0.2757749148265706
AbellS1063,PL1_PM1_PS2,M10_interface_field,G3D_LOS_consistent_diagnostic,external_morphology_comparison_only,71289,1024,9,2.220446049250313e-16,True,4.8154685385691e-16,True,0.8075234973090877,0.6828267917055436,7.368174397800453e-17,7.403901199658035e-17,4.6539894843956183e-17,0.022144034886489933,1024,0.2025963418909154,1984,0.45715331917201973,-0.5969678658881202,0.6128374932541009,0.703235444043996,0.7230640721430358,0.7583061902907129,0.7717403303730285,-0.022728581073243312,-0.021091704861308635,0.6746088954140395,-0.2825233711378693,-0.020239930500160513,0.6731489370467403,-0.28028829219948886
Abell370,PL1_PM1_PS2,M10_interface_field,G3D_LOS_consistent_diagnostic,external_morphology_comparison_only,71289,1024,9,2.220446049250313e-16,True,4.924896573333921e-16,True,0.7918907566644745,0.6990111606304666,7.726900758395676e-17,5.181114896143848e-17,5.3799240615251474e-17,0.03495546593939757,1024,0.1163641197762302,1984,0.39190836813609464,-0.47826288344473855,0.4916436334340601,0.6008786052184817,0.6510604548334136,0.6675970951600201,0.6868574909569817,0.04471834590664051,-0.05238186736893219,0.6761207795872387,-0.3058481355912671,-0.052516471239605816,0.6764979857852003,-0.3071210409972723
