cluster_id,step_index,propagation_distance,second_trace_vs_prior_cov_trace_relative_rms_error,fourth_radial_component_identity_relative_rms_error,standardized_higher_moment_defined_count,zero_spread_standardized_higher_moments_undefined_pass,nonzero_spread_standardized_higher_moments_defined_pass,third_tensor_frobenius_nonnegative_pass,fourth_radial_nonnegative_pass,central_second_trace_vs_observed_pearson,central_second_trace_vs_observed_spearman,central_second_trace_vs_observed_count,central_second_trace_vs_los_mag_pearson,central_second_trace_vs_los_mag_spearman,central_second_trace_vs_los_mag_count,central_second_trace_rms,central_third_tensor_frobenius_mag_vs_observed_pearson,central_third_tensor_frobenius_mag_vs_observed_spearman,central_third_tensor_frobenius_mag_vs_observed_count,central_third_tensor_frobenius_mag_vs_los_mag_pearson,central_third_tensor_frobenius_mag_vs_los_mag_spearman,central_third_tensor_frobenius_mag_vs_los_mag_count,central_third_tensor_frobenius_mag_rms,standardized_third_tensor_mag_vs_observed_pearson,standardized_third_tensor_mag_vs_observed_spearman,standardized_third_tensor_mag_vs_observed_count,standardized_third_tensor_mag_vs_los_mag_pearson,standardized_third_tensor_mag_vs_los_mag_spearman,standardized_third_tensor_mag_vs_los_mag_count,standardized_third_tensor_mag_rms,central_fourth_tensor_frobenius_mag_vs_observed_pearson,central_fourth_tensor_frobenius_mag_vs_observed_spearman,central_fourth_tensor_frobenius_mag_vs_observed_count,central_fourth_tensor_frobenius_mag_vs_los_mag_pearson,central_fourth_tensor_frobenius_mag_vs_los_mag_spearman,central_fourth_tensor_frobenius_mag_vs_los_mag_count,central_fourth_tensor_frobenius_mag_rms,central_fourth_radial_moment_vs_observed_pearson,central_fourth_radial_moment_vs_observed_spearman,central_fourth_radial_moment_vs_observed_count,central_fourth_radial_moment_vs_los_mag_pearson,central_fourth_radial_moment_vs_los_mag_spearman,central_fourth_radial_moment_vs_los_mag_count,central_fourth_radial_moment_rms,standardized_fourth_radial_ratio_vs_observed_pearson,standardized_fourth_radial_ratio_vs_observed_spearman,standardized_fourth_radial_ratio_vs_observed_count,standardized_fourth_radial_ratio_vs_los_mag_pearson,standardized_fourth_radial_ratio_vs_los_mag_spearman,standardized_fourth_radial_ratio_vs_los_mag_count,standardized_fourth_radial_ratio_rms,gaussian_reference_fourth_radial_excess_vs_observed_pearson,gaussian_reference_fourth_radial_excess_vs_observed_spearman,gaussian_reference_fourth_radial_excess_vs_observed_count,gaussian_reference_fourth_radial_excess_vs_los_mag_pearson,gaussian_reference_fourth_radial_excess_vs_los_mag_spearman,gaussian_reference_fourth_radial_excess_vs_los_mag_count,gaussian_reference_fourth_radial_excess_rms,standardized_fourth_tensor_mag_vs_observed_pearson,standardized_fourth_tensor_mag_vs_observed_spearman,standardized_fourth_tensor_mag_vs_observed_count,standardized_fourth_tensor_mag_vs_los_mag_pearson,standardized_fourth_tensor_mag_vs_los_mag_spearman,standardized_fourth_tensor_mag_vs_los_mag_count,standardized_fourth_tensor_mag_rms,higher_moment_standardized_combined_mag_vs_observed_pearson,higher_moment_standardized_combined_mag_vs_observed_spearman,higher_moment_standardized_combined_mag_vs_observed_count,higher_moment_standardized_combined_mag_vs_los_mag_pearson,higher_moment_standardized_combined_mag_vs_los_mag_spearman,higher_moment_standardized_combined_mag_vs_los_mag_count,higher_moment_standardized_combined_mag_rms,photon_count_per_bin_vs_observed_pearson,photon_count_per_bin_vs_observed_spearman,photon_count_per_bin_vs_observed_count,photon_count_per_bin_vs_los_mag_pearson,photon_count_per_bin_vs_los_mag_spearman,photon_count_per_bin_vs_los_mag_count,photon_count_per_bin_rms
Abell2744,0,0.0,0.0,0.0,0,True,True,True,True,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,0,nan,nan,0,nan,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,1,0.03,0.0,0.0,1024,True,True,True,True,nan,0.6549965131249553,1024,nan,0.6802951997353551,1024,1.481522327042941e-11,nan,0.6184776996459481,1024,nan,0.5964095580609399,1024,9.744735133667892e-17,-0.07580273265946416,-0.08690545761103849,1024,-0.1105601216787902,-0.16961081220601348,1024,0.737149348550236,nan,0.6513705430584364,1024,nan,0.6658594029397039,1024,3.142196381156854e-21,nan,0.6530154651848938,1024,nan,0.6657198944102711,1024,4.1626436607764095e-21,-0.09135719338800721,-0.06218130591851929,1024,-0.10900951991056085,-0.1504038867644406,1024,2.181855694639952,-0.09135719338800721,-0.06215186846915438,1024,-0.10900951991056085,-0.15040291341350417,1024,1.07171247392459,-0.0870156203309017,-0.0825934091479547,1024,-0.10282977284809422,-0.15584714337082833,1024,2.01707553562634,-0.09075910828977798,-0.13353842926819784,1024,-0.08837181075797104,-0.09747373259622547,1024,1.300752393360705,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,5,0.15,0.0,0.0,1024,True,True,True,True,nan,0.6532248006222731,1024,nan,0.6797785052034905,1024,3.703268424926096e-10,nan,0.6179985560761033,1024,nan,0.5964467737465131,1024,1.218104847957002e-14,-0.07570172856676469,-0.08804589703646447,1024,-0.11246858586632488,-0.17402949577418242,1024,0.7422809804976122,nan,0.6505267416493813,1024,nan,0.6658855992060654,1024,1.963876988630299e-18,nan,0.652231030058651,1024,nan,0.6656473741148702,1024,2.6016541766330086e-18,-0.09070325081445936,-0.0626933963445348,1024,-0.11061199133738797,-0.1546321886086441,1024,2.199129613499115,-0.09070325081445936,-0.06272289978431614,1024,-0.11061199133738797,-0.15466530822678312,1024,1.0818228206901979,-0.08617487692821912,-0.08255946214370385,1024,-0.10446115989367355,-0.1583954352412998,1024,2.033155804802669,-0.08942717453666647,-0.13558107400432187,1024,-0.08862969431996641,-0.09874737277139124,1024,1.3119914898255218,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,10,0.3,0.0,0.0,1024,True,True,True,True,nan,0.653229908000143,1024,nan,0.6797523312888921,1024,1.4813255410391193e-09,nan,0.6178707039911309,1024,nan,0.5964006955868679,1024,9.744862352066335e-14,-0.07540429728146694,-0.08703371947283663,1024,-0.11230409971261571,-0.17333017077884566,1024,0.7427591621339539,nan,0.6505846215399471,1024,nan,0.665898674987483,1024,3.1422048179032734e-17,nan,0.6523049473392462,1024,nan,0.6656662390029325,1024,4.16264807032345e-17,-0.09035155661652441,-0.06164231668803524,1024,-0.11045598218868605,-0.154543652684509,1024,2.200131346972011,-0.0903515566165244,-0.061639995715471824,1024,-0.11045598218868605,-0.1545575254688956,1024,1.0831380247211362,-0.08584604994891408,-0.08135512676137713,1024,-0.10432918220150945,-0.1580238358356347,1024,2.0342525105350933,-0.08936474011186919,-0.13581603454100463,1024,-0.08887825280263344,-0.09914004611593763,1024,1.3133465473860042,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,20,0.6,0.0,0.0,1024,True,True,True,True,nan,0.6532966391888992,1024,nan,0.6798223146591803,1024,5.925349785461276e-09,nan,0.6180318154996066,1024,nan,0.5964119720513554,1024,7.795904391587517e-13,-0.07532530727885714,-0.08763945582628006,1024,-0.1121799003819022,-0.17371583494172152,1024,0.7428410606434516,nan,0.6505815034689937,1024,nan,0.665903380033617,1024,5.02753002362505e-16,nan,0.6523040979722481,1024,nan,0.6656573318253344,1024,6.66023933687454e-16,-0.09026863249748356,-0.06228650679589912,1024,-0.11038296175719206,-0.15446453628015877,1024,2.200281449130675,-0.09026863249748358,-0.06227857518074033,1024,-0.11038296175719206,-0.15446045114004314,1024,1.0833867079524089,-0.08578945376491699,-0.08178831160562472,1024,-0.10427358095920641,-0.15803959635368894,1024,2.0344600564719832,-0.0892366662804445,-0.13592870790938374,1024,-0.08891408003881004,-0.09972079885828342,1024,1.3135979599351721,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,40,1.2,0.0,0.0,1024,True,True,True,True,nan,0.6532847927544525,1024,nan,0.6798076742543452,1024,2.370150260082485e-08,nan,0.6180775919104499,1024,nan,0.5964201080931264,1024,6.236730049998348e-12,-0.07534810310820209,-0.08736926900572176,1024,-0.11225668723631874,-0.17414944563662418,1024,0.7428990483509702,nan,0.6505776589657393,1024,nan,0.6658722216758458,1024,8.04405539569454e-15,nan,0.6522888652456906,1024,nan,0.6656458877226236,1024,1.0656392110742807e-14,-0.09028163166965276,-0.06177885756782318,1024,-0.11041840458140341,-0.15423187900219348,1024,2.2004752260831784,-0.09028163166965278,-0.061786578681370385,1024,-0.11041840458140341,-0.1542143822698132,1024,1.08352529565992,-0.08580213219450812,-0.0814855164690071,1024,-0.1043145554386878,-0.15812542906814414,1024,2.0345981205659682,-0.08924837960233223,-0.1362170084685271,1024,-0.08896863065158712,-0.10035836553780542,1024,1.3137450522744867,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,80,2.4,0.0,0.0,1024,True,True,True,True,0.6491871140884775,0.65328981072527,1024,0.7037567750531878,0.6798348987018096,1024,9.480630583534671e-08,nan,0.6181245082612117,1024,nan,0.5965078611150848,1024,4.989398877498054e-11,-0.07526612931580415,-0.08722892314514151,1024,-0.1122388864843532,-0.1731096874038832,1024,0.742937865068359,nan,0.6505758708246907,1024,nan,0.6658615151813175,1024,1.2870530457938913e-13,nan,0.65229749302625,1024,nan,0.665645675380874,1024,1.7050281646673119e-13,-0.09021170996844492,-0.06147499825122898,1024,-0.1104042085588234,-0.15363230058266783,1024,2.200474381411535,-0.09021170996844492,-0.061465407850640946,1024,-0.11040420855882341,-0.15362343720825403,1024,1.0835189524269846,-0.08573931786283463,-0.08137935866757769,1024,-0.1043039726445084,-0.1574615228777101,1024,2.034645656746752,-0.08924461530541382,-0.13614850508517468,1024,-0.08899726186396753,-0.10010746626349719,1024,1.3137617712587017,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,120,3.5999999999999996,0.0,0.0,1024,True,True,True,True,0.6490989838299842,0.6532451407267005,1024,0.7036631808041377,0.6797815562191546,1024,2.1328977703331893e-07,nan,0.6178561082898218,1024,nan,0.5961416945318647,1024,1.6839120637755882e-10,-0.07554357568212187,-0.08761174488640003,1024,-0.11252028707861562,-0.1741625734634881,1024,0.7429250504998325,nan,0.6505304185144124,1024,nan,0.665819672680781,1024,6.515687247538746e-13,nan,0.6522638089192475,1024,nan,0.6656083367606037,1024,8.631708131994474e-13,-0.09019560899402503,-0.06151160437307824,1024,-0.1103964035695877,-0.15381101034788283,1024,2.200557755287457,-0.09019560899402503,-0.06149608257721388,1024,-0.1103964035695877,-0.1538124167858711,1024,1.0834819341704107,-0.08575595681837424,-0.08166008911476996,1024,-0.10432048582955515,-0.15822498724632447,1024,2.034695998965359,-0.08934044489478875,-0.13621466053050768,1024,-0.08908800968707932,-0.10004794463389671,1024,1.3137239939705116,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
Abell2744,159,4.77,0.0,0.0,1024,True,True,True,True,0.6488451209702363,0.652949952167227,1024,0.7033840804510109,0.6801059250053644,1024,3.743356968638837e-07,nan,0.6170002257528073,1024,nan,0.5976812504470352,1024,3.9153810600413177e-10,-0.07635526927214235,-0.08941616950558318,1024,-0.11198782697110518,-0.17331917172945197,1024,0.7429894173944386,nan,0.6501684205350118,1024,nan,0.6660898160896932,1024,2.0075464631892222e-12,nan,0.6520441693190759,1024,nan,0.666150121146556,1024,2.6599322470918e-12,-0.0902687392239876,-0.062220531829487453,1024,-0.10979340629334924,-0.15149894086541046,1024,2.2014445332671544,-0.0902687392239876,-0.0622469432302338,1024,-0.10979340629334924,-0.15149800242430325,1024,1.0829739001151133,-0.08564966126069233,-0.08147257459303638,1024,-0.10392928806671409,-0.1571910985513391,1024,2.0350599548025894,-0.08920019773265986,-0.136515564245442,1024,-0.08950398077320759,-0.10424568408686045,1024,1.313341441777677,0.021270516559129742,0.022714302389061265,1024,0.024365509393896576,0.011122351386609601,1024,69.84375
MACS0416,0,0.0,0.0,0.0,0,True,True,True,True,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,0,nan,nan,0,nan,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,0.03885639510333267,0.05171560989652309,1024,-0.020409173342902556,-0.024684737632400394,1024,69.84375
