x,observation,baryonic_gr,lcdm,pbuf
-8.000000000000000000e+00,1.161264920297100671e-153,2.635217601549461603e-155,2.344235994513946741e-165,9.635230579880307160e-154
-7.874015748031496287e+00,1.473266820202435321e-149,3.519645610399846373e-151,4.262632617454475408e-161,1.225508200469233558e-149
-7.748031496062992574e+00,1.641954101552173300e-145,4.129627649757654191e-147,6.809010145245925137e-157,1.369303867569705002e-145
-7.622047244094487972e+00,1.607570845360227505e-141,4.256497245347388376e-143,9.554755151103057600e-153,1.344042344744011437e-141
-7.496062992125984259e+00,1.382638778839869932e-137,3.854103045100384780e-139,1.177835519724172421e-148,1.158925642047389151e-137
-7.370078740157480546e+00,1.044664529844321843e-133,3.065658613568201321e-135,1.275496395046595910e-144,8.778649228738333721e-134
-7.244094488188975944e+00,6.933850416975378954e-130,2.142169164376922450e-131,1.213398147404691199e-140,5.841566484248996567e-130
-7.118110236220472231e+00,4.042979986097894786e-126,1.314962112319288428e-127,1.014044288386796648e-136,3.414762120851456473e-126
-6.992125984251968518e+00,2.070895660792234454e-122,7.090914024311883587e-124,7.444576937165383105e-133,1.753561857128914153e-122
-6.866141732283464805e+00,9.318464358040454826e-119,3.359082754237614054e-120,4.801231265467033281e-129,7.910632860090200722e-119
-6.740157480314961091e+00,3.683494132428193293e-115,1.397876134690903942e-116,2.720161767316596157e-125,3.134951824338771196e-115
-6.614173228346456490e+00,1.279101829169258375e-111,5.110297471932626147e-113,1.353836885880094479e-121,1.091390118334122498e-111
-6.488188976377952777e+00,3.901932581224674375e-108,1.641168511693947602e-109,5.919260543533106137e-118,3.337787369396186599e-108
-6.362204724409449064e+00,1.045644135740261827e-104,4.630092569084397759e-106,2.273516309149773340e-114,8.967405736926512661e-105
-6.236220472440944462e+00,2.461600405096130332e-101,1.147507877806930149e-102,7.671109732321916534e-111,2.116432768783324790e-101
-6.110236220472440749e+00,5.090737539396570726e-98,2.498337927904917322e-99,2.273776743185568691e-107,4.388050708716941912e-98
-5.984251968503937036e+00,9.248543908491760120e-95,4.778330557205748049e-96,5.920616738076380209e-104,7.992236043444038589e-95
-5.858267716535433323e+00,1.476031147874532501e-91,8.028431439698983914e-93,1.354302190122217551e-100,1.278775979128731819e-91
-5.732283464566929609e+00,2.069413059195891794e-88,1.184990092697238044e-89,2.721408372742812806e-97,1.797422365233078304e-88
-5.606299212598425008e+00,2.548756534352016457e-85,1.536484697909804470e-86,4.803981829720127141e-94,2.219398644535789577e-85
-5.480314960629921295e+00,2.757649224203509398e-82,1.750133843361467476e-83,7.449695114311090001e-91,2.407409640197805995e-82
-5.354330708661417582e+00,2.621073482895937654e-79,1.751232427411453647e-80,1.014857687846608428e-87,2.294004036490480774e-79
-5.228346456692912980e+00,2.188511708826242477e-76,1.539379934806367829e-77,1.214510563099451852e-84,1.920294614176669944e-76
-5.102362204724409267e+00,1.605269875798321532e-73,1.188713940954635416e-74,1.276811984596514637e-81,1.412118210340043453e-73
-4.976377952755905554e+00,1.034371964394269054e-70,8.063774869599920067e-72,1.179185440231014548e-78,9.122287323393978135e-71
-4.850393700787401841e+00,5.855108261224279825e-68,4.805393274783694349e-69,9.566801645231223182e-76,5.176854323146325176e-68
-4.724409448818898127e+00,2.911539067691648733e-65,2.515642839474139324e-66,6.818375808350277188e-73,2.580819579204010050e-65
-4.598425196850393526e+00,1.271861490512957409e-62,1.156907219016435184e-63,4.268984748357884236e-70,1.130261277853448984e-62
-4.472440944881889813e+00,4.880749489926138186e-60,4.673880280452946954e-61,2.347998285901479689e-67,4.348400701827514255e-60
-4.346456692913386100e+00,1.645366765630867185e-57,1.658769878528586753e-58,1.134489423616270433e-64,1.469635955923445676e-57
-4.220472440944881498e+00,4.872686020201414670e-55,5.171591352776784721e-56,4.815402912486511936e-62,4.363344307555878264e-55
-4.094488188976377785e+00,1.267662485827628198e-52,1.416419067304433326e-53,1.795536815794270399e-59,1.138043081900806099e-52
-3.968503937007874072e+00,2.897132463490849997e-50,3.407915610653089290e-51,5.881464787887273516e-57,2.607518663943832613e-50
-3.842519685039370358e+00,5.816511223848790259e-48,7.203032976147164985e-49,1.692412373284028550e-54,5.248384593084451821e-48
-3.716535433070866645e+00,1.025855738059165547e-45,1.337431284539625538e-46,4.278153726853507199e-52,9.280115507654449326e-46
-3.590551181102362044e+00,1.589423087524163836e-43,2.181509236872537646e-44,9.500272967289894321e-50,1.441486619292361183e-43
-3.464566929133858331e+00,2.163327375319023935e-41,3.125878823011442364e-42,1.853298120755980529e-47,1.966968262663433542e-41
-3.338582677165354617e+00,2.586631001828829162e-39,3.934746194123154420e-40,3.176025571940445180e-45,2.357835995041671431e-39
-3.212598425196850016e+00,2.716916020148197788e-37,4.351017332568070096e-38,4.781368315663815165e-43,2.482900625553475902e-37
-3.086614173228346303e+00,2.506960287255801022e-35,4.226631703866159894e-36,6.323389179797469802e-41,2.296860325254349935e-35
-2.960629921259842590e+00,2.032114607816137770e-33,3.606845195906424017e-34,7.346443245868659849e-39,1.866548752764833250e-33
-2.834645669291338876e+00,1.447033031320437438e-31,2.703896747090219698e-32,7.497799929893681269e-37,1.332519561652136192e-31
-2.708661417322835163e+00,9.051867653637380405e-30,1.780664937639954153e-30,6.722333757631679028e-35,8.356748890243020654e-30
-2.582677165354330562e+00,4.974248182368723049e-28,1.030157941513446162e-28,5.294632218150946038e-33,4.603950176581049760e-28
-2.456692913385826849e+00,2.401298822652297167e-26,5.235460967804254415e-27,3.663372059354436792e-31,2.228195954966388351e-26
-2.330708661417323135e+00,1.018343907816161237e-24,2.337413462292973441e-25,2.226669513730748184e-29,9.473395122454315417e-25
-2.204724409448818534e+00,3.793780805513500321e-23,9.167388987443448280e-24,1.188940171353368101e-27,3.538241118482742832e-23
-2.078740157480314821e+00,1.241593710319118647e-21,3.158532004039860912e-22,5.576911370911716821e-26,1.160910401858240278e-21
-1.952755905511811108e+00,3.569573069811829112e-20,9.559923293527490341e-21,2.298036847109314289e-24,3.346104372900215335e-20
-1.826771653543307394e+00,9.015349187715576907e-19,2.541868253770649708e-19,8.318590329926078518e-23,8.472464701647187060e-19
-1.700787401574803681e+00,2.000222612361217057e-17,5.937193048068122826e-18,2.645282077458719269e-21,1.884558209940777119e-17
-1.574803149606299080e+00,3.898554557012629487e-16,1.218256695843459500e-16,7.389647899374499157e-20,3.682466870148963693e-16
-1.448818897637795367e+00,6.675109638793181435e-15,2.195967698019970256e-15,1.813447577137235425e-18,6.321172527017000250e-15
-1.322834645669291653e+00,1.004020763447105553e-13,3.477303451192502031e-14,3.909450954418060667e-17,9.532041909395260003e-14
-1.196850393700787052e+00,1.326650389114247841e-12,4.837140914277382982e-13,7.403823146071061399e-16,1.262710366754265203e-12
-1.070866141732283339e+00,1.539925770405249135e-11,5.911046702992972559e-12,1.231759178460441655e-14,1.469437275655468792e-11
-9.448818897637796255e-01,1.570263691052358471e-10,6.345554021676733609e-11,1.800217924450144401e-13,1.502200363364369934e-10
-8.188976377952759123e-01,1.406613865612236404e-09,5.984173883463585696e-10,2.311286910164746522e-12,1.349069042495254051e-09
-6.929133858267721990e-01,1.106895707379802602e-08,4.957564425755919990e-09,2.606826585558653146e-11,1.064314536879418103e-08
-5.669291338582675976e-01,7.651877627540801797e-08,3.607962647625628794e-08,2.582854411674859721e-10,7.376244691437041112e-08
-4.409448818897638844e-01,4.646851911510930353e-07,2.306668592756123729e-07,2.248108232321464790e-09,4.490866446996978747e-07
-3.149606299212601712e-01,2.479014987431447825e-06,1.295501367212926198e-06,1.718953025339371067e-08,2.401897489745168690e-06
-1.889763779527555698e-01,1.161793590233132051e-05,6.391754010114591889e-06,1.154623267663648876e-07,1.128517505787036321e-05
-6.299212598425185661e-02,4.783087253966293221e-05,2.770331455191856520e-05,6.813121047688361492e-07,4.657915825764873493e-05
6.299212598425185661e-02,1.729884607765704138e-04,1.054806791498951623e-04,3.531680510442690997e-06,1.688902098799853978e-04
