x,observation,baryonic_gr,lcdm,pbuf
1.889763779527555698e-01,5.496110669081006759e-04,3.528122088884265580e-04,1.608222804249509057e-05,5.379560776601059096e-04
3.149606299212592830e-01,1.533992751010001014e-03,1.036677796120062623e-03,6.433399589055209468e-05,1.505284761191230452e-03
4.409448818897629963e-01,3.761149958540705232e-03,2.675922257871731196e-03,2.260811437375612610e-04,3.700155837141141674e-03
5.669291338582667095e-01,8.101165319204834889e-03,6.067820023484828476e-03,6.979393101423212896e-04,7.990075246739416354e-03
6.929133858267721990e-01,1.532864774148963091e-02,1.208707990784726842e-02,1.892781496659833116e-03,1.515692937253959073e-02
8.188976377952759123e-01,2.547942934132721438e-02,2.115142342496870165e-02,4.509338186808583247e-03,2.525812383471917263e-02
9.448818897637796255e-01,3.720532079272000081e-02,3.251526584312650070e-02,9.437449408452614277e-03,3.697604469250109771e-02
1.070866141732283339e+00,4.772543699238325499e-02,4.391010974497475128e-02,1.735105831325581965e-02,4.755205845420178851e-02
1.196850393700787052e+00,5.378043088953526896e-02,5.209202491515774885e-02,2.802378586924690607e-02,5.372144598874284416e-02
1.322834645669290765e+00,5.323878614901555312e-02,5.428845226386529166e-02,3.976098604034260242e-02,5.331575574319771110e-02
1.448818897637794478e+00,4.629792382819931940e-02,4.970192213955960947e-02,4.955836726541564680e-02,4.648287152105208542e-02
1.574803149606299968e+00,3.536913110323489096e-02,3.997315362789458093e-02,5.426331694111733578e-02,3.560080614752795386e-02
1.700787401574803681e+00,2.373650478833335548e-02,2.824185014976132377e-02,5.219455369203501033e-02,2.395279618467581820e-02
1.826771653543307394e+00,1.399389630064635376e-02,1.752860601555800840e-02,4.410354947377014695e-02,1.415735458426606308e-02
1.952755905511811108e+00,7.247530255589624409e-03,9.557209774815092831e-03,3.273794400022993906e-02,7.350849033327262402e-03
2.078740157480314821e+00,3.297394630570524982e-03,4.577668731266181304e-03,2.134807714458372696e-02,3.352913900621139198e-03
2.204724409448818534e+00,1.317896544932861029e-03,1.926136705470708277e-03,1.222913190035436991e-02,1.343497314677121954e-03
2.330708661417322247e+00,4.627231375547295506e-04,7.119661688622197461e-04,6.154063859915511608e-03,4.729124067202590087e-04
2.456692913385825960e+00,1.427218992536074009e-04,2.311857764614542858e-04,2.720557263354030607e-03,1.462359384346067007e-04
2.582677165354329674e+00,3.867136664940651065e-05,6.594659370077464065e-05,1.056533442074484566e-03,3.972437095428381853e-05
2.708661417322835163e+00,9.204875692890723832e-06,1.652544370205764115e-05,3.604442721107959388e-04,9.479587611933105789e-06
2.834645669291338876e+00,1.924756696221589977e-06,3.637838320617374168e-06,1.080245615791127151e-04,1.987244777723984805e-06
2.960629921259842590e+00,3.535601049300760616e-07,7.034984770500079787e-07,2.844044582323098540e-05,3.659677261488045748e-07
3.086614173228346303e+00,5.705322161350912920e-08,1.195122529346986133e-07,6.577786773189075675e-06,5.920572649528341754e-08
3.212598425196850016e+00,8.087729078062699355e-09,1.783574312233162085e-08,1.336449909976594809e-06,8.414225466817753146e-09
3.338582677165353729e+00,1.007169395910575350e-09,2.338296006409033485e-09,2.385366328971229575e-07,1.050495217025814668e-09
3.464566929133857442e+00,1.101813147225907297e-10,2.693005687770238003e-10,3.740132489258563395e-08,1.152135390655061675e-10
3.590551181102362932e+00,1.058870583601541804e-11,2.724611322461205952e-11,5.151674233854814145e-09,1.110049789402001954e-11
3.716535433070866645e+00,8.939378379543979061e-13,2.421594084720888743e-12,6.233605328224684522e-10,9.395305449071843251e-13
3.842519685039370358e+00,6.629812720861094225e-14,1.890721839764110462e-13,6.626126384342289644e-11,6.985682656541071040e-14
3.968503937007874072e+00,4.319412738200683229e-15,1.296831162990194459e-14,6.187420501306892649e-12,4.562851190273389374e-15
4.094488188976377785e+00,2.472166132214838717e-16,7.813916015560090749e-16,5.075619443463513000e-13,2.618142383881357809e-16
4.220472440944881498e+00,1.242968446180513613e-17,4.136028700435172842e-17,3.657614887846592384e-14,1.319713687688824948e-17
4.346456692913385211e+00,5.489996390106596492e-19,1.923215063820165624e-18,2.315455315162569654e-15,5.843804580632854266e-19
4.472440944881888925e+00,2.130166338577898090e-20,7.856003421568363083e-20,1.287669282104497395e-16,2.273218341867797361e-20
4.598425196850392638e+00,7.260800095390780951e-22,2.819064285102526520e-21,6.290740501824625486e-18,7.768123513907047264e-22
4.724409448818898127e+00,2.174127182315563344e-23,8.886644329509122509e-23,2.699782072919823598e-19,2.331957314795843443e-23
4.850393700787401841e+00,5.718931774290834863e-25,2.460934879036861886e-24,1.017853212146886853e-20,6.149709125994293778e-25
4.976377952755905554e+00,1.321521973776187076e-26,5.986761376193634956e-26,3.371095823155445770e-22,1.424682390411986490e-26
5.102362204724409267e+00,2.682645990585074616e-28,1.279420421094078899e-27,9.808137534214318910e-24,2.899419407736893016e-28
5.228346456692912980e+00,4.783897284768306665e-30,2.401950826377370719e-29,2.506868194620741640e-25,5.183624460587253899e-30
5.354330708661416693e+00,7.494278541172600658e-32,3.961361255377372773e-31,5.628672201299255627e-27,8.141145622895077165e-32
5.480314960629920407e+00,1.031352957817113992e-33,5.739238738250296707e-33,1.110222227037926511e-28,1.123225667977369907e-33
5.606299212598425896e+00,1.246850288078121409e-35,7.304552847197167318e-35,1.923726741091096890e-30,1.361375778197386502e-35
5.732283464566929609e+00,1.324191528430936764e-37,8.166998651668834991e-37,2.928237849331851245e-32,1.449501011828751178e-37
5.858267716535433323e+00,1.235426190521443851e-39,8.021596934258396986e-39,3.915604521793672844e-34,1.355777836562875137e-39
5.984251968503937036e+00,1.012540274118361179e-41,6.921316219883609351e-41,4.599607744249203125e-36,1.114007310640869899e-41
6.110236220472440749e+00,7.290164238551828047e-44,5.246214591475031229e-43,4.746486776774559738e-38,8.041129482027143082e-44
6.236220472440944462e+00,4.610964964436718453e-46,3.493276111796393226e-45,4.302820784178141343e-40,5.098889185594369147e-46
6.362204724409448175e+00,2.561980593610530398e-48,2.043380669873102140e-47,3.426602629779795767e-42,2.840295955095092926e-48
6.488188976377951889e+00,1.250516288040211503e-50,1.050014148389203450e-49,2.397197044564248351e-44,1.389892209806213402e-50
6.614173228346455602e+00,5.362068694679690372e-53,4.739914687113665729e-52,1.473239067458517108e-46,5.974865727040459670e-53
6.740157480314961091e+00,2.019783862053597488e-55,1.879643133634457131e-54,7.953755270531202029e-49,2.256340727454180005e-55
6.866141732283464805e+00,6.683545760595493858e-58,6.548016782167767944e-57,3.772252236691226712e-51,7.485325991981780855e-58
6.992125984251968518e+00,1.942846357998725302e-60,2.003889034224278945e-59,1.571660466431090794e-53,2.181455002005153344e-60
7.118110236220472231e+00,4.961345742532277436e-63,5.387249099897599566e-62,5.752362375694876140e-56,5.584847293287624022e-63
7.244094488188975944e+00,1.112986846630534685e-65,1.272301237110045832e-64,1.849537957680505143e-58,1.256046882723898469e-65
7.370078740157479658e+00,2.193360784867381666e-68,2.639625683029614244e-67,5.224079338264112386e-61,2.481589260512857567e-68
7.496062992125983371e+00,3.797166325039938335e-71,4.810876904682036508e-70,1.296241086138243463e-63,4.307085128972362851e-71
7.622047244094488860e+00,5.774822908126173853e-74,7.702569895861700943e-73,2.825473936237256222e-66,6.566992403330108497e-74
7.748031496062992574e+00,7.715200630005317951e-77,1.083369375201318004e-75,5.410362094313734443e-69,8.795875545614553196e-77
7.874015748031496287e+00,9.054933837505056642e-80,1.338588116528443286e-78,9.101036614443642777e-72,1.034954224034095928e-79
8.000000000000000000e+00,9.335828008420928037e-83,1.452937320408735474e-81,1.344884211409674064e-74,1.069775655580314068e-82
