cluster_id,step_index,propagation_distance,sampled_response_mag_vs_observed_pearson,sampled_response_mag_vs_observed_spearman,sampled_response_mag_vs_observed_count,sampled_response_mag_vs_los_mag_pearson,sampled_response_mag_vs_los_mag_spearman,sampled_response_mag_vs_los_mag_count,sampled_response_mag_rms,transverse_velocity_mag_vs_observed_pearson,transverse_velocity_mag_vs_observed_spearman,transverse_velocity_mag_vs_observed_count,transverse_velocity_mag_vs_los_mag_pearson,transverse_velocity_mag_vs_los_mag_spearman,transverse_velocity_mag_vs_los_mag_count,transverse_velocity_mag_rms,transverse_displacement_mag_vs_observed_pearson,transverse_displacement_mag_vs_observed_spearman,transverse_displacement_mag_vs_observed_count,transverse_displacement_mag_vs_los_mag_pearson,transverse_displacement_mag_vs_los_mag_spearman,transverse_displacement_mag_vs_los_mag_count,transverse_displacement_mag_rms,linear_kappa_vs_observed_pearson,linear_kappa_vs_observed_spearman,linear_kappa_vs_observed_count,linear_kappa_vs_los_mag_pearson,linear_kappa_vs_los_mag_spearman,linear_kappa_vs_los_mag_count,linear_kappa_rms
Abell2744,0,0.0,0.779711599218283,0.726271904727845,1024,0.8640680111930577,0.8248312553644231,1024,0.00010043954768390241,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,-0.11290457766200054,1024,nan,-0.10713486336680869,1024,5.795326635978589e-16
Abell2744,1,0.03,0.7793402999598437,0.7255168509942064,1024,0.8636798956987453,0.8244307117695444,1024,0.00010041591666956936,0.7797115992009803,0.726271904727845,1024,0.8640680111708143,0.8248312553644231,1024,3.0131864303812245e-06,0.7797115992309701,0.726271904727845,1024,0.8640680111852006,0.8248312553644231,1024,9.039559290847985e-08,0.1292508711681999,0.13337146171590014,1024,0.02473412859745487,0.07238019454974609,1024,6.31099561148416e-07
Abell2744,5,0.15,0.7793119266536278,0.7254941416028896,1024,0.8637629194774759,0.8245569657034547,1024,0.0001004053298682932,0.7792336647827365,0.7251498573957513,1024,0.8637590977262907,0.8243047260567914,1024,1.5058519231382391e-05,0.7792937837793776,0.7252841691402618,1024,0.8637951639446809,0.8243121580180245,1024,1.3553252102605428e-06,0.1291533280955796,0.13342636882197267,1024,0.0247647900858971,0.07278409090909091,1024,9.460129131711857e-06
Abell2744,10,0.3,0.7792822735694125,0.7254178215077606,1024,0.8637156754487249,0.8244489396323582,1024,0.00010040237193277264,0.7792015420238529,0.7251328365281453,1024,0.8637416141173572,0.8243417405764967,1024,3.0116456064562e-05,0.7792311010421195,0.725156775266433,1024,0.863758784278476,0.8243188188434304,1024,4.969293641833409e-06,0.12910956458664594,0.13341780809670267,1024,0.024695429046148604,0.07274727755525356,1024,3.4687729940936676e-05
Abell2744,20,0.6,0.7792876307684813,0.725424068825549,1024,0.8637167821124483,0.8244498337028825,1024,0.00010040247599991822,0.7791935963256099,0.7251134799012946,1024,0.8637322146394837,0.8243739494671339,1024,6.0233191450020304e-05,0.7791981397997029,0.7251101606644732,1024,0.8637376392089151,0.8243184053358129,1024,1.897340969667682e-05,0.1290865970861349,0.13342384307274158,1024,0.024667014324921098,0.07275027269150991,1024,0.0001324432338459792
Abell2744,40,1.2,0.7793114146774931,0.7255165939489306,1024,0.8636916383386922,0.8244001904370216,1024,0.00010040723924294176,0.7791776469999229,0.7250722297224805,1024,0.8637243202143979,0.8243470602961162,1024,0.00012046528021170255,0.7791839635139725,0.7250858866497389,1024,0.8637282775827531,0.8243427911093627,1024,7.408634335333831e-05,0.12907288637205377,0.13341382948286962,1024,0.024651474478861155,0.07273888446820685,1024,0.0005171589783183905
Abell2744,80,2.4,0.7792880756060369,0.7254081320184537,1024,0.8636587358277926,0.8243664504506115,1024,0.0001004080138308499,0.7791737988717689,0.7250707098025893,1024,0.8637202161274186,0.8243401647771976,1024,0.00024093109557139759,0.7791764629449989,0.7250729114512553,1024,0.8637231019341922,0.8243381642943995,1024,0.00029273102454879004,0.1290664951216028,0.13338160941635077,1024,0.024644904704393164,0.072729418496531,1024,0.002043402981060634
Abell2744,120,3.5999999999999996,0.779098388757203,0.7253302025963808,1024,0.8635529004393402,0.8244001010299692,1024,0.00010036291081084183,0.7791036849251107,0.7250403449324083,1024,0.8636608333180443,0.824324585598312,1024,0.0003613430079391005,0.7791545109166695,0.7250477210142336,1024,0.8637045787004562,0.824324160914813,1024,0.0006559038059269786,0.1291241210484362,0.13339296411200915,1024,0.02470745767600266,0.07274594762534868,1024,0.004578816342663533
Abell2744,159,4.77,0.7771206552763399,0.7252673606144052,1024,0.8595013987189006,0.8243541793326657,1024,0.00010004442887093396,0.7790770389652775,0.7249241716436593,1024,0.8636465795782956,0.8243658246012445,1024,0.0004785123474333305,0.7791333329226389,0.7250111423539088,1024,0.8636894480844084,0.824331671107217,1024,0.0011490037148975437,0.12918340183890606,0.13339972552034904,1024,0.024797461420472067,0.07284558060939847,1024,0.008022392865921824
MACS0416,0,0.0,0.7507576994454248,0.6694017568309744,1024,0.8825813656070695,0.8282622062978328,1024,0.00010591621044869976,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,0.06592221091441128,1024,nan,0.014257597530520756,1024,5.795326635978589e-16
MACS0416,1,0.03,0.7505881105228708,0.6693736926555061,1024,0.8824075355603328,0.828703139528646,1024,0.00010591471864212994,0.7507576994429986,0.6694017568309744,1024,0.8825813655922521,0.8282622062978328,1024,3.1774863131589253e-06,0.7507576993902881,0.6694017568309744,1024,0.8825813655811692,0.8282622062978328,1024,9.532458939125067e-08,0.06662223285597355,0.09279188824009613,1024,0.014233491088949632,0.052249425559688145,1024,6.323320684242845e-07
MACS0416,5,0.15,0.750459815151552,0.6688193721016619,1024,0.8823178921158186,0.8284179869108075,1024,0.00010587379214798789,0.7504179657797829,0.6685635198098177,1024,0.8822891567170995,0.8281948492597097,1024,1.5878890948713e-05,0.7504515118739618,0.6686819794656474,1024,0.882314327367492,0.8281512744975323,1024,1.4291347143741833e-06,0.06606377640399903,0.09227014716514094,1024,0.013535263717306565,0.05195584632715829,1024,9.481781744164532e-06
