x0,y0,x_final,y_final,max_deviation,bending_angle
-7.989361702127659726e+00,-2.978723404255319451e+00,-3.219511312118964241e+00,-3.002539316167371464e+00,2.384746433100115581e-02,8.102482867740795625e-02
-7.968085106382979177e+00,-2.978723404255319451e+00,-3.198211412435847834e+00,-2.992403357697129174e+00,1.437049822622959994e-02,8.184075730339906984e-02
-7.946808510638297740e+00,-2.978723404255319451e+00,-3.176921739082438467e+00,-2.989092664263056864e+00,1.410028378408201277e-02,8.161704481567677583e-02
-7.925531914893617191e+00,-2.978723404255319451e+00,-3.155646888957380103e+00,-2.991151429455955579e+00,1.490568219308441300e-02,8.073823322798898139e-02
-7.904255319148935754e+00,-2.978723404255319451e+00,-3.134378565994599963e+00,-2.991932730551517317e+00,1.442228327853101177e-02,8.229188048836634517e-02
-7.882978723404255206e+00,-2.978723404255319451e+00,-3.113100728941832873e+00,-2.993111539752233874e+00,1.583319227053525680e-02,8.281145198701191090e-02
-7.861702127659574657e+00,-2.978723404255319451e+00,-3.091823237513819489e+00,-2.993614970563224009e+00,1.628730029189995321e-02,8.242087517443420774e-02
-7.840425531914894108e+00,-2.978723404255319451e+00,-3.070574292507302960e+00,-3.002096027959143321e+00,2.364598046104493534e-02,8.234816260111621489e-02
-7.819148936170212671e+00,-2.978723404255319451e+00,-3.049273117957799428e+00,-2.988349809426022130e+00,1.438288178732882727e-02,8.361961768626403890e-02
-7.797872340425532123e+00,-2.978723404255319451e+00,-3.027990306715731883e+00,-2.991745515989383097e+00,1.456935569200767944e-02,8.185271509000685564e-02
-7.776595744680850686e+00,-2.978723404255319451e+00,-3.006709454966676187e+00,-2.990380089234290217e+00,1.430244135550973184e-02,8.047484630313181397e-02
-7.755319148936170137e+00,-2.978723404255319451e+00,-2.985430568524191308e+00,-2.984113955272566177e+00,1.140949212244857236e-02,8.098023228264604467e-02
-7.734042553191489588e+00,-2.978723404255319451e+00,-2.964147322779808746e+00,-2.980866642441171610e+00,1.070379836478574376e-02,8.007018296143970926e-02
-7.712765957446809040e+00,-2.978723404255319451e+00,-2.942858064220636560e+00,-2.974256841101491133e+00,7.582637365947331176e-03,7.212588236106715067e-02
-7.691489361702127603e+00,-2.978723404255319451e+00,-2.921582724001022591e+00,-2.978138348548553083e+00,7.553709741798808608e-03,7.632879522242046189e-02
-7.670212765957447054e+00,-2.978723404255319451e+00,-2.900308010494789812e+00,-2.969866866889150359e+00,8.856537366169092707e-03,7.076230877791660212e-02
